"idStudy0","PMID","title","author","ABSTRACT","yearPublication","journal","journalShort","objective","studyPlan","fromCode","projectName","uploadDate"
,"37760860","Factors Governing the Erythropoietic Response to Intravenous Iron Infusion in Patients with Chronic Kidney Disease: A Retrospective Cohort Study.","Chukwu CA","BACKGROUND: Limited knowledge exists about factors affecting parenteral iron response. A study was conducted to determine the factors influencing the erythropoietic response to parenteral iron in iron-deficient anaemic patients whose kidney function ranged from normal through all stages of chronic kidney disease (CKD) severity.
METHODS: This retrospective cohort study included parenteral iron recipients who did not receive erythropoiesis-stimulating agents (ESA) between 2017 and 2019. The study cohort was derived from two groups of patients: those managed by the CKD team and patients being optimised for surgery in the pre-operative clinic. Patients were categorized based on their kidney function: Patients with normal kidney function [estimated glomerular filtration rate (eGFR) ≥ 60 mL/min/1.73 m
RESULTS: 732 subjects (mean age 66 ± 17 years, 56% females and 87% White) were evaluated. No significant differences were observed in the time to repeat Hb among CKD stages and FID/AID patients. The Hb rise was significantly lower with lower kidney function (non-CKD and CKD1-2; 13 g/L, CKD3-5; 7 g/L; 
CONCLUSION: The nature of iron deficiency rather than the severity of CKD has a stronger impact on Hb response to intravenous iron with an attenuated response seen in functional iron deficiency irrespective of the degree of renal impairment.","2023",,"Biomedicines",,"other",1,"ckdIronPub","2023-12-21"
,"37742162","Iron Profile and Status of Anemia with the Associated Factors in Chronic Kidney Disease Patients.","Shreewastav RK","BACKGROUND: One of the main complications of chronic kidney disease is anemia. Disorders of iron homeostasis seen in such patients make the management of anemia more challenging and risky. To obtain the desired result, erythropoietin and iron dose must be carefully regulated. The aim of the study is to find out the prevalence of anemia and level iron indices in patients of chronic kidney disease at a tertiary care hospital.
METHODS: A cross-sectional descriptive study was conducted on chronic kidney disease patients at a tertiary care center. Demographic data like age, sex, height and weight were collected with the help of using Performa. The hematological and biochemical study variables were assayed by blood sample of the patients in the clinical laboratory services. Data were analyzed by statistical package for the social sciences Version 20.0 Results: Out of 171 patients with chronic kidney disease, 162 (94.7%) were anemic, with the highest percentage 54 (31.5%) having hypertension. The median value with inter-quartile range of hemoglobin, serum iron, serum ferritin, TIBC and transferring saturation were 8.9 gm/dl (6.7-10.0), 115.0 (µg/dl) (60.0-140.0), 599.0 ng/ml (142.6-973.0), 279.0 µg/dl (250.0-342.0) and 41.0 % (22.0-53.0) respectively. Serum creatinine and eGFR were significantly correlated with hemoglobin and iron indices.
CONCLUSIONS: The current study showed that anemia was more prevalent in patients of chronic kidney disease in our setting as compared to similar studies. Hypertension was the most common disease among them. The median value of parameters of iron profile except ferritin among them was within the reference limit.","2023",,"J Nepal Health Res Counc"," The aim of the study is to find out the prevalence of anemia and level iron indices in patients of chronic kidney disease at a tertiary care hospital ","other",1,"ckdIronPub","2023-12-21"
,"37701608","FGF23 AND ALTERED MINERAL HOMEOSTASIS IN KIDNEY DISEASE AND FOLLOWING INTRAVENOUS IRON.","Wolf M","Fibroblast growth factor 23 (FGF23) is an endocrine hormone that stimulates renal phosphate excretion and suppresses circulating concentrations of 1,25-dihydroxyvitamin D (1,25D). These effects of FGF23 are most evident in rare diseases that are characterized by FGF23-mediated hypophosphatemic rickets-osteomalacia. More commonly, elevated FGF23 is a ubiquitous, early consequence of chronic kidney disease (CKD) in which it helps to maintain normal serum phosphate levels but causes secondary hyperparathyroidism by suppressing 1,25D, and directly promotes cardiovascular disease and death. Elevated FGF23 is also a common complication of intravenous administration of ferric carboxymaltose (FCM), which is widely used to treat iron deficiency anemia. Among patients with normal kidney function who receive FCM, the resulting increase in FGF23 and subsequent FGF23-mediated reduction of 1,25D and secondary hyperparathyroidism promote hypophosphatemia that can be symptomatic, severe, and associated with musculoskeletal complications. Ongoing research is needed to design novel therapeutic approaches to mitigate FGF23-related illnesses.","2023",,"Trans Am Clin Climatol Assoc",,"other",1,"ckdIronPub","2023-12-21"
,"37668586","Association of iron therapy with incidence of chronic kidney disease.","Shrestha P","OBJECTIVE: We investigated the association of oral iron replacement with the incidence of chronic kidney disease (CKD) in a population with normal kidney function to study the effects of iron replacement on the development of new onset CKD.
METHODS: In a national cohort of US Veterans with no pre-existing CKD, we identified 33 894 incident new users of oral iron replacement and a comparable group of 112 780 patients who did not receive any iron replacement during 2004-2018. We examined the association of oral iron replacement versus no iron replacement with the incidence of eGFR <60 mL/min/1.73 m
RESULTS: In the cohort of 146 674 patients, a total of 18 547 (13%) patients experienced incident eGFR <60 mL/min/1.73 m
CONCLUSION: Oral iron replacement is associated with higher risk of new onset CKD. The long-term kidney safety of oral iron replacement should be tested in clinical trials.","2023",,"Eur J Haematol"," OBJECTIVE : We investigated the association of oral iron replacement with the incidence of chronic kidney disease ( CKD ) in a population with normal kidney function to study the effects of iron replacement on the development of new onset CKD ","other",1,"ckdIronPub","2023-12-21"
,"37547514","A Randomized Trial of Intravenous Iron Supplementation and Exercise on Exercise Capacity in Iron-Deficient Nonanemic Patients With CKD.","Greenwood SA","INTRODUCTION: Patients with chronic kidney disease (CKD) are often iron deficient, even when not anemic. This trial evaluated whether iron supplementation enhances exercise capacity of nonanemic patients with CKD who have iron-deficiency.
METHODS: Prospective, multicenter double-blind randomized controlled trial of nondialysis patients with CKD and iron-deficiency but without anemia (Hemoglobin [Hb] >110 g/l). Patients were assigned 1:1 to intravenous (IV) iron therapy, or placebo. An 8-week exercise program commenced at week 4. The primary outcome was the mean between-group difference in 6-minute walk test (6MWT) at 4 weeks. Secondary outcomes included 6MWT at 12 weeks, transferrin saturation (TSAT), serum ferritin (SF), Hb, renal function, muscle strength, functional capacity, quality of life, and adverse events at baseline, 4 weeks, and at 12 weeks. Mean between-group differences were analyzed using analysis of covariance models.
RESULTS: Among 75 randomized patients, mean (SD) age for iron therapy (
CONCLUSION: This trial did not demonstrate beneficial effects of IV iron therapy on exercise capacity at 4 weeks. A larger study is needed to confirm if IV iron is beneficial in nondialysis patients with CKD who are iron-deficient.","2023",,"Kidney Int Rep",,"other",1,"ckdIronPub","2023-12-21"
,"37445252","Iron Parameters in Patients Treated with Roxadustat for Anemia of Chronic Kidney Disease.","Ganz T","Roxadustat is a novel agent with a distinct mechanism of action compared to erythropoiesis-stimulating agents (ESAs) and a potentially different combination of effects on iron parameters. This narrative review describes the effects of roxadustat on iron parameters and on hemoglobin levels in the context of iron supplementation in patients with anemia of non-dialysis-dependent (NDD) or dialysis-dependent (DD) chronic kidney disease (CKD). Roxadustat use was associated with a greater reduction in serum ferritin levels than seen with ESAs and an increase in serum iron levels compared to a decrease with ESAs. Decreases in transferrin saturation in patients treated with roxadustat were relatively small and, in the case of patients with NDD CKD, not observed by Week 52. These changes reflect the concomitant increases in both serum iron and total iron-binding capacity. Compared to placebo and an ESA, roxadustat improved iron availability and increased erythropoiesis while requiring less intravenous iron use. Hepcidin levels generally decreased in patients who received roxadustat compared to baseline values in all CKD populations; these decreases appear to be more robust with roxadustat than with an ESA or placebo. The mechanisms behind the effects of roxadustat and ESAs on iron availability and stores and erythropoiesis appear to differ and should be considered holistically when treating anemia of CKD.","2023",,"J Clin Med",," review",1,"ckdIronPub","2023-12-21"
,"37415621","Iron-Deficiency Anemia in CKD: A Narrative Review for the Kidney Care Team.","Hain D","Anemia is a common complication of chronic kidney disease (CKD) and is associated with increased mortality and reduced health-related quality of life. Anemia is characterized by a decrease in hemoglobin, the iron-rich protein that the body uses for oxygen transport. Iron is required to produce hemoglobin, and disruptions in the iron homeostasis can lead to iron-deficiency anemia. Management of anemia in individuals with CKD is typically performed by a team of physicians, nurse practitioners, physician assistants, or registered nurses. Throughout the care continuum, the management can be enhanced by multidisciplinary care, and individuals with CKD can benefit from the involvement of other specialties, with dietitians/nutritionists playing an important role. However, a key area of unmet clinical need is how to assess and address iron-deficiency anemia. This review aims to provide an overview of iron-deficiency anemia in CKD and how this may be diagnosed and managed by the entire kidney care team, such as describing the mechanisms underlying iron homeostasis, the complications of iron-deficiency anemia, and the current challenges associated with its diagnosis and treatment in CKD. Opportunities for each multidisciplinary team member to add value to the care of individuals with CKD and iron-deficiency anemia are also described.","2023",,"Kidney Med"," This review aims to provide an overview of iron-deficiency anemia in CKD and how this may be diagnosed and managed by the entire kidney care team , such as describing the mechanisms underlying iron homeostasis , the complications of iron-deficiency anemia , and the current challenges associated with its diagnosis and treatment in"," review",1,"ckdIronPub","2023-12-21"
,"37408484","Bone marrow macrophage iron content and sideroblast count in iron- and ESA-naïve patients with CKD-related anemia.","Capusa C","BACKGROUND: Since in chronic kidney disease (CKD) iron deficiency anemia (IDA) can coexist with inflammation-induced immobilization of iron in macrophages (anemia of chronic disorders - ACD), we assessed the utility of ferritin, transferrin saturation (TSAT), and hepcidin for differentiation of mixed IDA-ACD from ACD, using bone marrow (BM) examination as reference.
METHODS: This cross-sectional, single-center study analyzed 162 non-dialysis iron and epoietin-naïve CKD patients (52% males, median age 67 years, eGFR 14.2 mL/min 1.73 m
RESULTS: ACD was seen in 51%, IDA-ACD in 40%, while ""pure"" IDA in only 9%. In univariate and binomial analyses, IDA-ACD differed from ACD by lower ferritin and TSAT, but not by hepcidin or CRP. Correspondingly, in receiver operating curve analysis, ferritin and TSAT differentiated IDA-ACD from ACD, at cutoffs of 165 ng/mL and 14%, but with moderate precision (sensitivity and specificity of 72%, and 61%, respectively).
CONCLUSION: The mixed pattern IDA-ACD could be more prevalent than estimated in non-dialysis CKD. Ferritin and, to a lesser degree, TSAT are useful in the diagnosis of IDA superimposed on ACD, while hepcidin, although reflecting BM macrophages iron, seems to have limited utility.","2023",,"Ren Fail",,"other",1,"ckdIronPub","2023-12-21"
,"37387946","Retracted: Efficacy and Mechanism of Roxadustat plus Oral Iron in the Treatment of Elderly Chronic Kidney Disease with Anemia.","And Alternative Medicine EC","[This retracts the article DOI: 10.1155/2022/9192655.].","2023",,"Evid Based Complement Alternat Med",,"other",1,"ckdIronPub","2023-12-21"
,"37376162","Theranostic Role of Iron Oxide Nanoparticle for Treating Renal Anemia: Evidence of Efficacy and Significance by MRI, Histology and Biomarkers.","Hsiao JK","(1) Background: Increasing attention has been given to applying nanosized iron oxide nanoparticles (IOPs) to treat iron deficiency anemia (IDA). Chronic kidney disease (CKD) patients who suffer from IDA often need long-term iron supplements. We aim to evaluate the safety and therapeutic effect of MPB-1523, a novel IOPs, in anemic CKD mice and to monitor iron storage by magnetic resonance (MR) imaging. (2) Methods: MPB-1523 was intraperitoneally delivered to the CKD and sham mice, and blood were collected for hematocrit, iron storage, cytokine assays, and MR imaging throughout the study. (3) Results: The hematocrit levels of CKD and sham mice dropped initially but increased gradually to reach a steady value 60 days after IOP injection. The body iron storage indicator, ferritin gradually rose and total iron-binding capacity stabilized 30 days after IOP injection. No significant inflammation or oxidative stress were observed in both groups. By T2-weighted MR imaging, the liver signal intensity gradually increased in both groups but was more pronounced in the CKD group, indicating aggressive utilization of MPB-1523. MR imaging, histology and electron microscopy showed MPB-1523 is liver-specific. (4) Conclusions: MPB-1523 can serve as a long-term iron supplement and is monitored by MR imaging. Our results have strong translatability to the clinic.","2023",,"Pharmaceutics"," We aim to evaluate the safety and therapeutic effect of MPB-1523 , a novel IOPs , in anemic CKD mice and to monitor iron storage by magnetic resonance ( MR ) imaging ","other",1,"ckdIronPub","2023-12-21"
,"37349056","Deregulating iron-erythropoiesis regulation: transferrin receptor 2 as potential target for treating anemia in CKD.","Koury MJ","Both insufficient kidney production of erythropoietin and inflammation-mediated reduction of transferrin-bound iron are major factors in anemia of chronic kidney disease. Improved therapies for anemia in chronic kidney disease may involve modifying regulators of erythropoiesis and iron availability. Olivari et al. show in a mouse model of chronic kidney disease that transferrin receptor 2 in hepatocytes, where it is required for hepcidin production, and in erythroid cells, where it downregulates erythropoietin receptor activity, is a potential therapeutic target.","2023",,"Kidney Int",,"other",1,"ckdIronPub","2023-12-21"
,"37202214","Association between serum iron markers, iron supplementation and cardiovascular morbidity in pre-dialysis chronic kidney disease.","Hasegawa T","BACKGROUND: The optimal range of serum iron markers and usefulness of iron supplementation are uncertain in patients with pre-dialysis chronic kidney disease (CKD). We investigated the association between serum iron indices and risk of cardiovascular disease (CVD) events and the effectiveness of iron supplementation using Chronic Kidney Disease Japan Cohort data.
METHODS: We included 1416 patients ages 20-75 years with pre-dialysis CKD. The tested exposures were serum transferrin saturation and serum ferritin levels and the outcome measures were any cardiovascular event. Fine-Gray subdistribution hazard models were used to examine the association between serum iron indices and time to events. The multivariable fractional polynomial interaction approach was used to evaluate whether serum iron indices were effect modifiers of the association between iron supplementation and cardiovascular events.
RESULTS: The overall incidence rate of CVD events for a median of 4.12 years was 26.7 events/1000 person-years. Patients with serum transferrin saturation <20% demonstrated an increased risk of CVD [subdistribution hazard ratio (HR) 2.13] and congestive heart failure (subdistribution HR 2.42). The magnitude of reduction in CVD risk with iron supplementation was greater in patients with lower transferrin saturations (P = .042).
CONCLUSIONS: Maintaining transferrin saturation >20% and adequate iron supplementation may effectively reduce the risk of CVD events in patients with pre-dialysis CKD.","2023",,"Nephrol Dial Transplant"," We investigated the association between serum iron indices and risk of cardiovascular disease ( CVD ) events and the effectiveness of iron supplementation using Chronic Kidney Disease Japan Cohort data ","other",1,"ckdIronPub","2023-12-21"
,"37151072","An Analytical Method for Determination of Total Iron in Pharmaceuticalgrade Intravenous Iron Colloidal Complexes by Redox-Potentiometry.","Kamisetty MK","BACKGROUND: Iron carbohydrate complexes are colloidal dispersions made up of polynuclear Fe(III)-oxyhydroxide cores surrounded by a carbohydrate shell that stabilizes the complex in iron colloidal formulations. The current study provides an improved method that is precise, accurate, and linear for quantifying total iron in most Iron Carbohydrate Colloid Drug Products.
METHODS: Redox iodometry with a potentiometric determination is used to evaluate total iron in intravenous formulations. The visual indicator approach is more prone to fluctuations at endpoint calculations. Hence, the voltage potential approach is widely accepted as it is more accurate and sensitive. It tracks the actual change in activity that coincides with the equivalence point that is finally considered an endpoint. The principle is based on the idea that ferric iron in formulation reduces to ferrous iron in the presence of the iodide, which oxidizes to iodine. The released iodine is titrated using sodium thiosulfate.
RESULTS: The proposed method was precise, with %RSD (relative standard deviation) not more than 1. The method was linear between 80% and 120%, with a linear regression of 0.999. The percent recovery ranged from 98.20 to 99.98 for the concentration ranges of 80-120. The method's robustness was checked by various analysts using different reagent grades.
CONCLUSION: The proposed potentiometric determination method was precise, accurate, linear, and sensitive. The method was successfully validated, and the total iron content determined for commercial batches agrees with the iron claim on the label. Therefore, this method can be adapted widely for total iron content determination in any Intravenous formulation currently available on the market. The proposed method is more accessible at the Quality Control facilities on an industrial scale.","2023",,"Pharm Nanotechnol",,"other",1,"ckdIronPub","2023-12-21"
,"37101846","Skin Staining Following Intravenous Iron Extravasation in a Patient With Chronic Kidney Disease: A Case Report.","Shi R","RATIONALE: Intravenous iron is commonly use in anemia related to chronic kidney disease. Skin staining due to iron extravasation is a rare adverse reaction that can leave a long-term staining of the skin.
PRESENTING CONCERNS OF THE PATIENTS: During iron derisomaltose infusion, patient reported iron extravasation. Five months after the incident, the skin stain related to the extravasation was still present.
DIAGNOSIS: A case of skin staining due to iron derisomaltose extravasation was diagnosed.
INTERVENTIONS/OUTCOMES: She was reviewed by dermatology and laser therapy was offered.
TEACHING POINTS: Patients and clinicians need to be aware of this complication, and protocol needs to be put in place to minimize extravasation and its complication.","2023",,"Can J Kidney Health Dis",,"other",1,"ckdIronPub","2023-12-21"
