"idStudy0","PMID","title","author","ABSTRACT","yearPublication","journal","objective","studyPlan","fromCode","projectName","uploadDate"
,"24392162"," Prevalence of anemia in chronic kidney disease in the United States. ","Stauffer M. and Fan T.","Anemia is one of the many complications of chronic kidney disease (CKD). However, the current prevalence of anemia in CKD patients in the United States is not known. Data from the National Health and Nutrition Examination Survey (NHANES) in 2007-2008 and 2009-2010 were used to determine the prevalence of anemia in subjects with CKD. The analysis was limited to adults aged >18 who participated in both the interview and exam components of the survey. Three outcomes were assessed: the prevalence of CKD, the prevalence of anemia in subjects with CKD, and the self-reported treatment of anemia. CKD was classified into 5 stages based on the glomerular filtration rate and evidence of kidney damage, in accordance with the guidelines of the National Kidney Foundation. Anemia was defined as serum hemoglobin levels ≤12 g/dL in women and ≤13 g/dL in men. We found that an estimated 14.0% of the US adult population had CKD in 2007-2010. Anemia was twice as prevalent in people with CKD (15.4%) as in the general population (7.6%). The prevalence of anemia increased with stage of CKD, from 8.4% at stage 1 to 53.4% at stage 5. A total of 22.8% of CKD patients with anemia reported being treated for anemia within the previous 3 months-14.6% of patients at CKD stages 1-2 and 26.4% of patients at stages 3-4. These results update our knowledge of the prevalence and treatment of anemia in CKD in the United States.","2014","PloS one",,"other",1,"anemiaHbIronCkdLisa","2023-11-08"
,"32753256"," Iron deficiency and supplementation in heart failure and chronic kidney disease. ","Punj S. et al.","Iron is a key element for normal cellular function and plays a role in many cellular processes including mitochondrial respiration. The role of iron deficiency (ID) in heart failure (HF) has been a subject of debate amid increasing advocacy for intravenous (IV) supplementation. Both the definition and the approach to treatment of ID in HF have been adapted from the experience in patients with chronic kidney disease (CKD). In this review, we highlight the differences in regulatory mechanisms as well as pathophysiology of ID in CKD and HF population both at the systemic and cellular levels. We will review the major clinical trials in HF patients that have shown symptomatic benefit from IV iron supplementation but without effect on clinical outcomes. Intravenous iron loading bypasses the mechanisms that tightly regulate iron uptake and can potentially cause myocardial and endothelial damage by releasing reactive oxygen species. By contrast, newer oral iron preparations do not have similar toxicity concerns and might have a role in heart failure.","2020","Molecular aspects of medicine",,"Clinical trial",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17108343"," Correction of anemia with epoetin alfa in chronic kidney disease. ","Singh A. et al.","BACKGROUND: Anemia, a common complication of chronic kidney disease, usually develops as a consequence of erythropoietin deficiency. Recombinant human erythropoietin (epoetin alfa) is indicated for the correction of anemia associated with this condition. However, the optimal level of hemoglobin correction is not defined. METHODS: In this open-label trial, we studied 1432 patients with chronic kidney disease, 715 of whom were randomly assigned to receive a dose of epoetin alfa targeted to achieve a hemoglobin level of 13.5 g per deciliter and 717 of whom were assigned to receive a dose targeted to achieve a level of 11.3 g per deciliter. The median study duration was 16 months. The primary end point was a composite of death, myocardial infarction, hospitalization for congestive heart failure (without renal replacement therapy), and stroke. RESULTS: A total of 222 composite events occurred: 125 events in the high-hemoglobin group, as compared with 97 events in the low-hemoglobin group (hazard ratio, 1.34; 95% confidence interval, 1.03 to 1.74; P=0.03). There were 65 deaths (29.3%), 101 hospitalizations for congestive heart failure (45.5%), 25 myocardial infarctions (11.3%), and 23 strokes (10.4%). Seven patients (3.2%) were hospitalized for congestive heart failure and myocardial infarction combined, and one patient (0.5%) died after having a stroke. Improvements in the quality of life were similar in the two groups. More patients in the high-hemoglobin group had at least one serious adverse event. CONCLUSIONS: The use of a target hemoglobin level of 13.5 g per deciliter (as compared with 11.3 g per deciliter) was associated with increased risk and no incremental improvement in the quality of life. (ClinicalTrials.gov number, NCT00211120 [ClinicalTrials.gov].).","2006","The New England journal of medicine"," In this open-label trial , we studied 1432 patients with chronic kidney disease , 715 of whom were randomly assigned to receive a dose of epoetin alfa targeted to achieve a hemoglobin level of 13","Clinical trial",1,"anemiaHbIronCkdLisa","2023-11-08"
,"36588451"," The role of roxadustat in chronic kidney disease patients complicated with anemia. ","Liu J. et al.","The incidence of chronic kidney disease (CKD) is increasing worldwide and the current prevalence rate is 13.4%. There are > 120 million CKD patients in China and this number is expected to increase. One of the main abnormalities in patients with CKD and kidney impairment is decreased synthesis of erythropoietin (EPO), which causes anemia and affects iron metabolism. The probability of developing is higher in anemia patients with CKD than in the general population, and the incidence increases as kidney function decreases. Deficient EPO production by the kidney is the most important cause of renal anemia. Notably, anemia in patients with CKD has multiple causes, such as bleeding caused by platelet dysfunction, iron deficiency due to digestive and absorption disorders of the gastrointestinal tract, and shorter red blood cell life. Anemia is also a leading cause of hospitalization in patients with CKD. A new oral medication to treat renal anemia, the hypoxia-inducible factor prolyl hydroxylase inhibitor called roxadustat (FG-4592), regulates iron metabolism and promotes erythropoiesis. This drug has a therapeutic effect on patients with CKD. Roxadustat showed advantages over EPO in clinical experiments. This review summarizes the mechanisms of action, clinical applications, effectiveness, and safety of roxadustat.","2023","The Korean journal of internal medicine",,"Review",1,"anemiaHbIronCkdLisa","2023-11-08"
,"34686069"," An evaluation of roxadustat for the treatment of anemia associated with chronic kidney disease. ","Kurata Y. et al.","INTRODUCTION: Anemia is one of the major complications of chronic kidney disease (CKD). Erythropoiesis-stimulating agents (ESAs) have been the mainstay of renal anemia treatment. However, there are several safety drawbacks, and a safer and more effective alternative treatment has been sought. AREAS COVERED: Hypoxia-inducible factor prolyl hydroxylase inhibitors (HIF-PHIs) have been developed as a novel orally active therapeutic agent for renal anemia. HIF-PHIs stimulate endogenous EPO and optimize iron utilization. Roxadustat is a first-in-class HIF-PHI for the treatment of anemia in CKD patients approved in China, Japan, South Korea, and Chile. The authors herein evaluate the pharmacology of roxadustat and give their expert perspectives on its use. EXPERT OPINION: Phase 3 clinical trials have demonstrated that roxadustat effectively increases and maintains hemoglobin (Hb) levels in both nondialysis-dependent and dialysis-dependent CKD patients. Roxadustat also improved iron metabolism and reduced intravenous (IV) iron requirements. However, pooled analyses of phase 3 studies have revealed frequent thromboembolic events in the roxadustat group, which might be attributed to rapid changes in Hb and inadequate iron supplementation. Roxadustat is an attractive alternative treatment especially for patients with ESA hyporesponsive due to impaired iron utilization, and so appropriate selection of target patients and its proper use are crucially important.","2022","Expert opinion on pharmacotherapy",,"Clinical trial",1,"anemiaHbIronCkdLisa","2023-11-08"
,"35751858"," Erythropoietic effects of vadadustat in patients with anemia associated with chronic kidney disease. ","Koury M. et al.","Patients with chronic kidney disease (CKD) develop anemia largely because of inappropriately low erythropoietin (EPO) production and insufficient iron available to erythroid precursors. In four phase 3, randomized, open-label, clinical trials in dialysis-dependent and non-dialysis-dependent patients with CKD and anemia, the hypoxia-inducible factor prolyl hydroxylase inhibitor, vadadustat, was noninferior to the erythropoiesis-stimulating agent, darbepoetin alfa, in increasing and maintaining target hemoglobin concentrations. In these trials, vadadustat increased the concentrations of serum EPO, the numbers of circulating erythrocytes, and the numbers of circulating reticulocytes. Achieved hemoglobin concentrations were similar in patients treated with either vadadustat or darbepoetin alfa, but compared with patients receiving darbepoetin alfa, those receiving vadadustat had erythrocytes with increased mean corpuscular volume and mean corpuscular hemoglobin, while the red cell distribution width was decreased. Increased serum transferrin concentrations, as measured by total iron-binding capacity, combined with stable serum iron concentrations, resulted in decreased transferrin saturation in patients randomized to vadadustat compared with patients randomized to darbepoetin alfa. The decreases in transferrin saturation were associated with relatively greater declines in serum hepcidin and ferritin in patients receiving vadadustat compared with those receiving darbepoetin alfa. These results for serum transferrin saturation, hepcidin, ferritin, and erythrocyte indices were consistent with improved iron availability in the patients receiving vadadustat. Thus, overall, vadadustat had beneficial effects on three aspects of erythropoiesis in patients with anemia associated with CKD: increased endogenous EPO production, improved iron availability to erythroid cells, and increased reticulocytes in the circulation.","2022","American journal of hematology",,"Clinical trial",1,"anemiaHbIronCkdLisa","2023-11-08"
,"33051677"," The efficacy and safety of roxadustat for anemia in patients with chronic kidney disease: a meta-analysis. ","Zheng Q. et al.","BACKGROUND: Chronic kidney disease (CKD) is an increasing public health issue. Anemia, which is a complication of CKD, is associated with reduced quality of life and increased morbidity and mortality. Currently quite a few clinical studies have been conducted to compare roxadustat with epoetin alfa [all for dialysis-dependent (DD) patients] or placebo [all for nondialysis-dependent (NDD) patients]. Our meta-analysis aimed to investigate the efficacy and safety of roxadustat for anemia in patients with CKD. METHODS: We thoroughly searched eight electronic resource databases for randomized controlled trials (RCTs) comparing the efficacy and safety between roxadustat versus epoetin alfa or placebo for the treatment of anemia in patients with CKD. RESULTS: Four Phase 2 and two Phase 3 studies with 1010 participants were included. Hemoglobin (Hb) and transferrin levels were increased significantly in the roxadustat group versus those in the placebo {standard mean difference [SMD] 1.57 [95% confidence interval (CI) 1.17-1.98]; SMD 1.81 [95% CI 1.53-2.08]; respectively, both low-quality evidence} or epoetin alfa group [SMD 0.47 (95% CI 0.02-0.93), very low-quality evidence; SMD 1.05 (95% CI 0.81-1.29), low-quality evidence; respectively]. Hepcidin levels were reduced significantly in the roxadustat group versus those in the placebo [SMD -1.72 (95%","2021","Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association"," Our meta-analysis aimed to investigate the efficacy and safety of roxadustat for anemia in patients with CKD ","Meta analysis",1,"anemiaHbIronCkdLisa","2023-11-08"
,"34162484"," Safety and Efficacy of Intravenous Ferric Derisomaltose Compared to Iron Sucrose for Iron Deficiency Anemia in Patients with Chronic Kidney Disease With and Without Heart Failure. ","Ambrosy A. et al.","Ferric derisomaltose (FDI) is an intravenous (IV) high-dose iron formulation approved in the US for the treatment of iron deficiency anemia in adults who are intolerant of/have had an unsatisfactory response to oral iron, or who have non-dialysis-dependent chronic kidney disease (NDD-CKD). FERWON-NEPHRO was a randomized, open-label, multicenter clinical trial evaluating the safety and efficacy of a single infusion of FDI 1,000 mg versus up to 5 doses of iron sucrose (IS) 200 mg (recommended cumulative dose, 1,000 mg) over 8 weeks in patients with NDD-CKD and iron deficiency anemia. Of 1,525 patients included in the safety analysis, 244 (16%) had a history of heart failure (HF). Overall, the rate of serious or severe hypersensitivity reactions was low and did not differ between treatment groups. Cardiovascular adverse events (AEs) were reported for 9.4% of patients who had HF and 4.2% who did not. Time to first cardiovascular AE was longer following administration of FDI compared with IS (hazard ratio: 0.59 [95% CI: 0.37, 0.92]; p=0.0185), a difference that was similar in patients with or without HF (p=0.908 for interaction). Patients achieved a faster hematological response (assessed by changes in hemoglobin and ferritin concentrations, and increase in transferrin saturation) with FDI versus IS. In conclusion, in patients with NDD-CKD, a single infusion of FDI was safe, well tolerated, and was associated with fewer cardiovascular AEs and a faster hematological response, compared to multiple doses of IS. These effects were similar for patients with and without HF.","2021","The American journal of cardiology",,"Clinical trial",1,"anemiaHbIronCkdLisa","2023-11-08"
,"30798815"," Hepcidin in chronic kidney disease anemia. ","Santos-Silva A. et al.","Chronic kidney disease (CKD) is associated with several complications that worsen with progression of disease; anemia, disturbances in iron metabolism and inflammation are common features. Inflammatory response starts early, releasing pro-inflammatory cytokines, acute phase reactants and hepcidin. Hepcidin production is modulated by several factors, as hypoxia/anemia, erythropoietin and erythropoiesis products, transferrin saturation (TSAT) and liver iron levels, which are altered in CKD. Treatment of CKD anemia is based on pharmaceutical intervention, with erythropoietic stimulating agents and/or iron supplementation; however, in spite of the erythropoietic benefits, this therapy, on a regular basis, involves risks, namely iron overload. To overcome these risks, some therapeutic approaches are under study to target CKD anemia. Considering the actual alerts about risk of iron overload in dialysis patients, inhibition of hepcidin, the central key player in iron homeostasis, could be a pivotal strategy in the management of CKD anemia.","2019","Vitamins and hormones",,"Review",1,"anemiaHbIronCkdLisa","2023-11-08"
,"34805628"," Iron Deficiency in CKD Without Concomitant Anemia. ","Wish J. et al.","The physiological role of iron extends well beyond hematopoiesis. Likewise, the pathophysiological effects of iron deficiency (ID) extend beyond anemia. Although inextricably interrelated, ID and anemia of chronic kidney disease (CKD) are distinct clinical entities. For more than 3 decades, however, nephrologists have focused primarily on the correction of anemia. The achievement of target hemoglobin (Hgb) concentrations is prioritized over repletion of iron stores, and iron status is generally a secondary consideration only assessed in those patients with anemia. Historically, the correction of ID independent of anemia has not been a primary focus in the management of CKD. In contrast, ID is a key therapeutic target in the setting of heart failure (HF) with reduced ejection fraction (HFrEF); correction of ID in this population improves functional status and quality of life and may improve cardiovascular (CV) outcomes. Given the strong interrelationships between HF and CKD, it is reasonable to consider whether iron therapy alone may benefit those with CKD and evidence of ID irrespective of Hgb concentration. In this review, we differentiate anemia from ID by considering both epidemiologic and pathophysiological perspectives and by reviewing the evidence linking correction of ID to outcomes in patients with HF and/or CKD. Furthermore, we discuss existing gaps in evidence and provide proposals for future research and practical considerations for clinicians.","2021","Kidney international reports",,"Review",1,"anemiaHbIronCkdLisa","2023-11-08"
,"34514189"," Treatment of Iron Deficiency Anemia in CKD and End-Stage Kidney Disease. ","Gutiérrez O.","Iron deficiency is common in individuals with chronic kidney disease and plays a major role in the development of anemia. Oral and intravenous iron agents are both available to replete iron in patients with chronic kidney disease diagnosed with iron deficiency. The choice of which agent to use is most often dictated by goals of therapy, tolerability, convenience, and response to prior therapy. Diminished absorption of iron in the gastrointestinal tract and a high incidence of gastrointestinal adverse effects can reduce the efficacy of oral iron agents, necessitating the use of i.v. iron formulations to treat iron deficiency anemia, particularly in patients requiring kidney replacement therapy. Newer oral agents may help to overcome these limitations and help treat iron deficiency in those not requiring kidney replacement therapy. Recent studies have provided new evidence that more aggressive repletion of iron in patients with chronic kidney disease requiring kidney replacement therapy may provide benefits with respect to anemia management and hard clinical outcomes such as cardiovascular disease and survival.","2021","Kidney international reports",,"Review",1,"anemiaHbIronCkdLisa","2023-11-08"
,"31614529"," Anemia of Inflammation with An Emphasis on Chronic Kidney Disease. LI","Begum S. and Latunde-Dada G.","Iron is vital for a vast variety of cellular processes and its homeostasis is strictly controlled and regulated. Nevertheless, disorders of iron metabolism are diverse and can be caused by insufficiency, overload or iron mal-distribution in tissues. Iron deficiency (ID) progresses to iron-deficiency anemia (IDA) after iron stores are depleted. Inflammation is of diverse etiology in anemia of chronic disease (ACD). It results in serum hypoferremia and tissue hyperferritinemia, which are caused by elevated serum hepcidin levels, and this underlies the onset of functional iron-deficiency anemia. Inflammation is also inhibitory to erythropoietin function and may directly increase hepcidin level, which influences iron metabolism. Consequently, immune responses orchestrate iron metabolism, aggravate iron sequestration and, ultimately, impair the processes of erythropoiesis. Hence, functional iron-deficiency anemia is a risk factor for several ailments, disorders and diseases. Therefore, therapeutic strategies depend on the symptoms, severity, comorbidities and the associated risk factors of anemia. Oral iron supplements can be employed to treat ID and mild anemia particularly, when gastrointestinal intolerance is minimal. Intravenous (IV) iron is the option in moderate and severe anemic conditions, for patients with compromised intestinal integrity, or when oral iron is refractory. Erythropoietin (EPO) is used to treat functional iron deficiency, and blood transfusion is restricted to refractory patients or in life-threatening emergency situations. Despite these interventions, many patients remain anemic and do not respond to conventional treatment approaches. However, various novel therapies are being developed to treat persistent anemia in patients.","2019","Nutrients",,"Review",1,"anemiaHbIronCkdLisa","2023-11-08"
,"28403561"," Iron deficiency anemia in chronic kidney disease: Uncertainties and cautions. ","Agarwal R.","Anemia in chronic kidney disease is common and iron deficiency is an important cause. To repair iron-deficiency anemia, replacement of iron is needed. Iron can be replaced either by the oral route or by the intravenous route. In a meta-analysis, 5 of the 6 trials were short-term, 1 to 3 months, and compared to oral iron, the mean increase in hemoglobin with intravenous iron was only 0.31 g/dL. However, one of the studies included in this meta-analysis was 6 months long and had a mean decline in hemoglobin of 0.52 g/dL associated with intravenous iron administration. Given the short duration of most of the clinical trials comparing oral with intravenous administration of iron the long-term safety of these modes of administration of supplemental iron could not be assessed. Replacement of iron by the oral route is associated with mostly minor complications such as black stools, constipation, and abdominal discomfort. In contrast, intravenous administration of iron may lead to severe adverse events such as anaphylaxis and, as a more recent randomized trial has suggested, delayed complications such as infections and cardiovascular disease. Delayed complications of repeated intravenous iron use are difficult to recognize at an individual level therefore inpatients who have had recent cardiovascular events or are infected, intravenous iron should probably be avoided. Balancing safety and efficacy would require clinical judgment because 1 size may not fit all till we have better data to support the liberal use of parenteral iron.","2017","Hemodialysis international. International Symposium on Home Hemodialysis",,"Meta analysis",1,"anemiaHbIronCkdLisa","2023-11-08"
,"31340090"," Roxadustat and Anemia of Chronic Kidney Disease. ","Kaplan J.",,"2019","The New England journal of medicine",,"other",1,"anemiaHbIronCkdLisa","2023-11-08"
