"idStudy0","PMID","title","author","ABSTRACT","yearPublication","journal","journalShort","objective","studyPlan","keywords","fromCode","projectName","uploadDate"
,"36689643","Markers of olfactory dysfunction and progression to dementia: A 12-year population-based study.","Laukka EJ","INTRODUCTION: We evaluated markers of olfactory dysfunction (OD) for estimating hazard of dementia in older adults.
METHODS: Mild (hyposmia) and severe (anosmia) OD was classified in a population-based study of dementia-free persons (SNAC-K; n = 2473; mean age = 70 years) using the Sniffin sticks odor identification task. Combined variables were created for objective and subjective OD and for OD and APOE status. Hazard of dementia across 12 years was estimated with Cox regression.
RESULTS: OD was associated with increased hazard of dementia (2.01; 95% confidence interval [CI] 1.60-2.52), with the strongest association for anosmia (2.92; 95% CI 2.14-3.98). Results remained consistent after adjusting for potential confounders and across age and sex subgroups. APOE ε4 carriers with anosmia had the highest hazard of dementia (ε4: 6.95; 95% CI 4.16-11.62; ε4/ε4: 19.84; 95% CI 6.17-63.78).
DISCUSSION: OD is associated with increased risk of dementia, especially severe impairment in combination with genetic risk of Alzheimer's disease.","2023",,"Alzheimers Dement"," Combined variables were created for objective and subjective OD and for OD and APOE status ","other","Humans, FALSE, Aged, FALSE, Anosmia, TRUE, Smell, FALSE, Alzheimer Disease, TRUE, epidemiology, Q000453, Heterozygote, FALSE, Risk Factors, FALSE, Apolipoprotein E4, FALSE, genetics, Q000235",1,"projTutoParkinson","2023-12-28"
,"36681150","The Relationship Between Coronary Artery Calcification and Carotid Intima Media Thickness and Hippocampal Volume: An Analysis From the Dallas Heart Study.","Yuan C","BACKGROUND: Higher rates of dementia are reported in people with a history of coronary artery disease. Smaller hippocampal volume (HV) is a risk factor for the development of dementia.
OBJECTIVE: This study assessed whether coronary artery calcification (CAC) and carotid intima media thickness (CIMT) are associated with HV in participants from the Dallas Heart Study, a community-based study of Dallas County, Texas, residents.
METHODS: Data from a total of n = 1821 participants in the Dallas Heart Study with brain magnetic resonance imaging, CAC, and CIMT information were included in the present study, after excluding those with a history of myocardial infarction or stroke. To evaluate the effect of CAC and CIMT on total HV, 4 linear regression analyses were conducted in which the primary predictor was (1) CAC as a continuous metric; (2) CAC as a binary metric (CAC = 0 vs. CAC ≥ 1); (3) CAC as a continuous metric but only for those with CAC >0; and (4) CIMT as a continuous metric. Demographic and cardiovascular disease risk factors, as well as intracranial volume, were entered into the model as covariates.
RESULTS: Participants were largely women (58.2%) with a mean age of 49.7 ± 10.3 years. Forty-six percent of the sample reported being Black, and approximately 14% reported being Hispanic. All 3 variations of the CAC effect were nonsignificant predictors of total HV (β = -0.013, P = 0.602; β = -0.011, P = 0.650; β = 0.036, P = 0.354, respectively), as was the effect of CIMT (β = 0.009, P = 0.686).
CONCLUSIONS: Current findings suggest nonsignificant relationships between both CAC and CIMT and between CAC and total HV, while controlling for other related factors in a large, diverse, community-based sample of people without a history of myocardial infarction or stroke. In the context of existing evidence that both coronary artery disease and smaller HV are associated with the development of dementia, the present findings suggest that neither marker of the cardiovascular disease examined here is associated with a reduction in HV in the population studied. Longitudinal studies are needed to assess relationships between CAC and CIMT and between CAC and HV over time.","2023",,"J Acad Consult Liaison Psychiatry"," OBJECTIVE : This study assessed whether coronary artery calcification ( CAC ) and carotid intima media thickness ( CIMT ) are associated with HV in participants from the Dallas Heart Study , a community-based study of Dallas County , Texas , residents ","other","Humans, FALSE, Female, FALSE, Adult, FALSE, Middle Aged, FALSE, Coronary Artery Disease, TRUE, diagnostic imaging, Q000000981, Carotid Intima-Media Thickness, FALSE, Stroke, TRUE, Myocardial Infarction, TRUE, Dementia, TRUE",1,"projTutoParkinson","2023-12-28"
,"36658102","Association of Thyroid-Stimulating Hormone With All-Cause Mortality: A 2-Sample Mendelian Randomization Study.","Gu Y","CONTEXT: Thyroid-stimulating hormone (TSH), as the most sensitive and specific marker of thyroid status, is associated with multiple health outcomes, including mortality. However, whether TSH levels are causally associated with the risk of mortality remains unclear.
OBJECTIVE: This study aims to investigate the causal association between TSH levels and all-cause mortality using Mendelian randomization (MR) analyses.
METHODS: MR analyses using single-nucleotide polymorphisms (SNPs) associated with TSH levels (P < 5 × 10-8) as instruments. Mortality data were obtained from the UK Biobank, including 384 344 participants who were recruited from 22 assessment centers across the UK taken between 2006 and 2010. Cox proportional hazards regression was used to estimate the association of the TSH genetic risk score (GRS) with all-cause and cause-specific mortality.
RESULTS: 15 557 individuals died during a median of 9.00 years of follow-up in the UK Biobank. A total of 70 SNPs were included in the MR analysis. The main MR analyses showed that 1 SD increase in TSH was associated with a decreased risk of all-cause mortality (OR 0.972, 95% CI 0.948-0.996), which may be largely attributed to respiratory disease mortality (OR 0.881, 95% CI 0.805-0.963). The multivariable hazard ratios (HRs) (95% CI) of all-cause mortality across 3 TSH GRS categories were 1.00 (reference), 0.976 (0.940-1.014), and 0.947 (0.911-0.985), respectively (P for trend < .01). Moreover, except digestive diseases mortality, genetically predicted TSH levels were negatively associated with mortality from CVD, cancer, noncancer diseases causes, and dementia, although not statistically significant.
CONCLUSION: Higher TSH levels were causally associated with lower risk of all-cause mortality, which may be largely attributed to respiratory disease mortality.","2023",,"J Clin Endocrinol Metab"," OBJECTIVE : This study aims to investigate the causal association between TSH levels and all-cause mortality using Mendelian randomization ( MR ) analyses ","other","Humans, FALSE, Thyrotropin, TRUE, genetics, Q000235, Mendelian Randomization Analysis, TRUE, Thyroid Gland, FALSE, Risk Factors, FALSE, Causality, FALSE, Genome-Wide Association Study, FALSE, Polymorphism, Single Nucleotide, FALSE",1,"projTutoParkinson","2023-12-28"
,"36632053","Aberrant corticospinal tract characteristics in prodromal PD: A diffusion tensor imaging study.","Pimer LJ","INTRODUCTION: Parkinson's disease (PD) is typically diagnosed when motor symptoms first occur. However, PD-related non-motor symptoms may appear several years before diagnosis. REM sleep behaviour disorder (RBD) and olfactory deficits (hyposmia) are risk factors, but they are not specific for predicting progression towards PD. Other PD-related markers, for example brain imaging markers, may help to identify preclinical PD in hyposmic RBD patients. Studies have reported abnormal structural characteristics in the corticospinal tract (CST) of PD patients, but it is unclear whether hyposmic RBD patients have similar abnormalities that may help to predict PD in these individuals. This study examined whether CST abnormalities may be a potential marker of PD risk by using diffusion tensor imaging (DTI) measures.
METHODS: Twenty hyposmic RBD patients, 31 PD patients, and 29 healthy controls (HCs) were studied. DTI data were collected on a 1.5 T MRI scanner and CST characteristics (FA, MD, AD, and RD) were evaluated using probabilistic tractography (with seed regions in the bilateral primary motor cortex and mediolateral cerebral peduncles). Olfactory function was assessed with the University of Pennsylvania Smell Identification Test (UPSIT).
RESULTS: Hyposmic RBD patients showed significantly higher mean diffusivity (MD) values of the right CST compared to HCs but did not differ from PD patients. PD patients showed a trend of higher MD values compared to HCs.
CONCLUSIONS: Altered diffusivity in the CST seems to be associated with RBD. The combination of RBD, hyposmia, and CST alterations may be related to later development of PD with comorbid RBD.","2023",,"Clin Park Relat Disord",,"other","NULL",1,"projTutoParkinson","2023-12-28"
,"36617333","[The role of hyperuricemia in the development of cognitive changes in the elderly.].","Kunitskaya NA","It is known that hyperuricemia is recognized as an independent cardiovascular risk factor. However, uric acid can also perform useful functions due to its antioxidant properties, which may be especially relevant in the context of neurodegenerative diseases. This review examines the currently available data on the relationship between serum uric acid levels and cognitive functions in the elderly, paying special attention to the etiology of cognitive disorders (Alzheimer's disease, Parkinson's dementia and vascular dementia). Despite the high heterogeneity of existing studies due to the different characteristics of the studied populations and methods of assessing cognitive impairment, it was concluded that uric acid can modulate cognitive function in different ways depending on the etiology of dementia. Modern studies demonstrate that uric acid can have a neuroprotective effect in Alzheimer's disease and Parkinson's dementia, while hypouricemia is a risk factor for faster disease progression and is a possible marker of malnutrition. Conversely, a high level of uric acid in the blood serum can negatively affect the course of the disease in vascular dementia. Further studies are needed to clarify the physiopathological role of uric acid in various types of dementia and its clinical and prognostic significance.","2022",,"Adv Gerontol",," review","Humans, FALSE, Aged, FALSE, Dementia, TRUE, etiology, Q000209, Alzheimer Disease, TRUE, complications, Q000150, Hyperuricemia, TRUE, complications, Q000150, Dementia, Vascular, TRUE, Uric Acid, FALSE, Parkinson Disease, TRUE, complications, Q000150, Cognitive Dysfunction, TRUE, diagnosis, Q000175, Cognition, FALSE",1,"projTutoParkinson","2023-12-28"
,"36611276","Transitions Between Mild Cognitive Impairment, Dementia, and Mortality: The Importance of Olfaction.","Knight JE","BACKGROUND: The existing literature suggests that impaired olfaction may be an early marker for cognitive decline. Tracking the earliest stages of the progression to dementia is paramount, and yet the importance of olfactory ability throughout cognitive states and death remains unclear.
METHODS: Drawing data from the Rush Memory and Aging Project (N = 1 501; 74% female), olfactory ability was assessed using the Brief Smell Identification Test (range = 0-16), while cognitive states (unimpaired, mild cognitive impairment [MCI], and dementia) were determined using a 3-step neuropsychological diagnostic protocol at up to 15 annual occasions. Multistate survival models simultaneously estimated the association of olfactory ability on transitions through cognitive states and death, while multinomial regression models estimated cognitively unimpaired and total life expectancies.
RESULTS: Higher olfactory scores were associated with a reduced risk of transitioning from unimpaired cognition to MCI (hazard ratio [HR] = 0.86, 95% confidence interval [CI] = 0.82-0.88) and from MCI to dementia (HR = 0.89, 95% CI = 0.86-0.93), indicating that 1-unit increase in olfactory scores was associated with an approximate 14% and 11% reduction in risk, respectively. Additionally, higher olfactory scores were associated with a greater likelihood of transitioning backward from MCI to unimpaired cognition (HR = 1.07, 95% CI = 1.02-1.12). Furthermore, higher baseline olfactory scores were associated with more years of longevity without cognitive impairment. However, olfaction was not associated with the transition to death when accounting for transitions through cognitive states.
CONCLUSIONS: Findings suggest that higher olfactory identification scores are associated with a decreased risk of transitioning to impaired cognitive states and that associations between olfaction and mortality may occur primarily through the pathway of neurodegeneration.","2023",,"J Gerontol A Biol Sci Med Sci",,"other","Humans, FALSE, Female, FALSE, Male, FALSE, Smell, FALSE, Alzheimer Disease, TRUE, diagnosis, Q000175, Cognitive Dysfunction, TRUE, diagnosis, Q000175, Cognition, FALSE, Olfaction Disorders, TRUE, complications, Q000150, Neuropsychological Tests, FALSE",1,"projTutoParkinson","2023-12-28"
,"36604624","Deep medullary veins: a promising neuroimaging marker for mild cognitive impairment in outpatients.","Chen X","BACKGROUND AND PURPOSE: Mild cognitive impairment is an age-dependent pre-dementia state caused by varied reasons. Early detection of MCI helps handle dementia. Vascular factors are vital for the occurrence of MCI. This study investigates the correlation between deep medullary veins and multi-dimensional cognitive outcomes.
MATERIALS AND METHODS: A total of 73 participants with MCI and 32 controls were enrolled. Minimum Mental State Examination and Montreal Cognitive Assessment were used to examine the global cognitive function, and different cognitive domains were measured by specific neuropsychological tests. MRI was used to assess the visibility of the DMV and other neuroimage markers.
RESULTS: DMV score was statistically significantly higher in the MCI group compared with the control group (P = 0.009) and independently related to MCI (P = 0.007). Linear regression analysis verified that DMV score was linearly related to global cognition, memory, attention, and executive function after adjusting for cerebrovascular risk factors.
CONCLUSION: DMV score was independently related to the onset of MCI, and correlates with overall cognition, memory, attention, and executive function in outpatients.","2023",,"BMC Neurol","BACKGROUND AND PURPOSE : Mild cognitive impairment is an age-dependent pre-dementia state caused by varied reasons ","other","Humans, FALSE, Outpatients, FALSE, Cognitive Dysfunction, TRUE, etiology, Q000209, Cognition, FALSE, Neuropsychological Tests, FALSE, Neuroimaging, FALSE, Dementia, TRUE, epidemiology, Q000453",1,"projTutoParkinson","2023-12-28"
,"36583634","Baseline free water within the visual processing system predicts future psychosis in Parkinson disease.","Li G","BACKGROUND AND PURPOSE: As psychosis is associated with decreased quality of life, increased institutionalization, and mortality in Parkinson disease (PD), it is essential to identify individuals at risk for future psychosis. This longitudinal study aimed to investigate whether diffusion tensor imaging (DTI) metrics of white matter hold independent utility for predicting future psychosis in PD, and whether they could be combined with clinical predictors to improve the prognostication of PD psychosis.
METHODS: This study included 123 newly diagnosed PD patients collected in the Parkinson's Progression Markers Initiative. Tract-based spatial statistics were used to compare baseline DTI metrics between PD patients who developed psychosis and those who did not during follow-up. Binary logistic regression analyses were performed to identify the clinical and white matter markers predictive of psychosis.
RESULTS: Among DTI measures, both higher baseline whole brain (odds ratio [OR] = 1.711, p = 0.016) free water (FW) and visual processing system (OR = 1.680, p < 0.001) FW were associated with an increased risk of future psychosis. Baseline FW remained a significant indicator of future psychosis in PD after controlling for clinical predictors. Moreover, the accuracy of prediction of psychosis using clinical predictors alone (area under the curve [AUC] = 0.742, 95% confidence interval [CI] = 0.655-0.816) was significantly improved by the addition of the visual processing system FW (AUC = 0.856, 95% CI = 0.781-0.912; Delong method, p = 0.022).
CONCLUSIONS: Baseline FW of the visual processing system incurs an independent risk of future psychosis in PD, thus providing an opportunity for multiple-modality marker models to include a white matter marker.","2023",,"Eur J Neurol","BACKGROUND AND PURPOSE : As psychosis is associated with decreased quality of life , increased institutionalization , and mortality in Parkinson disease ( PD ) , it is essential to identify individuals at risk for future psychosis ","other","Humans, FALSE, Parkinson Disease, TRUE, complications, Q000150, Diffusion Tensor Imaging, FALSE, methods, Q000379, Longitudinal Studies, FALSE, Quality of Life, FALSE, Psychotic Disorders, TRUE, diagnosis, Q000175, White Matter, TRUE, Visual Perception, FALSE, Water, FALSE",1,"projTutoParkinson","2023-12-28"
,"36577880","Caffeine protects against hippocampal alterations in type 2 diabetic rats via modulation of gliosis, inflammation and apoptosis.","Othman MA","Type 2 diabetes (T2D) is implicated in the injury of several organs, including the brain resulting in neuronal damage, which may lead to cognitive impairment and dementia. Additionally, it is linked to inflammation, cytokine release, apoptosis and various degenerative conditions. Astrocytes and microglia might have a role in mediating these processes. Caffeine, a psychoactive beverage, has been shown to reduce the risk of cognitive and memory impairment. This study proposes anti-inflammatory and anti-apoptotic role of caffeine, which can be mediated via microglia/astrocyte activation and overexpression of pro-inflammatory molecules. T2D was induced in rats by feeding with high fat high sugar diet and injecting a single low dose streptozotocin (STZ) intraperitoneally. Other diabetic rats were given caffeine orally (in two doses) for 5 weeks, starting 1 week before STZ injection. Measurement of plasma cytokines, TNFα and IL6, was performed using enzyme-linked immunosorbent assay (ELISA) technique. After sacrificing animals, brains were obtained and processed for histological evaluation. Immunohistochemistry was also performed using the following primary antibodies, anti-astrocyte marker GFAP, anti-microglia marker CD11b and apoptotic marker (anti-cleaved caspase-3). There was upregulation of IL6 and TNF-α in diabetic rats. Additionally, histological evaluation of the hippocampus of diabetic rats revealed cellular degeneration. There was increased immunostaining of GFAP, CD11b and cleaved caspase-3 in diabetic rats. Pretreatment with caffeine to diabetic rats, resulted in improvement of structural changes and decrease in cytokine levels and immuno-markers, expression, and this was in a dose-dependent manner. In conclusion, caffeine had an ameliorative role in enhancing hippocampal degenerative changes in T2D.","2023",,"Cell Tissue Res",,"other","Rats, FALSE, Animals, FALSE, Caffeine, FALSE, pharmacology, Q000494, Diabetes Mellitus, Experimental, TRUE, metabolism, Q000378, Caspase 3, FALSE, metabolism, Q000378, Diabetes Mellitus, Type 2, TRUE, complications, Q000150, Interleukin-6, FALSE, metabolism, Q000378, Gliosis, FALSE, pathology, Q000473, Inflammation, FALSE, pathology, Q000473, Cytokines, FALSE, metabolism, Q000378, Tumor Necrosis Factor-alpha, FALSE, metabolism, Q000378, Apoptosis, FALSE, Hippocampus, FALSE, metabolism, Q000378",1,"projTutoParkinson","2023-12-28"
,"36514559","An Elevated Neutrophil-to-Lymphocyte Ratio Predicts In-Hospital Mortality in Stroke Patients: A Prospective Cohort Study.","Sharath M","Introduction Cerebrovascular accidents or strokes are a major cause of mortality and morbidity in today's world. Post-stroke disabilities like paralysis, dementia, etc., can affect the quality of life of patients as well as their families. A combined increase in neutrophils and a decrease in lymphocytes during inflammation in stroke manifests as an elevated neutrophil-to-lymphocyte ratio (NLR), thereby indicating the severity of neural damage. Aim We aimed to determine if an elevated NLR observed on the day of hospital admission can predict a higher risk of in-hospital mortality in stroke patients. Confirmatory results could aid in developing risk stratification for management, ultimately improving clinical and functional outcomes. Materials and methods Sixty stroke patients were monitored throughout their hospital stay in this prospective cohort study. NLR was calculated at admission using routine complete blood counts. The data were analyzed using SPSS Software v23.0 (IBM Corp., Armonk, NY). An unpaired t-test was used to compare the means between the two groups. Categorical data were analyzed using the chi-square test. The receiver operating curve (ROC) was plotted and used to ascertain if a cut-off value of NLR could be obtained to predict in-hospital mortality in stroke patients. P values <0.05 were considered statistically significant. Results About 23.3% (n=14) of the patients died during their hospital stay, with no significant differences between the survivor and death cohorts in terms of comorbidities like diabetes and hypertension. The mean NLR calculated within 24 hours of hospital admission in patients who died (NLR=8.47 (standard deviation (SD)=4.67)) was significantly higher (p=0.009) than in those who survived (NLR=5.84 (SD=2.62)). Upon ROC analysis, patients with NLR >6.03 on the day of admission demonstrated a higher risk of in-hospital mortality (p=0.015 (95% CI: 0.577-0.855)). An area under the curve (AUC) of 0.72 with a sensitivity of 92.86% and a specificity of 54.35% was obtained. Conclusions Elevated NLR (cut-off >6.03) obtained within 24 hours of hospital admission is an indicator of a higher risk of in-hospital mortality in stroke patients. Hence, patients presenting with a high NLR at admission can be prioritized for personalized targeted treatment, potentially reducing mortality and post-stroke complications.","2022",,"Cureus"," Aim We aimed to determine if an elevated NLR observed on the day of hospital admission can predict a higher risk of in-hospital mortality in stroke patients ","other","NULL",1,"projTutoParkinson","2023-12-28"
,"36480378","A review of novel Cognitive Challenge Tests for the assessment of preclinical Alzheimer's disease.","Curiel Cid RE","OBJECTIVES: There is currently a lack of consensus among neuropsychologists about which cognitive assessment paradigms hold the most promise in identifying subtle cognitive deficits in preclinical Alzheimer's Disease (AD) and which are most useful for monitoring risk of cognitive deterioration. Many widely used instruments are older versions of tests originally developed for the assessment of dementia or traumatic brain injury. Current efforts to digitize these measures provides more uniform and remote assessment, which is an advancement, but does not reflect significant changes in paradigmatic underpinnings or recent advances in cognitive neuroscience.
METHOD: This work provides an overview of novel Cognitive Challenge Tests (CCTs) that employ semantic interference paradigms that uniquely measure the failure to recover from proactive semantic interference (frPSI). Other salient methods to measure meaningful cognitive change in early stage AD are also presented, as well as how they compare with traditional neuropsychological assessments. Finally, future directions for the development of more effective assessment paradigms are discussed.
RESULTS: frPSI is a cognitive marker which measures the persistent inability to learn new semantically competing stimuli despite multiple opportunities to do so. frPSI and deficits in semantic inhibitory control have repeatedly shown utility for the early detection of AD during its preclinical stages. These novel cognitive markers have been related to various biomarkers of AD and neurodegeneration among culturally diverse older adults.
CONCLUSIONS: To meet the critical needs of a rapidly evolving field, cognitive assessment instruments must show sufficient scientific rigor including robust sensitivity, specificity, and predictive utility among culturally and linguistically diverse populations and importantly, be correlated to AD biomarkers. (PsycInfo Database Record (c) 2023 APA, all rights reserved).","2023",,"Neuropsychology"," OBJECTIVES : There is currently a lack of consensus among neuropsychologists about which cognitive assessment paradigms hold the most promise in identifying subtle cognitive deficits in preclinical Alzheimer's Disease ( AD ) and which are most useful for monitoring risk of cognitive deterioration "," review","Humans, FALSE, Aged, FALSE, Alzheimer Disease, TRUE, diagnosis, Q000175, Cognitive Dysfunction, TRUE, Learning, FALSE, Neuropsychological Tests, FALSE, Cognition, FALSE, Biomarkers, FALSE",1,"projTutoParkinson","2023-12-28"
,"36474580","Detection Analysis of Perioperative Plasma and CSF Reveals Risk Biomarkers of Postoperative Delirium of Parkinson's Disease Patients Undergoing Deep Brain Stimulation of the Subthalamic Nuclei.","Zhou Y","OBJECTIVE: This study aimed to explore possible biomarkers of postoperative delirium (POD) of Parkinson's disease (PD) patients received deep brain stimulation (DBS) of the subthalamic nuclei.
MATERIALS AND METHODS: This nested case control study analyzed perioperative plasma and cerebral spinal fluid (CSF) of patients (n = 40) who developed POD undergone DBS surgery (n = 10) and those who did not (n = 30). Blood sample was collected before surgery and on the first day postoperative, CSF sample was collected at the beginning of the operation. POD was assessed by the Confusion Assessment Method (CAM) twice a day between 7:00 am and 7:00 pm after the surgery until discharge. Plasma and CSF sample from the two groups were analyzed to investigate possible biomarkers for POD in PD patients.
RESULTS: There was no difference between POD and Non-POD groups on the concentration of Interleukin 6 and Tumor Necrosis Factor-α in CSF, preoperative plasma and postoperative plasma. There was no difference between POD and Non-POD groups on the concentration of S100 calcium-binding protein β protein (S100β) and Neurofilament light chain (NFL) in preoperative plasma and postoperative plasma. The concentration of C-reactive protein (CRP), NFL and S100β were significant higher in POD group than non-POD group in CSF. The concentration of CRP was significantly higher in POD group than non-POD group in preoperative plasma and postoperative plasma. CSF concentration of S100β might be a potential biomarker for POD via the receiver operating characteristic curve analysis and the area under the curve value of 0.973.
CONCLUSION: For PD patients received DBS surgery, CSF S100β might be a marker for aiding detection of high-risk patients with delirium. This requires further confirmation in clinical trials.","2022",,"Clin Interv Aging"," OBJECTIVE : This study aimed to explore possible biomarkers of postoperative delirium ( POD ) of Parkinson's disease ( PD ) patients received deep brain stimulation ( DBS ) of the subthalamic nuclei ","other","Humans, FALSE, Case-Control Studies, FALSE, Deep Brain Stimulation, TRUE, Emergence Delirium, TRUE, Parkinson Disease, TRUE, therapy, Q000628",1,"projTutoParkinson","2023-12-28"
,"36466598","Structural network efficiency mediates the association between glymphatic function and cognition in mild VCI: a DTI-ALPS study.","Song H","NULL","2022",,"Front Aging Neurosci",,"other","NULL",1,"projTutoParkinson","2023-12-28"
,"36463450","Air Pollution and the Risk of Dementia: The Rotterdam Study.","de Crom TOE","BACKGROUND: Exposure to air pollution has been suggested to increase the risk of dementia, but studies on this link often lack a detailed screening for dementia and data on important confounders.
OBJECTIVE: To determine the association of exposure to air pollution with the risk of dementia and cognitive decline in the population-based Rotterdam Study.
METHODS: Between 2009 and 2010, we determined air pollutant concentrations at participants residential addresses using land use regression models. Determined air pollutants include particulate matter <10μm (PM10) and <2.5μm (PM2.5), a proxy of elemental carbon (PM2.5 absorbance), nitrogen oxide (NOx), and nitrogen dioxide (NO2). As the individual air pollutant levels were highly correlated (r = 0.71-0.98), we computed a general marker covering all air pollutants based on a principal component analysis. We followed participants up for dementia until 2018 and determined cognitive performance during two subsequent examination rounds. Using Cox and linear mixed models, we related air pollution to dementia and cognitive decline.
RESULTS: Of the 7,511 non-demented participants at baseline, 545 developed dementia during a median follow-up of 7 years. The general marker of all air pollutants was not associated with the risk of dementia (hazard ratio [95% confidence interval]: 1.04 [0.95-1.15]), neither were the individual air pollutants. Also, the general marker of all air pollutants or the individual air pollutant levels were not associated with cognitive decline.
CONCLUSION: In this study, we found no clear evidence for an association between exposure to air pollution and the risk of dementia or cognitive decline.","2023",,"J Alzheimers Dis"," OBJECTIVE : To determine the association of exposure to air pollution with the risk of dementia and cognitive decline in the population-based Rotterdam Study ","other","Humans, FALSE, Environmental Exposure, FALSE, adverse effects, Q000009, Air Pollution, TRUE, adverse effects, Q000009, Air Pollutants, TRUE, adverse effects, Q000009, Particulate Matter, FALSE, adverse effects, Q000009, Dementia, TRUE, epidemiology, Q000453",1,"projTutoParkinson","2023-12-28"
,"36457758","Low skull bone density is associated with poor motor prognosis in women with Parkinson's disease.","Jeong SH","Parkinson's disease (PD) and osteoporosis are degenerative diseases that have shared pathomechanisms. To investigate the associations of skull bone density with nigrostriatal dopaminergic degeneration and longitudinal motor prognosis in female patients with PD. We analyzed the data of 260 drug-naïve female PD patients aged ≥50 years old who were followed-up for ≥3 years after their first visit to the clinic with baseline dopamine transporter (DAT) imaging. We measured skull bone density as a surrogate marker for systemic bone loss by calculating the Hounsfield unit (HU) in computed tomography scans. A Cox proportional hazard model was built to compare the rates of levodopa-induced dyskinesia (LID) or wearing-off according to skull HU. Longitudinal changes in levodopa-equivalent dose (LED) during a 3-year follow-up were assessed using a linear mixed model. A lower skull HU was associated with lower baseline DAT availability in striatal subregions; however, this relationship was not significant after adjusting for age, disease duration, body mass index, and white matter hyperintensities. After adjusting for confounding factors, a lower skull HU was significantly associated with an increased risk of LID development (hazard ratio = 1.660 per 1 standard deviation decrease, ","2022",,"Front Aging Neurosci"," To investigate the associations of skull bone density with nigrostriatal dopaminergic degeneration and longitudinal motor prognosis in female patients with PD ","other","NULL",1,"projTutoParkinson","2023-12-28"
,"36450605","Association of Subjective Cognitive Decline With Progression to Dementia in a Cognitively Unimpaired Multiracial Community Sample.","Chapman S","BACKGROUND AND OBJECTIVES: This prospective study seeks to examine the utility of subjective cognitive decline (SCD) as a marker of future progression to dementia in a community-based cohort of non-Latinx White, non-Latinx Black, and Latinx individuals. Debate surrounds the utility of SCD, the subjective perception of decline in one's cognition before such impairment is evident in traditional neuropsychological assessments, as an early indicator of impending Alzheimer disease. Unfortunately, most studies examining SCD have been conducted in non-Latinx White samples and commonly exclude groups of individuals shown to be most vulnerable to dementia.
METHODS: Participants were enrolled into this cohort study from the Washington Heights-Inwood Columbia Aging Project if they were cognitively unimpaired, had baseline measurement of SCD, and self-identified as non-Latinx White, non-Latinx Black, or Latinx. SCD was measured as a continuous sum of 10 items assessing cognitive complaints. Competing risk models tested the main effects of baseline SCD on progression to dementia. Models were adjusted for age, sex/gender, years of education, medical comorbidity burden, enrollment cohort, and baseline memory test performance with death jointly modelled as a function of race/ethnicity.
RESULTS: A total of 4,043 (1,063 non-Latinx White, 1,267 non-Latinx Black, and 1,713 Latinx) participants were selected for this study with a mean age of 75 years, 67% women, and with a mean follow-up of 5 years. Higher baseline SCD was associated with increased rates of incident dementia over time in the full sample (hazard ratio [HR] 1.085, CI 1.047-1.125, 
DISCUSSION: Overall results of this study support SCD as a prodromal marker of dementia in a multiracial community sample, and in Latinx and non-Latinx Black individuals in particular. Because models examining the risk of dementia were adjusted for baseline memory test performance, the results support the idea that SCD, a subjective reflection of one's own current cognitive functioning, contributes information above and beyond standard memory testing. Current findings highlight the importance of carefully evaluating any memory concerns raised by older adults during routine visits and underscore the potential utility of screening older adults for SCD.","2023",,"Neurology","BACKGROUND AND OBJECTIVES : This prospective study seeks to examine the utility of subjective cognitive decline ( SCD ) as a marker of future progression to dementia in a community-based cohort of non-Latinx White , non-Latinx Black , and Latinx individuals ","other","Humans, FALSE, Female, FALSE, Aged, FALSE, Male, FALSE, Cohort Studies, FALSE, Prospective Studies, FALSE, Longitudinal Studies, FALSE, Cognitive Dysfunction, TRUE, Alzheimer Disease, TRUE, diagnosis, Q000175, Neuropsychological Tests, FALSE",1,"projTutoParkinson","2023-12-28"
