"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName"
,"29104019",,,"",,,,,,,,,,,,"multiple system atrophy, dystonia, depression",,1,"MSA"
,"24894118",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"10370909",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"19909915",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"32934182",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"29023182",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"20944523",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"28303913",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"32767032",,,"",,,,,,,,,,,,"multiple system atrophy, depression",,1,"MSA"
,"24727096",,,"",,,,,,,,,,,,"multiple system atrophy, disability, dementia",,1,"MSA"
,"29053035",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"25840762",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"35995919",,,"",,,,,,,,,,,,"multiple system atrophy, disability, ",,1,"MSA"
,"21962754",,,"mali",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"32925365",,,"",,,,,,,,,,,,"multiple system atrophy, sleep apnea",,1,"MSA"
,"32316335",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"29700645",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"17017551",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"11700149",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"29169744",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"34491468",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31119450",,,"",,,,,,,,,,,,,,1,"MSA"
,"37581647",,,"",,,,,,,,,,,,"multiple system atrophy, dementia",,1,"MSA"
,"30550435",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"12811769",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31650377",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"24338664",,,"",,,,,,,,,,,,"multiple system atrophy, dementia",,1,"MSA"
,"25585910",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"35260523",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"35552950",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"21963351",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"26810550",,,"",,,,,,,,,,,,"multiple system atrophy, dystonia",,1,"MSA"
,"35852669",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31187309",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"33515140",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31848228",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"33554315",,,"",,,,,,,,,,,,"multiple system atrophy, , constipation",,1,"MSA"
,"29237794",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"10093584",,,"",,,,,,,,,,,,"multiple system atrophy, amyotrophic lateral sclerosis",,1,"MSA"
,"34847258",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"21343894",,,"",,,,,,,,,,,,"multiple system atrophy, erectile dysfunction, constipation",,1,"MSA"
,"24598411",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31300049",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"22441197",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"35491360",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"15651348",,,"japan",,,,,,,,,,,,"multiple system atrophy, aids",,1,"MSA"
,"35907042",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"29746401",,,"",,,,,,,,,,,,"progressive supranuclear palsy, multiple system atrophy, ",,1,"MSA"
,"9736015",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"19471850",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"28867372",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"9608216",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"18333558",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"32320983",,,"japan",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"35633428",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"29311010",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"25982836",,,"",,,,,,,,,,,,"multiple system atrophy, , ",,1,"MSA"
,"24867281",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"35668573",,,"",,,,,,,,,,,,"multiple system atrophy, disability",,1,"MSA"
,"24502382",,,"",,,,,,,,,,,,"multiple system atrophy, rich, dementia",,1,"MSA"
,"11960896",,,"japan, mali",,,,"years",55.4,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"16043239",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"9426875",,,"mali",,,,,,,,,,,,"multiple system atrophy, , ",,1,"MSA"
,"33111976",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"29502349",,,"",,,,,,,,,,,,"multiple system atrophy, rare neurodegenerative disease",,1,"MSA"
,"11009180",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"32641571",,,"",,,,,,,,,,,,"multiple system atrophy, dementia",,1,"MSA"
,"35848039",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"28090690",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"34216238",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"22959423",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"24753321",,,"",,,,,,,,,,,,"multiple system atrophy, dementia",,1,"MSA"
,"16284906",,,"germany",,,,,,,,,,,,"multiple system atrophy, genes",,1,"MSA"
,"36370600",,,"japan",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"37001415",,,"",,,,,,,,,,,,"progressive supranuclear palsy, ",,1,"MSA"
,"35715287",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"35513505",,,"mali",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"29066238",,,"mali",,,,,,,,,,,,"multiple system atrophy, , cicatricial pemphigoid",,1,"MSA"
,"29313153",,,"",,,,"years",63.9,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"37477834",,,"",,,,,,,,,,,,"multiple system atrophy, erectile dysfunction, constipation",,1,"MSA"
,"22074330",,,"mali",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"23225574",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"30975708",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"25322750",,,"",,,,,,,,,,,,"multiple system atrophy, dementia",,1,"MSA"
,"30737468",,,"",,,,,,,,,,,,"multiple system atrophy, dementia",,1,"MSA"
,"33558361",,"66","japan",,,,,4,,,,," mixed. or 4 or 5","mainly men
In the text provided, it states that ""After obtaining written consent from 196 participants,"" which indicates that the majority of study participants were male. Therefore, the answer is mainly men","multiple system atrophy, ","Multiple system atrophy",1,"MSA"
,"34663646",,"146","",,,,,,,,,," children/elderly/mixed.","information not available","multiple system atrophy, anxiety","multiple system atrophy",1,"MSA"
,"32415714",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"26578037",,,"",,,,,,,,,,,,"parkinson's disease, multiple system atrophy, hypertension ",,1,"MSA"
,"16284910",,,"united states",,,,,,,,,,,,"multiple system atrophy, urinary incontinence, dementia",,1,"MSA"
,"16284911",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31322774",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"32892415",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31737939",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"19405189",,,"",,,,,,,,,,,,"dementia, ",,1,"MSA"
,"9862632",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"11985626",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"17563111",,,"mali",,,,,,,,,,,,"erectile dysfunction, ",,1,"MSA"
,"19594101",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"35279373",,,"germany",,,,,,,,,,,,"multiple system atrophy, dizziness , depression",,1,"MSA"
,"35332582",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31550950",,,"",,,,,,,,,,,,"multiple system atrophy, dizziness , transient ischaemic attack ",,1,"MSA"
,"37620069",,,"",,,,,,,,,,,,,,1,"MSA"
,"36029213",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"29254664",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"26025782",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"37217417",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"15036172",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"30153390",,,"",,,,"years",36.7,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"33481455",,,"",,,,,,,,,,,,"multiple system atrophy, dementia, anxiety, depression, depression",,1,"MSA"
,"10223419",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"9915636",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"16855831",,,"",,,,,,,,,,,,"multiple system atrophy, genes",,1,"MSA"
,"29627006",,,"",,,,,,,,,,,,"multiple system atrophy, disability",,1,"MSA"
,"32172473",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"24507092",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"24909319",,,"",,,,"years",56.1,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"23037604",,,"japan",,,,,,,,,,,,", genes, multiple system atrophy",,1,"MSA"
,"35403877",,,"japan",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"10997871",,,"",,,,,,,,,,,,"depression, multiple system atrophy",,1,"MSA"
,"17165375",,,"mali",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"36974950",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"27356737",,,"japan",,,,"years",55,,,,,,,"multiple system atrophy, dementia",,1,"MSA"
,"25862257",,,"united states",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"36442207",,,"",,,,,,,,,,,,"multiple system atrophy, institutions",,1,"MSA"
,"32189166",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"10811400",,,"",,,,,,,,,,,,"multiple system atrophy, disability",,1,"MSA"
,"36730996",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"19735973",,,"",,,,,,,,,,,,"multiple system atrophy, clinical signs and symptoms",,1,"MSA"
,"37493897",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"37522217",,"153","china",,,,,1.6,,,,," adult. or 1.68","mostly men.","multiple system atrophy, ","More serious motor symptoms",1,"MSA"
,"19803404",,,"japan",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"33137618",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31324432",,,"",,,,,,,,,,,,"multiple system atrophy, dystonia",,1,"MSA"
,"34767067",,,"south korea",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"30910745",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"34284398",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"25672682",,,"united kingdom",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"25498733",,,"",,,,,,,,,,,,", ",,1,"MSA"
,"26369944",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"36041211",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31076267",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"10675653",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"9869555",,,"united states",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"23728718",,,"",,,,,,,,,,,,"multiple system atrophy, erectile dysfunction",,1,"MSA"
,"11570604",,,"",,,,,,,,,,,,"peripheral neuropathy, ",,1,"MSA"
,"31832904",,"55","china",,,,,,,,,," mixed.","mostly men","multiple system atrophy, ",,1,"MSA"
,"34409690",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"34409689",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"34776506",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"32127052",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"35216572",,,"mali",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"24818598",,"30","",,,,,,,,,," mixed.","mostly men","restless legs syndrome, multiple system atrophy",,1,"MSA"
,"31559533",,,"",,,,,,,,,,,,"multiple system atrophy, depression",,1,"MSA"
,"18044727",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"25854893",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"13677898",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31226621",,,"mali",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"32239345",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"37207891",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"33507411",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"27778099",,,"",,,,,,,,,,,,"multiple system atrophy, dementia",,1,"MSA"
,"35278004",,,"",,,,,,,,,,,,"parkinson's disease, multiple system atrophy",,1,"MSA"
,"26922980",,,"",,,,,,,,,,,,"multiple system atrophy, genes",,1,"MSA"
,"33666739",,,"",,,,,,,,,,,,"multiple system atrophy, dysphagia ",,1,"MSA"
,"31069705",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"34024780",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"22730560",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"26195260",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"25910615",,,"japan",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"32348986",,"61","",,,,"year",3,,,,," ""adult"" and that patients presented with a variety of symptoms including so-called ""red flags.""
The study included 61 probable or possible MSA patients who were categorized into MSA-P (parkinsonian subtype), MSA-C (cerebellar ataxic subtype), and MSA-PC (mixed parkinsonian and cerebellar ataxic subtype). The patients had a disease duration of 3 years or less. The frequency of various motor and non-motor symptoms in the patient groups was compared to evaluate whether there were any differences between them.
1. Dysarthria (speech difficulties) - 98.4%
2. Sexual dysfunction - 95.9570%9565555555555510%9510%9510%9510%957637878955510%9510%9510%95. 9542.9510%95555557878787878 or 3 years","most men, because most (60/82 or 73%) features were found in males.","multiple system atrophy, constipation",,1,"MSA"
,"36634471",,"1492","mali",,,,"year",56.8,9.2,,,," adult. or 56.8 ± 9.2 years","mostly men (due to MSAP patients being more likely to have nonmotor symptoms).","multiple system atrophy, constipation","nonmotor symptoms",1,"MSA"
,"35508570",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"36397048",,,"china",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"10953186",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"30203094",,"37","",,,,,,,,,," mixed.","mostly men","multiple system atrophy, ",,1,"MSA"
,"19332698",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"35569977",,,"japan",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"36448620",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"33548114",,,"",,,,,,,,,,,,"multiple system atrophy, dementia",,1,"MSA"
,"24507091",,,"",,,,"years",,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"36181586",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"36959044",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"11336044",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31034671",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"27416856",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"30128820",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"15146018",,,"germany",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"26464477",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31122601",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"34486218",,,"mali",,,,,,,,,,,,"multiple system atrophy, rich",,1,"MSA"
,"10785249",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"9773020",,,"united kingdom",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"28991688",,"182","",,,,,91,,,,," elderly or 91","mostly men.","multiple system atrophy, ",,1,"MSA"
,"36323572",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"32017806",,,"cuba",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"32166422",,"70","",,,,"year",,,,6.3,," mixed. or 4.8-6.3] years","mostly men.
CONTEXT PURPOSE To evaluate whether neurogenic lower urinary tract dysfunction and urodynamic parameters predict the outcomes of patients with multiple system atrophy (MSA). METHODS A retrospective study was performed in patients who were diagnosed with MSA and underwent urodynamic studies simultaneously from September 2014 to July 2018. The urodynamic traces were reviewed by urologists. Detrusor contractility was evaluated by the bladder contractility index (BCI) and Schäfer nomogram. Telephone followup was conducted in July 2019 to acquire survival data. Clinical and urodynamic parameters were analyzed for survival using Cox regression analysis. RESULTS Overall, 70 patients with information not mentioned that are elig","multiple system atrophy, urinary incontinence",,1,"MSA"
,"21469200",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"15120102",,,"",,,,,,,,,,,,"dizziness , ",,1,"MSA"
,"32410669",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"29621788",,,"",,,,,,,,,,,,"dysphagia , multiple system atrophy",,1,"MSA"
,"32622521",,,"",,,,,,,,,,,,"dystonia, ",,1,"MSA"
,"19486137",,,"",,,,,,,,,,,,"multiple system atrophy, dementia",,1,"MSA"
,"31669865",,,"",,,,,,,,,,,,"parkinson's disease, multiple system atrophy",,1,"MSA"
,"29254663",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31178520",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"9721261",,,"mali, united states",,,,,,,,,,,,"multiple system atrophy, dystonia",,1,"MSA"
,"27859650",,,"",,,,,,,,,,,,"multiple system atrophy, dementia",,1,"MSA"
,"32588990",,,"",,,,,,,,,,,,"multiple system atrophy, disability",,1,"MSA"
,"29604506",,,"china",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"10335497",,,"mali",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"23355175",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"34008322",,,"",,,,,,,,,,,,"coronavirus , ",,1,"MSA"
,"25213997",,,"argentina, chile, mexico, peru, united states",,,,"years",65,,,,,,,"multiple system atrophy, depression",,1,"MSA"
,"30824284",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"21287601",,,"south korea",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"23867866",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"16021659",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"16924041",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"26598489",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"10223402",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31077434",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"27026036",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"32250060",,,"",,,,,,,,,,,,"multiple system atrophy, neuronal intranuclear inclusion disease, read",,1,"MSA"
,"15382209",,"73","",,,,,4.5,,,,,"64-84 years (hospital controls). or 4.53","both man and woman","multiple system atrophy, ",,1,"MSA"
,"11447723",,,"united kingdom",,,,,,,,,,,,"multiple system atrophy, hypertension ",,1,"MSA"
,"30613928",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"10705572",,,"united kingdom",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"24170347",,,"japan, united states",,,,,,,,,,,,"multiple system atrophy, genes",,1,"MSA"
,"37115255",,,"united kingdom",,,,,,,,,,,,"dysphagia , multiple system atrophy",,1,"MSA"
,"24532058",,,"mali",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"18025774",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"30145124",,,"mali",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"24397755",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"28190176",,,"",,,,,,,,,,,,"multiple system atrophy, urinary incontinence",,1,"MSA"
,"25699570",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"23389844",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"25498732",,,"",,,,"years",,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31373907",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"24337696",,"100","mali",,,,"year",56,9,,,,"56 ± 9 years (adult). or 56 ± 9 years","mainly men (60%), mainly women (40%)","multiple system atrophy, ","motor abnormalities",1,"MSA"
,"18546329",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"14534935",,,"mali",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"16307759",,,"japan",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"29223069",,,"",,,,"years",62,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"15625345",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"23192520",,"4","iceland",,,,"year",65,,,,," mixed. or 65 years","11 women and eight men.","multiple system atrophy, ","autonomic dysfunction",1,"MSA"
,"27993522",,,"",,,,,,,,,,,,"multiple system atrophy, constipation",,1,"MSA"
,"28809053",,,"japan",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"21425333",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"36529110",,,"china",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"30741706",,,"",,,,,,,,,,,,"multiple system atrophy, depression, ",,1,"MSA"
,"28522081",,,"",,,,,,,,,,,,"multiple system atrophy, sleep apnea",,1,"MSA"
,"21983018",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"11942373",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"25000926",,"19","japan",,,,"month",,,1,53,," mixed. or 1-53 months","mostly men.","multiple system atrophy, ","multiple system atrophy",1,"MSA"
,"30704970",,,"mali",,,,"years",,,,,,,,"multiple system atrophy, disability, ",,1,"MSA"
,"26205836",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"10992115",,,"united kingdom",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"24423790",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
