"idFreq0","PMID","subpopSize","subset1","subset2","subset3","expFrequencyName","freqType","freqMeasure","freqUnit"
NA,"12785281",NA,NA,NA,NA,"emergency room visit",NA,"6 %","%"
NA,"12793558",NA,NA,NA,NA,"spinal headache",NA,"8.9 %","%"
NA,"12793558",NA,NA,NA,NA,"spinal headache",NA,"14.4 %","%"
NA,"12793558",NA,NA,NA,NA,"women",NA,"18.7 %","%"
NA,"1416009",NA,NA,NA,NA,"post operative headache",NA,"57 %","%"
NA,"1416009",NA,NA,NA,NA,"moderate severe postdural puncture headache",NA,"25 %","%"
NA,"1416009",NA,NA,NA,NA,"headache",NA,"21 %","%"
NA,"1416009",NA,NA,NA,NA,"postdural puncture headache",NA,"11 %","%"
NA,"1416009",NA,NA,NA,NA,"moderate severe postdural puncture headache",NA,"4 %","%"
NA,"1419942",NA,NA,NA,NA,"post dural puncture backache",NA,"18.0 %","%"
NA,"1419942",NA,NA,NA,NA,"post dural puncture headache",NA,"8.2 %","%"
NA,"1419942",NA,NA,NA,NA,"non postural headache",NA,"6.7 %","%"
NA,"1419942",NA,NA,NA,NA,"post dural puncture headache",NA,"17.9 %","%"
NA,"1419942",NA,NA,NA,NA,"post dural puncture headache",NA,"4.5 %","%"
NA,"1419942",NA,NA,NA,NA,"post dural puncture headache",NA,"2.4 %","%"
NA,"14604504",NA,NA,NA,NA,"general population",NA,"78 %","%"
NA,"14604504",NA,NA,NA,NA,"chronic form tension type headache",NA,"3 %","%"
NA,"14687009",NA,NA,NA,NA,"migraine like pih",NA,"26 %","%"
NA,"14732838",NA,NA,NA,NA,"about patients chronic symptoms",NA,"10 %","%"
NA,"14980334",NA,NA,NA,NA,"pain",NA,"83.3 %","%"
NA,"14980334",NA,NA,NA,NA,"pain",NA,"72.3 %","%"
NA,"14980334",NA,NA,NA,NA,"pain",NA,"50 %","%"
NA,"14980334",NA,NA,NA,NA,"headache intensity sd",NA,"79.1 %","%"
NA,"15025611",NA,NA,NA,NA,"postoperative headache",NA,"20.0 %","%"
NA,"15025611",NA,NA,NA,NA,"true pdph",NA,"1.51 %","%"
NA,"15025611",NA,NA,NA,NA,"pdph",NA,"2.70 %","%"
NA,"15025611",NA,NA,NA,NA,"pdph",NA,"0.37 %","%"
NA,"15025611",NA,NA,NA,NA,"non dural puncture headache",NA,"18.5 %","%"
NA,"15030537",NA,NA,NA,NA,"dh",NA,"48 %","%"
NA,"15047589",NA,NA,NA,NA,"headache",NA,"57.1 %","%"
NA,"15047589",NA,NA,NA,NA,"migraine",NA,"31.7 %","%"
NA,"15047589",NA,NA,NA,NA,"tension type headache",NA,"23.5 %","%"
NA,"15067529",NA,NA,NA,NA,"approximately persons afflicted tension headache seek medical help",NA,"20 %","%"
NA,"15079013",NA,NA,NA,NA,"extended headache",NA,"60 %","%"
NA,"15079013",NA,NA,NA,NA,"unilateral pain",NA,"70 %","%"
NA,"15079013",NA,NA,NA,NA,"pain night",NA,"55 %","%"
NA,"15079013",NA,NA,NA,NA,"concurrent headaches",NA,"62 %","%"
NA,"15079013",NA,NA,NA,NA,"corticosteroids",NA,"95 %","%"
NA,"15079013",NA,NA,NA,NA,"relapses",NA,"45 %","%"
NA,"1510258",NA,NA,NA,NA,"pdph",NA,"2 %","%"
NA,"1510258",NA,NA,NA,NA,"pdph",NA,"3.5 %","%"
NA,"1510258",NA,NA,NA,NA,"headache",NA,"0.7 %","%"
NA,"15108829",NA,NA,NA,NA,"at",NA,"3.9 %","%"
NA,"15108829",NA,NA,NA,NA,"wh",NA,"4.0 %","%"
NA,"15108829",NA,NA,NA,NA,"wh",NA,"62 %","%"
NA,"1513939",NA,NA,NA,NA,"bupivacaine",NA,"0.75 %","%"
NA,"1513939",NA,NA,NA,NA,"glucose",NA,"50 %","%"
NA,"1513939",NA,NA,NA,NA,"group",NA,"0.66 %","%"
NA,"1513939",NA,NA,NA,NA,"group",NA,"5 %","%"
NA,"1513939",NA,NA,NA,NA,"women",NA,"4.05 %","%"
NA,"1513939",NA,NA,NA,NA,"men",NA,"2.15 %","%"
NA,"15159466",NA,NA,NA,NA,"headache",NA,"30 %","%"
NA,"15159466",NA,NA,NA,NA,"auc",NA,"34 %","%"
NA,"1519474",NA,NA,NA,NA,"post puncture headache",NA,"4 %","%"
NA,"15209972",NA,NA,NA,NA,"headache frequency",NA,"50 %","%"
NA,"15322884",NA,NA,NA,NA,"relapse",NA,"30 %","%"
NA,"15377169",NA,NA,NA,NA,"cervicogenic headache",NA,"0.7 %to 13.8 %","%"
NA,"15478785",NA,NA,NA,NA,"medication usage",NA,"44 %","%"
NA,"15478785",NA,NA,NA,NA,"medication usage",NA,"19 %","%"
NA,"15549542",NA,NA,NA,NA,"headache",NA,"8 %to 60 %","%"
NA,"15549542",NA,NA,NA,NA,"migraineurs",NA,"40 %","%"
NA,"15564951",NA,NA,NA,NA,"postdural puncture headache",NA,"80 %","%"
NA,"15564951",NA,NA,NA,NA,"postdural puncture headache",NA,"56 %","%"
NA,"15613165",NA,NA,NA,NA,"headache",NA,"4.1 %","%"
NA,"15613165",NA,NA,NA,NA,"female",NA,"5.0 %","%"
NA,"15613165",NA,NA,NA,NA,"male",NA,"2.8 %","%"
NA,"15613165",NA,NA,NA,NA,"female",NA,"33 %","%"
NA,"15613165",NA,NA,NA,NA,"caucasians",NA,"4.4 %","%"
NA,"15613165",NA,NA,NA,NA,"african americans",NA,"3.3 %","%"
NA,"15613165",NA,NA,NA,NA,"female",NA,"52 %","%"
NA,"15613165",NA,NA,NA,NA,"male",NA,"56 %","%"
NA,"15613165",NA,NA,NA,NA,"headache",NA,"25 %","%"
NA,"15613165",NA,NA,NA,NA,"female",NA,"15 %","%"
NA,"15613165",NA,NA,NA,NA,"male",NA,"19 %","%"
NA,"15613165",NA,NA,NA,NA,"female",NA,"30 %","%"
NA,"15625025",NA,NA,NA,NA,"chronic migraine",NA,"20 %","%"
NA,"15625026",NA,NA,NA,NA,"chronic daily headache",NA,"5 %","%"
NA,"15651299",NA,NA,NA,NA,"less japanese",NA,"6.6 %","%"
NA,"15651299",NA,NA,NA,NA,"patients affected site switches",NA,"16.4 %","%"
NA,"15651299",NA,NA,NA,NA,"cluster headache may inherited  cases",NA,"5 %","%"
NA,"15651299",NA,NA,NA,NA,"attacks occur night",NA,"60.7 %","%"
NA,"15651299",NA,NA,NA,NA,"restless agitated",NA,"64.8 %","%"
NA,"15651299",NA,NA,NA,NA,"migraine",NA,"66.0 %","%"
NA,"15658946",NA,NA,NA,NA,"headache frequency",NA,"25 %","%"
NA,"1570886",NA,NA,NA,NA,"bupivacaine",NA,"0.5 %","%"
NA,"1570886",NA,NA,NA,NA,"bupivacaine glucose",NA,"5 %","%"
NA,"1570886",NA,NA,NA,NA,"post spinal headaches",NA,"10.4 %","%"
NA,"1570886",NA,NA,NA,NA,"post spinal headaches",NA,"8.8 %","%"
NA,"1570886",NA,NA,NA,NA,"paramedian",NA,"12 %","%"
NA,"1570887",NA,NA,NA,NA,"bupivacaine",NA,"0.5 %","%"
NA,"1570887",NA,NA,NA,NA,"urinary retention",NA,"2.5 %","%"
NA,"1570887",NA,NA,NA,NA,"bradycardia",NA,"11.9 %","%"
NA,"1570887",NA,NA,NA,NA,"pdph",NA,"3.5 %","%"
NA,"1570887",NA,NA,NA,NA,"tension headaches",NA,"1.5 %","%"
NA,"1570887",NA,NA,NA,NA,"pdphs",NA,"12.4 %","%"
NA,"1570887",NA,NA,NA,NA,"spa",NA,"98.5 %","%"
NA,"15712167",NA,NA,NA,NA,"chronic daily headache",NA,"5 %","%"
NA,"15712167",NA,NA,NA,NA,"cdh",NA,"3 %","%"
NA,"15712167",NA,NA,NA,NA,"hemicrania continua",NA,"90 %","%"
NA,"15712167",NA,NA,NA,NA,"chronic migraine",NA,"87.4 %","%"
NA,"15712167",NA,NA,NA,NA,"chronic tension type headache",NA,"28.8 %","%"
NA,"15712167",NA,NA,NA,NA,"new daily persistent headache",NA,"20 %","%"
NA,"15722381",NA,NA,NA,NA,"pdph",NA,"78 %","%"
NA,"15743544",NA,NA,NA,NA,"pain freedom",NA,"75 %","%"
NA,"15773826",NA,NA,NA,NA,"complete headache remission",NA,"23 %","%"
NA,"15773827",NA,NA,NA,NA,"eligible ones",NA,"88.6 %","%"
NA,"15773827",NA,NA,NA,NA,"jabs",NA,"0.5 %","%"
NA,"15773827",NA,NA,NA,NA,"two nontrauma cases",NA,"0.65 %","%"
NA,"15836565",NA,NA,NA,NA,"frequency headache days",NA,"50 %","%"
NA,"15836565",NA,NA,NA,NA,"female",NA,"84.5 %","%"
NA,"15836565",NA,NA,NA,NA,"placebo nonresponders",NA,"79 %","%"
NA,"15836565",NA,NA,NA,NA,"placebo responders",NA,"21 %","%"
NA,"15836565",NA,NA,NA,NA,"greater frequency headache days",NA,"15.0 %","%"
NA,"15836565",NA,NA,NA,NA,"frequency headache days",NA,"2.3 %","%"
NA,"15836567",NA,NA,NA,NA,"concomitant prophylactic headache medication",NA,"64 %","%"
NA,"15836567",NA,NA,NA,NA,"least least baseline headache frequency",NA,"30 %","%"
NA,"15858096",NA,NA,NA,NA,"clinically important abnormality",NA,"55.2 %","%"
NA,"15858096",NA,NA,NA,NA,"clinically important abnormality",NA,"44.1 %","%"
NA,"15858096",NA,NA,NA,NA,"clinically important abnormality",NA,"0.7 %","%"
NA,"15858096",NA,NA,NA,NA,"clinically important results",NA,"2.1 %","%"
NA,"15858096",NA,NA,NA,NA,"clinically important results",NA,"3.4 %","%"
NA,"15858096",NA,NA,NA,NA,"clinically important abnormality",NA,"0.68 %","%"
NA,"15858096",NA,NA,NA,NA,"clinically important infarctions",NA,"26.3 %","%"
NA,"15955042",NA,NA,NA,NA,"sc patients",NA,"21.8 %","%"
NA,"15955042",NA,NA,NA,NA,"controls",NA,"8.1 %","%"
NA,"15955042",NA,NA,NA,NA,"rf",NA,"18.2 %","%"
NA,"1599892",NA,NA,NA,NA,"bupivacaine",NA,"0.75 %","%"
NA,"1599892",NA,NA,NA,NA,"dextrose",NA,"8.25 %","%"
NA,"16027027",NA,NA,NA,NA,"sensitivity",NA,"80 %","%"
NA,"16146477",NA,NA,NA,NA,"atraucan",NA,"80 %","%"
NA,"16146477",NA,NA,NA,NA,"whitacre",NA,"81 %","%"
NA,"16146477",NA,NA,NA,NA,"fifteen",NA,"10 %","%"
NA,"16146477",NA,NA,NA,NA,"paraesthesia",NA,"2 %","%"
NA,"16146477",NA,NA,NA,NA,"sa",NA,"96 %","%"
NA,"16146477",NA,NA,NA,NA,"supplemental analgesia",NA,"3 %","%"
NA,"16146477",NA,NA,NA,NA,"headache",NA,"15 %","%"
NA,"16146477",NA,NA,NA,NA,"headache  classified post dural puncture headache",NA,"5 %","%"
NA,"16146477",NA,NA,NA,NA,"headache",NA,"4 %","%"
NA,"16146477",NA,NA,NA,NA,"whitacre group",NA,"7 %","%"
NA,"16157063",NA,NA,NA,NA,"pediatric headache",NA,"75 %","%"
NA,"16157063",NA,NA,NA,NA,"children",NA,"10.6 %","%"
NA,"16157063",NA,NA,NA,NA,"adolescents",NA,"28 %","%"
NA,"16162254",NA,NA,NA,NA,"pain relief",NA,"50 %","%"
NA,"16172700",NA,NA,NA,NA,"fluoxetine",NA,"78 %","%"
NA,"16172700",NA,NA,NA,NA,"group ii",NA,"45 %","%"
NA,"16172700",NA,NA,NA,NA,"gastrointestinal adverse effects",NA,"29 %","%"
NA,"16178492",NA,NA,NA,NA,"placebo",NA,"3.8 %","%"
NA,"16178946",NA,NA,NA,NA,"etth",NA,"40 %","%"
NA,"16218379",NA,NA,NA,NA,"headache",NA,"93 %","%"
NA,"16218379",NA,NA,NA,NA,"women",NA,"99 %","%"
NA,"16282044",NA,NA,NA,NA,"chronic daily headache cdh appears",NA,"2 %","%"
NA,"16282044",NA,NA,NA,NA,"chronic daily headache cdh",NA,"4 %","%"
NA,"16282044",NA,NA,NA,NA,"moh",NA,"50 %","%"
NA,"16282045",NA,NA,NA,NA,"population surveys",NA,"15 %to 75 %","%"
NA,"16282045",NA,NA,NA,NA,"episodic tth",NA,"30 %to 40 %","%"
NA,"16282045",NA,NA,NA,NA,"prevalence age years",NA,"25 %to 35 %","%"
NA,"16298069",NA,NA,NA,NA,"pmoh",NA,"48 %","%"
NA,"16298069",NA,NA,NA,NA,"pmoh",NA,"68 %","%"
NA,"16298069",NA,NA,NA,NA,"pmoh",NA,"20 %","%"
NA,"16370955",NA,NA,NA,NA,"medication overuse headache",NA,"1 %","%"
NA,"16392219",NA,NA,NA,NA,"ischemic",NA,"80 %","%"
NA,"16392219",NA,NA,NA,NA,"pfo",NA,"20 %","%"
NA,"16392219",NA,NA,NA,NA,"pfo",NA,"40 %to 50 %","%"
NA,"16392219",NA,NA,NA,NA,"pfo",NA,"50 %","%"
NA,"16492611",NA,NA,NA,NA,"hypertensive",NA,"93.5 %","%"
NA,"16492611",NA,NA,NA,NA,"treated",NA,"6.5 %","%"
NA,"16556246",NA,NA,NA,NA,"women",NA,"79.5 %","%"
NA,"16556246",NA,NA,NA,NA,"normal weight",NA,"40.9 %","%"
NA,"16556246",NA,NA,NA,NA,"overweight",NA,"29.5 %","%"
NA,"16556246",NA,NA,NA,NA,"obese",NA,"27.3 %","%"
NA,"16643310",NA,NA,NA,NA,"headache",NA,"51 %","%"
NA,"16643310",NA,NA,NA,NA,"headache",NA,"14 %","%"
NA,"16643310",NA,NA,NA,NA,"chronic headache",NA,"4 %","%"
NA,"16686906",NA,NA,NA,NA,"severe headaches",NA,"50 %","%"
NA,"16686906",NA,NA,NA,NA,"migraine without aura",NA,"35.7 %","%"
NA,"16688620",NA,NA,NA,NA,"men",NA,"2 %","%"
NA,"16688620",NA,NA,NA,NA,"men",NA,"4 %","%"
NA,"16707727",NA,NA,NA,NA,"patients improved",NA,"45 %","%"
NA,"16707727",NA,NA,NA,NA,"change",NA,"48 %","%"
NA,"16707727",NA,NA,NA,NA,"headaches",NA,"7 %","%"
NA,"16707727",NA,NA,NA,NA,"migraine",NA,"67 %","%"
NA,"16707727",NA,NA,NA,NA,"tension type headache",NA,"0 %","%"
NA,"16707727",NA,NA,NA,NA,"migraine tth",NA,"37 %","%"
NA,"16735806",NA,NA,NA,NA,"accidental dural puncture",NA,"50 %","%"
NA,"16738291",NA,NA,NA,NA,"tuohy",NA,"1.8 %","%"
NA,"16738291",NA,NA,NA,NA,"sprotte",NA,"3.4 %","%"
NA,"16738291",NA,NA,NA,NA,"tuohy",NA,"20 %","%"
NA,"16738291",NA,NA,NA,NA,"sprotte",NA,"55 %","%"
NA,"16738291",NA,NA,NA,NA,"+ tuohy",NA,"17.3 %","%"
NA,"16738291",NA,NA,NA,NA,"+ sprotte",NA,"25.3 %","%"
NA,"16788299",NA,NA,NA,NA,"regular dose",NA,"38.8 %","%"
NA,"16788299",NA,NA,NA,NA,"patients dropped",NA,"55.6 %","%"
NA,"16788299",NA,NA,NA,NA,"regular dose",NA,"53.3 %","%"
NA,"16817505",NA,NA,NA,NA,"therapeutic success",NA,"50 %","%"
NA,"16832241",NA,NA,NA,NA,"pdph",NA,"25.8 %","%"
NA,"16850682",NA,NA,NA,NA,"ambulation",NA,"49.2 %","%"
NA,"16850682",NA,NA,NA,NA,"hours",NA,"18.2 %","%"
NA,"16850682",NA,NA,NA,NA,"ambulation",NA,"15.6 %","%"
NA,"16870078",NA,NA,NA,NA,"migraine without aura migraine aura",NA,"84 %","%"
NA,"16870078",NA,NA,NA,NA,"migraine",NA,"65 %","%"
NA,"16870083",NA,NA,NA,NA,"subjects",NA,"50 %","%"
NA,"16886935",NA,NA,NA,NA,"loss follow",NA,"3.7 %","%"
NA,"16961787",NA,NA,NA,NA,"headache frequency",NA,"73 %","%"
NA,"17057418",NA,NA,NA,NA,"responders",NA,"44 %","%"
NA,"17057418",NA,NA,NA,NA,"responders",NA,"68 %","%"
NA,"17066105",NA,NA,NA,NA,"group",NA,"6.0 %","%"
NA,"17069972",NA,NA,NA,NA,"headache",NA,"92 %","%"
NA,"17069972",NA,NA,NA,NA,"headache",NA,"74 %","%"
NA,"17069972",NA,NA,NA,NA,"ocular headache",NA,"13 %","%"
NA,"17073214",NA,NA,NA,NA,"tth",NA,"38.3 %","%"
NA,"17073214",NA,NA,NA,NA,"women",NA,"46,9 %","%"
NA,"17073214",NA,NA,NA,NA,"women",NA,"42.3 %","%"
NA,"17073214",NA,NA,NA,NA,"depression",NA,"32 %","%"
NA,"17073214",NA,NA,NA,NA,"depression",NA,"40 %","%"
NA,"17073214",NA,NA,NA,NA,"area under headache curve calculated product period intensity",NA,"34 %","%"
NA,"17099089",NA,NA,NA,NA,"headache",NA,"32 %","%"
NA,"17115988",NA,NA,NA,NA,"general population",NA,"5 %","%"
NA,"17131796",NA,NA,NA,NA,"headache",NA,"70 %","%"
NA,"17209488",NA,NA,NA,NA,"dexamethasone headache recurrence",NA,"9.7 %","%"
NA,"17209488",NA,NA,NA,NA,"placebo",NA,"58.3 %","%"
NA,"17209488",NA,NA,NA,NA,"four dexamethasone",NA,"12.9 %","%"
NA,"17209488",NA,NA,NA,NA,"placebo",NA,"33.3 %","%"
NA,"17277688",NA,NA,NA,NA,"brainstem",NA,"50 %","%"
NA,"17277688",NA,NA,NA,NA,"fair",NA,"25 %","%"
