"idPopulations0","PMID","pNam","popSize","nCases","nControls","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"38213681",,,,,"",," severe scoliosis and spinal muscular atrophy-",,,,,,,,,," severe scoliosis and spinal muscular atrophy-",,1,"vacNemus2","2024-03-08"
,"38202272",,"91",,"91","italian",," neuromuscular diseases",,,,,,,,,," Neuromuscular Disease",,1,"vacNemus2","2024-03-08"
,"38202243",,"29",,,"italy",," thymoma- and non-thymoma-associated MG.",,,,,,,,,," Myasthenia Gravis",,1,"vacNemus2","2024-03-08"
,"38196497",,"31",,,"india",," gait abnormalities, proximal myopathy, and pains,",,,,,,,,,," Vitamin D deficiency",,1,"vacNemus2","2024-03-08"
,"38196491",,,,,"",," meralgia paresthetica",,,,,,,,,," Meralgia Paresthetica:",,1,"vacNemus2","2024-03-08"
,"38194296",,,,,"",," Traumatic optic neuropathy",,,,,,,,,," traumatic optic neuropathy.",,1,"vacNemus2","2024-03-08"
,"38193758",,,,,"",," transthyretin amyloidosis with neuropathy.",,,,,,,,,," Indocyanine Green Angiography.",,1,"vacNemus2","2024-03-08"
,"38192512",,"2",,,"",," enteric neuropathy,",,,,,,,,,," cancer",,1,"vacNemus2","2024-03-08"
,"38189479",,"1231",,,"",," CTS",,,,,,,,,," carpal tunnel syndrome.",,1,"vacNemus2","2024-03-08"
,"38186647",,,,,"",," paclitaxel-induced peripheral neuropathic pain",,,,,,,,,," peripheral neuropathic pain",,1,"vacNemus2","2024-03-08"
,"38181679",,"78",,,"",," moderately severe idiopathic carpal tunnel syndrome",,,,,,,,,," idiopathic carpal tunnel syndrome",,1,"vacNemus2","2024-03-08"
,"38179385",,,,,"",," ",,,,,,,,,," Chronic Invasive Pulmonary Aspergillosis.",,1,"vacNemus2","2024-03-08"
,"38177128",,"05225688",,,"",," post-infectious diseases.",,,,,,,,,," COVID.",,1,"vacNemus2","2024-03-08"
,"38176772",,"10",,"24","",," exacerbated POTS symptoms",,,,,,,,,," TITLE:Postural orthostatic tachycardia syndrome",,1,"vacNemus2","2024-03-08"
,"38176621",,,,,"",," liver cirrhosis and cancer.",,,,,,,,,," liver fibrosis",,1,"vacNemus2","2024-03-08"
,"38176268",,,,,"",," NASH.",,,,,,,,,," NASH",,1,"vacNemus2","2024-03-08"
,"38170096",,,,,"",," mono neuritis multiplex",,,,,,,,,," Radial Nerve Palsy",,1,"vacNemus2","2024-03-08"
,"38168119",,"7375",,,"germany",," respiratory, cardiovascular or gastrointestinal diseases.",,,,,,,,,," COVID-19",,1,"vacNemus2","2024-03-08"
,"38167306",,,,,"",," diabetic corneal neuropathy.",,,,,,,,,," diabetic corneal wound healing.",,1,"vacNemus2","2024-03-08"
,"38164796",,,,,"",," myocardial fibrosis",,,,,,,,,," myocardial fibrosis",,1,"vacNemus2","2024-03-08"
,"38162065",,"20",,,"",," pathological damage and fibrosis of the kidney tissue",,,,,,,,,," Renal Fibrosis",,1,"vacNemus2","2024-03-08"
,"38158014",,,,,"",," mechanical and cold allodynia",,,,,,,,,," peripheral neuropathy",,1,"vacNemus2","2024-03-08"
,"38151580",,"98",,,"",," tumor EGFR expression and ABY-029 fluorescence",,,,,,,,,," Sarcomas.",,1,"vacNemus2","2024-03-08"
,"38149395",,"10",,,"",," lung",,,,,,,,,," pulmonary fibrosis",,1,"vacNemus2","2024-03-08"
,"38148275",,"230",,,"",," Musculoskeletal (MSK) pathologies",,,,,,,,,," musculoskeletal",,1,"vacNemus2","2024-03-08"
,"38145606",,,,,"",," ischemic heart disease",,,,,,,,,," peritoneal fibrosis",,1,"vacNemus2","2024-03-08"
,"38145397",,"597",,,"",," respiratory and neurologic/neuromuscular conditions",,,,,,,,,," Acute COVID-19",,1,"vacNemus2","2024-03-08"
,"38144352",,,,,"",," right ventricle hypertrophy and PVR,",,,,,,,,,," pulmonary vascular remodeling",,1,"vacNemus2","2024-03-08"
,"38143650",,"43",,,"",," Neuritis and neuropathy",,,,,,,,,," Axillary Nerve Dysfunction:",,1,"vacNemus2","2024-03-08"
,"38143455",,"150",,,"iran",," GBS.",,,,,,,,,," Guillain-Barre syndrome",,1,"vacNemus2","2024-03-08"
,"38141774",,,,,"",," spinocerebellar ataxia, peripheral neuropathy,",,,,,,,,,," Reduction of Grip Strength.",,1,"vacNemus2","2024-03-08"
,"38123197",,,,,"",," ",,,,,,,,,," intrauterine adhesions",,1,"vacNemus2","2024-03-08"
,"38116398",,,,,"",," neurological and neuromuscular symptoms",,,,,,,,,," SARS-CoV-2 infection.",,1,"vacNemus2","2024-03-08"
,"38112139",,"10",,"10","",," ",,,,,,,,,," coronary artery lesions",,1,"vacNemus2","2024-03-08"
,"38105187",,,,,"",," ",,,,,,,,,," Erectile Dysfunction",,1,"vacNemus2","2024-03-08"
,"38104985",,,,,"",," Trigeminal Neuralgia/Radiculitis.CONTEXT:",,,,,,,,,," Trigeminal Neuralgia/Radiculitis.",,1,"vacNemus2","2024-03-08"
,"38099277",,,,,"",," diabetic neuropathy.",,,,,,,,,," analgesia",,1,"vacNemus2","2024-03-08"
,"38092413",,"33",,,"",," mononeuropathy multiplex",,,,,,,,,," TITLE:[Mononeuropathy",,1,"vacNemus2","2024-03-08"
,"38092194",,,,,"",," gastrointestinal diseases.",,,,,,,,,," hepatic fibrosis",,1,"vacNemus2","2024-03-08"
,"38090545",,"77",,,"",," myasthenia gravis,",,,,,,,,,," ocular myasthenia",,1,"vacNemus2","2024-03-08"
,"38087423",,"19",,,"",," COVID-19 ARDS",,,,,,,,,," COVID-19 ARDS",,1,"vacNemus2","2024-03-08"
,"38084472",,,,,"",," COVID",,,,,,,,,," immediate drug hypersensitivity.",,1,"vacNemus2","2024-03-08"
,"38084357",,,,,"",," and PP",,,,,,,,,," COVID-19:",,1,"vacNemus2","2024-03-08"
,"38084184",,"29",,,"",," ",,,,,,,,,," TITLE:Traumatic Orbital Emphysema",,1,"vacNemus2","2024-03-08"
,"38082244",,"258",,,"",," single fiber neuropathy, and 1 Tolosa-Hunt syndrome.",,,,,,,,,," TITLE:Neuromuscular diseases",,1,"vacNemus2","2024-03-08"
,"38081477",,,,,"",," ",,,,,,,,,," chronic kidney disease",,1,"vacNemus2","2024-03-08"
,"38078893",,"226",,,"",," muscular dystrophy (55.7%) and spinal muscular atrophy",,,,,,,,,," neuromuscular disease.",,1,"vacNemus2","2024-03-08"
,"38077923",,,,,"",," underlying disease.",,,,,,,,,," TITLE:Neurological complications after COVID-19:",,1,"vacNemus2","2024-03-08"
,"38077706",,,,,"",," ",,,,,,,,,," Neurogenic Dysphagia",,1,"vacNemus2","2024-03-08"
,"38075199",,,,,"",," ",,,,,,,,,," pulmonary fibrosis.",,1,"vacNemus2","2024-03-08"
,"38073634",,"6",,,"",," COVID-19-associated acute respiratory distress syndrome",,,,,,,,,," COVID-19 acute respiratory distress syndrome.",,1,"vacNemus2","2024-03-08"
,"38073395",,"8",,,"",," m. adductor longus",,,,,,,,,," Spinal Muscular Atrophy",,1,"vacNemus2","2024-03-08"
,"38073249",,,,,"",," SMN restoration in the spinal cord.",,,,,,,,,," spinal muscular atrophy.",,1,"vacNemus2","2024-03-08"
,"38064394",,,,,"",," Guillain-Barré syndrome (GBS)",,,,,,,,,," TITLE:Guillain-Barré Syndrome",,1,"vacNemus2","2024-03-08"
,"38063895",,"3",,,"",," paraesthesia, numbness, and dysesthesia.",,,,,,,,,," neuropathic pain.",,1,"vacNemus2","2024-03-08"
,"38062920",,"15",,,"",," heart failure",,,,,,,,,," rat heart failure.",,1,"vacNemus2","2024-03-08"
,"38057033",,"110",,,"",," severe Sars-Cov-2 pneumonia",,,,,,,,,," Sars-Cov2-related pneumonia.",,1,"vacNemus2","2024-03-08"
,"38053303",,"56",,"40","",," non-glaucomatous neuropathy",,,,,,,,,," COVID-19",,1,"vacNemus2","2024-03-08"
,"38048980",,"5",,,"",," spasticity and movement disorders like dystonia.",,,,,,,,,," spinal control of movement.",,1,"vacNemus2","2024-03-08"
,"38047472",,"1461",,,"",," TAA.",,,,,,,,,," cirrhotic splenomegaly.",,1,"vacNemus2","2024-03-08"
,"38046949",,,,,"",," reverse SAMS.",,,,,,,,,," COVID-19",,1,"vacNemus2","2024-03-08"
,"38046594",,"1561",,,"china",," diabetic peripheral neuropathy,",,,,,,,,,," diabetic peripheral neuropathy:",,1,"vacNemus2","2024-03-08"
,"38044666",,,,,"",," bleomycin-induced pulmonary fibrosis",,,,,,,,,," pulmonary fibrosis",,1,"vacNemus2","2024-03-08"
,"38043981",,,,,"french",," neurodegenerative disorders",,,,,,,,,," neurodegenerative disorders",,1,"vacNemus2","2024-03-08"
,"38041780",,"11",,,"",," glaucoma and traumatic optic neuropathy,",,,,,,,,,," optic nerve",,1,"vacNemus2","2024-03-08"
,"38040414",,,,,"",," CIPN),",,,,,,,,,," Peripheral Neuropathy.",,1,"vacNemus2","2024-03-08"
,"38039913",,"337",,,"",," vocal fold paralysis,",,,,,,,,,," TITLE:Laryngeal",,1,"vacNemus2","2024-03-08"
,"38038262",,"430",,,"",," dementia, and neuromuscular and movement disorders.",,,,,,,,,," neurology:",,1,"vacNemus2","2024-03-08"
,"38037113",,"32",,,"finland",," nemaline myopathy or related disorders.",,,,,,,,,," nemaline myopathy",,1,"vacNemus2","2024-03-08"
,"38031122",,"13",,,"",," severe spinal deformities,",,,,,,,,,," spinal muscular atrophy:",,1,"vacNemus2","2024-03-08"
,"38026108",,"44",,,"",," Small fiber neuropathy (SFN)",,,,,,,,,," TITLE:Small fiber neuropathy",,1,"vacNemus2","2024-03-08"
,"38021335",,,,,"germany",," hypoxemia but have normal contractility",,,,,,,,,," TITLE:Veno-venous",,1,"vacNemus2","2024-03-08"
,"38015655",,"283","140","143","",," diabetes and peripheral neuropathy",,,,,,,,,," Diabetic Patients at Risk of Foot Ulcers.",,1,"vacNemus2","2024-03-08"
,"38015640",,,,,"",," affecting liver, skeletal muscle, and heart",,,,,,,,,," glycogen storage disease type III.",,1,"vacNemus2","2024-03-08"
,"38010696",,"8498353",,,"",," COVID-19 infection, and COVID-19 vaccination.",,,,,,,,,," COVID-19",,1,"vacNemus2","2024-03-08"
,"38009865",,"2",,,"",," axonal damage",,,,,,,,,," axonal damage",,1,"vacNemus2","2024-03-08"
,"38008390",,,,,"",," axonal degeneration,",,,,,,,,,," Mouse Sensory Neurons",,1,"vacNemus2","2024-03-08"
,"38007044",,"32",,,"",," without diabetes",,,,,,,,,," sensory neuropathy",,1,"vacNemus2","2024-03-08"
,"28613607",,,,,"",," Primary glaucomas",,,,,,,,,," TITLE:Acute Angle-Closure Glaucoma",,1,"vacNemus2","2024-03-08"
,"38006038",,,,,"",," ",,,,,,,,,," Alzheimer Disease.",,1,"vacNemus2","2024-03-08"
,"38005716",,,,,"",," peripheral neuropathy,",,,,,,,,,," Paclitaxel-Induced Neuropathic Pain",,1,"vacNemus2","2024-03-08"
,"38001489",,,,,"",," ",,,,,,,,,," peripheral neuropathy",,1,"vacNemus2","2024-03-08"
,"37995087",,"1277",,,"",," renal impairment, liver injury,",,,,,,,,,," Spinal Muscular Atrophy:",,1,"vacNemus2","2024-03-08"
,"37992464",,"220",,,"",," COVID-19 ARDS",,,,,,,,,," COVID-19.",,1,"vacNemus2","2024-03-08"
,"37991674",,,,,"",," DRG",,,,,,,,,," neuropathic pain",,1,"vacNemus2","2024-03-08"
,"37990809",,"12",,"12","",," neuromuscular diseases.",,,,,,,,,," Muscular Dystrophy:",,1,"vacNemus2","2024-03-08"
,"37986769",,"241",,,"",," exercise intolerance (71%), excessive",,,,,,,,,," TITLE:Post-Vaccination Syndrome:",,1,"vacNemus2","2024-03-08"
,"37982853",,"342",,,"",," Pompe disease,",,,,,,,,,," Pompe disease.",,1,"vacNemus2","2024-03-08"
,"37978917",,,,,"",," allodynia/hyperalgesia",,,,,,,,,," Neuropathic Pain",,1,"vacNemus2","2024-03-08"
,"37976488",,"23",,,"",," trigger points in the rhomboid muscle.",,,,,,,,,," Myofascial Pain Syndrome",,1,"vacNemus2","2024-03-08"
,"37976148",,,,,"",," Leber Hereditary Optic Neuropathy",,,,,,,,,," Leber Hereditary Optic Neuropathy",,1,"vacNemus2","2024-03-08"
,"37974364",,"6",,,"",," diseases associated with optic neuritis.",,,,,,,,,," TITLE:SARS-CoV-2 Parainfectious Optic Neuropathy:",,1,"vacNemus2","2024-03-08"
,"37972929",,"60",,,"switzerland",," sciatic nerve deficit, pre-existing peripheral neuropathy,",,,,,,,,,," sciatic nerve block at the popliteal crease:",,1,"vacNemus2","2024-03-08"
,"37971581",,,,,"",," development of IIMs",,,,,,,,,," Idiopathic Inflammatory Myopathies:",,1,"vacNemus2","2024-03-08"
,"37969882",,"22",,,"",," critical illness myopathy",,,,,,,,,," COVID-19",,1,"vacNemus2","2024-03-08"
,"37968647",,"87",,"50","",," ME/CFS, and HC,",,,,,,,,,," Chronic Fatigue Syndrome.",,1,"vacNemus2","2024-03-08"
,"37967788",,,,,"",," aggravated airway inflammation",,,,,,,,,," airway inflammation",,1,"vacNemus2","2024-03-08"
,"37966585",,"5",,"5","",," degeneration of cortical neurons",,,,,,,,,," neurotoxicity",,1,"vacNemus2","2024-03-08"
,"37962192",,,,,"",," Small Fiber Neuropathy",,,,,,,,,," Small Fiber Neuropathy",,1,"vacNemus2","2024-03-08"
,"37956597",,,,,"",," neuropathy, mast cell activation syndrome, and pericarditis.CONTEXT:",,,,,,,,,," pericarditis.",,1,"vacNemus2","2024-03-08"
,"37956150",,"111",,,"",," COVID-19 pneumonia",,,,,,,,,," TITLE:Delirium in patients with COVID-19",,1,"vacNemus2","2024-03-08"
,"37954740",,"61",,,"",," malaise, bloody stools, and jaundice.",,,,,,,,,," TITLE:Thrombotic Thrombocytopenic Purpura",,1,"vacNemus2","2024-03-08"
,"37953801",,"203",,,"",," fatigue, dyspnea, and cognitive dysfunction,",,,,,,,,,," COVID",,1,"vacNemus2","2024-03-08"
,"37951885",,"54",,,"",," COVID-19",,,,,,,,,," cardiorespiratory and cognitive function",,1,"vacNemus2","2024-03-08"
,"37947228",,"150",,,"united arab emirates",," prolonged hospitalization",,,,,,,,,," COVID-19",,1,"vacNemus2","2024-03-08"
,"37940750",,"21",,,"",," MG",,,,,,,,,," Myasthenia Gravis:",,1,"vacNemus2","2024-03-08"
,"37933398",,,,,"",," neurological side effects",,,,,,,,,," TITLE:Neurological complications",,1,"vacNemus2","2024-03-08"
,"37924690",,"27",,,"chinese",," cardiovascular diseases,",,,,,,,,,," cardiac fibrosis.",,1,"vacNemus2","2024-03-08"
,"37921132",,,,,"",," Acroparesthesia",,,,,,,,,," TITLE:Acroparesthesias:",,1,"vacNemus2","2024-03-08"
,"37920836",,"927",,"927","",," optimal method of mecobalamin for DPN.",,,,,,,,,," diabetic peripheral neuropathy?",,1,"vacNemus2","2024-03-08"
,"37915172",,"2",,,"spanish",," hearing impairment and deafness in auditory neuropathy.",,,,,,,,,," hearing loss",,1,"vacNemus2","2024-03-08"
,"37909186",,"148",,,"",," hemodynamic parameters",,,,,,,,,," Rocuronium-Induced Neuromuscular Blockade",,1,"vacNemus2","2024-03-08"
,"37906182",,,,,"",," Peripheral neuropathy",,,,,,,,,," Peripheral Neuropathy.",,1,"vacNemus2","2024-03-08"
,"37903785",,,,,"",," ",,,,,,,,,," atherosclerosis",,1,"vacNemus2","2024-03-08"
,"37895936",,,,,"",," cold and mechanical allodynia",,,,,,,,,," Neuropathic Pain",,1,"vacNemus2","2024-03-08"
,"37895913",,,,,"",," for CIPN",,,,,,,,,," Neuropathic Pain.",,1,"vacNemus2","2024-03-08"
,"37892654",,"45",,,"romanian",," diabetic peripheral neuropathy,",,,,,,,,,," Diabetic Foot Ulcer",,1,"vacNemus2","2024-03-08"
,"37888707",,,,,"",," cardiovascular",,,,,,,,,," Tilmicosin Cardiotoxicity",,1,"vacNemus2","2024-03-08"
,"37885397",,"250",,,"",," fungal keratitis",,,,,,,,,," TITLE:[Fungal Keratitis",,1,"vacNemus2","2024-03-08"
,"37881957",,"153",,,"",," spinal muscular atrophy 1",,,,,,,,,," TITLE:Spinal Muscular Atrophy Type 1",,1,"vacNemus2","2024-03-08"
,"37876867",,"45",,,"",," unilateral radicular pain in their lower limbs",,,,,,,,,," SCIATIC PAIN DUE TO LUMBAR DISC HERNIATION.",,1,"vacNemus2","2024-03-08"
,"37874555",,"23",,,"chinese",," ATM and neck pain.",,,,,,,,,," TITLE:Acute Thyrotoxic Myopathy Combined with Neck Pain:",,1,"vacNemus2","2024-03-08"
,"37873477",,"57",,,"",," glaucoma.",,,,,,,,,," Retinal Ganglion Cells",,1,"vacNemus2","2024-03-08"
,"37869469",,"201",,,"",," bloodstream infections",,,,,,,,,," COVID-19:",,1,"vacNemus2","2024-03-08"
,"37867584",,,,,"colombian",," Guillain-Barré syndrome.",,,,,,,,,," TITLE:Guillain-Barré Syndrome",,1,"vacNemus2","2024-03-08"
