"idPopulations0","PMID","pNam","popSize","nCases","nControls","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"25701335",,"26","26","26","",," diabetes",,,,,,,,,," diabetes:",,1,"projTutoTrialRisk","2024-02-06"
,"25684570",,,,,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25677122",,"478","478","242","dutch",," diabetes",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25675797",,,,,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25670364",,"4","4","4","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25662857",,,"9","9","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25662284",,"51","51","37","",," diabetes mellitus (DM), hypertension (HTN),",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25661338",,"29","29","15","",," ",,,,,,,,,," cutaneous leishmaniasis",,1,"projTutoTrialRisk","2024-02-06"
,"25661281",,"94","94",,"austria, czech republic, estonia, germany, latvia",," asthma.",,,,,,,,,," symptomatic asthma.",,1,"projTutoTrialRisk","2024-02-06"
,"25646326",,"185",,,"bangladesh",," deficiencies of vitamin E",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25646324",,"80","80","80","dutch",," sarcopenia.",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25644340",,,"12","12","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25641529",,"200","200","200","united states",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25638594",,"58","55","55","egypt",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25637322",,,,,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25633911",,,"45","45","",," ",,,,,,,,,," acute myocardial infarction:",,1,"projTutoTrialRisk","2024-02-06"
,"25627992",,,,,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25626655",,"24","24","24","brazil",," ",,,,,,,,,," cutaneous leishmaniasis",,1,"projTutoTrialRisk","2024-02-06"
,"25623430",,"383","383","383","spain",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25622671",,"164","164","164","",," ",,,,,,,,,," type 2 diabetes mellitus].",,1,"projTutoTrialRisk","2024-02-06"
,"25618448",,"195","195","195","",," ",,,,,,,,,," heart failure",,1,"projTutoTrialRisk","2024-02-06"
,"25618270",,"142","142","34","",," ",,,,,,,,,," diabetic nephropathy.",,1,"projTutoTrialRisk","2024-02-06"
,"25613238",,"204","204","204","australia",," ",,,,,,,,,," atrial fibrillation",,1,"projTutoTrialRisk","2024-02-06"
,"25608991",,"176","86","90","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25605203",,"753","753","753","jordan",," cancer,",,,,,,,,,," cancer",,1,"projTutoTrialRisk","2024-02-06"
,"25603659",,,,"100","",," ",,,,,,,,,," TITLE:Stroke after coronary artery bypass surgery",,1,"projTutoTrialRisk","2024-02-06"
,"25601294",,"46","46","46","",," spider phobia,",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25600559",,"48","48","48","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25592008",,"260","260","260","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25586277",,"157","157","157","turkey",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25582795",,,,,"new zealand",," biophysical and socio-",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25581660",,"254","254","254","",," ",,,,,,,,,," drinking, alcohol consumption, and hepatitis C status",,1,"projTutoTrialRisk","2024-02-06"
,"25579865",,,"42","42","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25577772",,"849","849","849","new zealand",," ",,,,,,,,,," diabetes mellitus.",,1,"projTutoTrialRisk","2024-02-06"
,"25577762",,,,,"",," ",,,,,,,,,," stable coronary artery disease",,1,"projTutoTrialRisk","2024-02-06"
,"25577748",,"272",,,"denmark",," MP deficits.",,,,,,,,,," non-specific chest pain",,1,"projTutoTrialRisk","2024-02-06"
,"25577741",,"27","27","27","",," ",,,,,,,,,," vasculogenic erectile dysfunction.",,1,"projTutoTrialRisk","2024-02-06"
,"25577701",,"22",,"22","",," cardiovascular health",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25576273",,"328","328","328","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25574960",,"3316",,"2895","zimbabwe",," ",,,,,,,,,," peripheral neuropathy",,1,"projTutoTrialRisk","2024-02-06"
,"25571785",,,,,"",," acute kidney injury, neurological impairment,",,,,,,,,,," HELLP syndrome",,1,"projTutoTrialRisk","2024-02-06"
,"25568560",,"72","72","72","iran",," ",,,,,,,,,," Dyslipidemia308",,1,"projTutoTrialRisk","2024-02-06"
,"25562321",,"292","292","292","",," ",,,,,,,,,," severe emphysema.",,1,"projTutoTrialRisk","2024-02-06"
,"25558509",,,,"162","germany",," degenerative disease or fractures.",,,,,,,,,," osteoporosis",,1,"projTutoTrialRisk","2024-02-06"
,"25558172",,"394","394","394","korean",," ",,,,,,,,,," AMD",,1,"projTutoTrialRisk","2024-02-06"
,"25558034",,"21","21","21","switzerland",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25557208",,,,"304","denmark",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25556596",,,,"309","brazil",," preeclampsia.",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25555448",,,"13387","13387","united states",," Obesity, older age, and male gender",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25555154",,,"88","88","",," Neuroticism-Anxiety and Impulsivity",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25554997",,"129","129",,"",," depression",,,,,,,,,," depression",,1,"projTutoTrialRisk","2024-02-06"
,"25554994",,,"339","339","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25554820",,"480","480","480","",," severe hearing or visual impairment.",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25554239",,"84","84","84","",," ",,,,,,,,,," acute myeloid leukemia and myelodysplastic syndromes.",,1,"projTutoTrialRisk","2024-02-06"
,"25553650",,,"31","31","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25552576",,"231","231","231","new zealand",," Parkinson disease.",,,,,,,,,," Parkinson disease:",,1,"projTutoTrialRisk","2024-02-06"
,"25552564",,"780","916","916","united states",," diabetes mellitus, hypertension, and hyperlipidemia",,,,,,,,,," obesity",,1,"projTutoTrialRisk","2024-02-06"
,"25552525",,,,,"canada",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25552280",,"72","72",,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25552279",,,"76","76","",," late onset sepsis",,,,,,,,,," central venous catheter complications",,1,"projTutoTrialRisk","2024-02-06"
,"25551355",,"7","7","7","",," ",,,,,,,,,," neuroblastoma.",,1,"projTutoTrialRisk","2024-02-06"
,"25550358",,"6","6","6","",," ",,,,,,,,,," hypertension",,1,"projTutoTrialRisk","2024-02-06"
,"25550295",,"1252","38635","38635","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25549482",,"170","85","170","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25547339",,"238","238","238","",," ",,,,,,,,,," Type 2 Diabetes.",,1,"projTutoTrialRisk","2024-02-06"
,"25547247",,,,,"japan",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25546925",,,,"102","",," preeclampsia,",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25546803",,,,,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25546733",,,,,"",," ",,,,,,,,,," topotecan.",,1,"projTutoTrialRisk","2024-02-06"
,"25546032",,"479","479","479","",," type 2 diabetes,",,,,,,,,,," diabetes:",,1,"projTutoTrialRisk","2024-02-06"
,"25545872",,"2",,,"",," ",,,,,,,,,," TITLE:Haemostatic and fibrinolytic changes",,1,"projTutoTrialRisk","2024-02-06"
,"25545727",,,,"157","",," cardiovascular",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25545726",,"327","327","256","",," ",,,,,,,,,," acute myeloid leukemia",,1,"projTutoTrialRisk","2024-02-06"
,"25545117",,"320","320","320","",," ",,,,,,,,,," pediatric type 1 diabetes.",,1,"projTutoTrialRisk","2024-02-06"
,"25543688",,"261","261","261","australia, wales, new zealand",," chronic disease",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25543065",,,,,"",," ",,,,,,,,,," high cortisol responders to stress.",,1,"projTutoTrialRisk","2024-02-06"
,"25542917",,"120","120","120","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25542620",,"17","17","17","australia, new zealand",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25542520",,"1185","1185","1185","",," ",,,,,,,,,," age-related macular degeneration",,1,"projTutoTrialRisk","2024-02-06"
,"25542393",,"1319","1319","1319","united states",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25542158",,,"37","37","japan",," ",,,,,,,,,," leukemia/lymphoma",,1,"projTutoTrialRisk","2024-02-06"
,"25541989",,"156",,,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25541227",,"182","182","91","",," hypercholesterolemia.",,,,,,,,,," Hypercholesterolemia.",,1,"projTutoTrialRisk","2024-02-06"
,"25541155",,"1031","1031","790","",," ",,,,,,,,,," breast cancer",,1,"projTutoTrialRisk","2024-02-06"
,"25540936",,"174","667","667","",," high-risk disease.",,,,,,,,,," acute myeloid leukemia",,1,"projTutoTrialRisk","2024-02-06"
,"25540170",,"103","103","9","",," multiple sclerosis",,,,,,,,,," multiple sclerosis:",,1,"projTutoTrialRisk","2024-02-06"
,"25539989",,"400",,"400","france",," severe cognitive disorders,",,,,,,,,,," chronic heart failure",,1,"projTutoTrialRisk","2024-02-06"
,"25539976",,,"17","17","germany",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25539966",,"11","7","7","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25539939",,"13","13","13","",," ",,,,,,,,,," type 2 diabetes.",,1,"projTutoTrialRisk","2024-02-06"
,"25539823",,,,"1044","italy",," ",,,,,,,,,," leukaemia, non hodgkin lymphoma and neuroblastoma:",,1,"projTutoTrialRisk","2024-02-06"
,"25539792",,"90","90","90","denmark",," pneumothorax",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25539672",,"500","500",,"united kingdom",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25539571",,,"2854","2854","france",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25538152",,"40","40","40","",," ",,,,,,,,,," Stroke:",,1,"projTutoTrialRisk","2024-02-06"
,"25538086",,"1807","1807","1807","",," ",,,,,,,,,," acute coronary syndrome:",,1,"projTutoTrialRisk","2024-02-06"
,"25537065",,"3","3","3","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25536254",,,"4","1","",," (cardiac arrhythmia,",,,,,,,,,," hypoxic ischemic encephalopathy:",,1,"projTutoTrialRisk","2024-02-06"
,"25535858",,"87","87","87","",," ",,,,,,,,,," Poor global sleep quality, perceived stress, and telomere length",,1,"projTutoTrialRisk","2024-02-06"
,"25535596",,"151","151","151","",," ",,,,,,,,,," heart failure.",,1,"projTutoTrialRisk","2024-02-06"
,"25534388",,"1489","89","1489","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25534369",,"99","99","99","",," ",,,,,,,,,," Dysphagia",,1,"projTutoTrialRisk","2024-02-06"
,"25533451",,"95",,,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25532865",,"36","36","36","english",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25532481",,"633",,,"pakistan",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25531281",,"6848","6848","32","japan",," TBI-MAC, but not no-TBI MAC,",,,,,,,,,," conditioning intensity and TBI",,1,"projTutoTrialRisk","2024-02-06"
,"25531109",,"157","157","1349","",," diabetes, hypertension, smoking,",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25530341",,,,"26","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25529899",,,,,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25529769",,"208","208","208","china",," multilineage dysplasia",,,,,,,,,," myelodysplastic syndromes.",,1,"projTutoTrialRisk","2024-02-06"
,"25529596",,"11499","11499","11499","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25529232",,"108","108","108","",," ",,,,,,,,,," atopic dermatitis.",,1,"projTutoTrialRisk","2024-02-06"
,"25529189",,,,,"",," cardiovascular risk factors,",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25528693",,"1657","1657","1657","german",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25528432",,"50","50","50","canada, united states",," atherosclerosis.",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25528430",,,"30","30","spain",," ",,,,,,,,,," type 2 diabetic",,1,"projTutoTrialRisk","2024-02-06"
,"25528363",,"182","182","182","",," renal dysfunction.",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25528350",,"700","700","700","denmark, norway, sweden",," severe head trauma, coma at admission or status epilepticus,",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25528311",,"78","78","78","",," ",,,,,,,,,," LDL-cholesterol, ambulatory blood pressure",,1,"projTutoTrialRisk","2024-02-06"
,"25527763",,,"223","223","france",," CRC or polyp resection.",,,,,,,,,," colorectal cancer:",,1,"projTutoTrialRisk","2024-02-06"
,"25527759",,"3004","3004","3004","united states",," diabetes,",,,,,,,,,," type 2 diabetes:",,1,"projTutoTrialRisk","2024-02-06"
,"25527758",,"37193","37193","37193","united states",," ",,,,,,,,,," cardiovascular disease",,1,"projTutoTrialRisk","2024-02-06"
,"25527756",,,,,"united states",," ",,,,,,,,,," pancreatic cancer",,1,"projTutoTrialRisk","2024-02-06"
,"25527752",,"860176",,,"sweden",," ",,,,,,,,,," non-gallstone-related acute pancreatitis:",,1,"projTutoTrialRisk","2024-02-06"
,"25527749",,"69","69","69","scotland",," coronary artery disease, chronic kidney disease, and diabetes",,,,,,,,,," coronary artery disease, chronic kidney disease, and diabetes",,1,"projTutoTrialRisk","2024-02-06"
,"25527071",,"700","700","700","south africa",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25526951",,"30","30","30","new zealand",," psoriasis vulgaris",,,,,,,,,," psoriasis vulgaris:",,1,"projTutoTrialRisk","2024-02-06"
,"25526870",,"798","798","798","scotland",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25526438",,"6660",,"1018","egypt",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25525981",,"100","100","100","",," ",,,,,,,,,," kidney",,1,"projTutoTrialRisk","2024-02-06"
,"25525601",,,"100","100","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25524686",,"122","122","41","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25524543",,,,,"denmark",," ",,,,,,,,,," Crohn's disease",,1,"projTutoTrialRisk","2024-02-06"
,"25524487",,"54","54","30","united states",," ",,,,,,,,,," type 1 diabetes mellitus.",,1,"projTutoTrialRisk","2024-02-06"
,"25524399",,,,,"",," ",,,,,,,,,," rheumatoid arthritis:",,1,"projTutoTrialRisk","2024-02-06"
,"25524249",,"1316","1316","1316","australia",," ",,,,,,,,,," eating disorders and obesity.",,1,"projTutoTrialRisk","2024-02-06"
,"25524177",,"130","130","130","",," ",,,,,,,,,," AML",,1,"projTutoTrialRisk","2024-02-06"
,"25523534",,"357",,,"germany, united states",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25523533",,"504","504","504","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25523381",,"272","272",,"germany",," ",,,,,,,,,," cirrhosis.",,1,"projTutoTrialRisk","2024-02-06"
,"25523353",,,,,"",," ",,,,,,,,,," obesity",,1,"projTutoTrialRisk","2024-02-06"
,"25523297",,"1038","1038",,"iran",," ",,,,,,,,,," hepatitis delta",,1,"projTutoTrialRisk","2024-02-06"
,"25523036",,"400","400","400","",," chronic liver disease",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25522664",,,"42","42","",," Depression and anxiety",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25522380",,"163","163","163","japan",," ",,,,,,,,,," chronic schizophrenia:",,1,"projTutoTrialRisk","2024-02-06"
,"25521535",,,,,"",," serious adverse",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25520389",,,"6390","3169","",," hypertension, diabetes, and cardiovascular disease.",,,,,,,,,," prostate cancer:",,1,"projTutoTrialRisk","2024-02-06"
,"25520333",,"834","834","94","",," impaired oral hygiene, swallowing difficulty)",,,,,,,,,," pneumonia",,1,"projTutoTrialRisk","2024-02-06"
,"25520249",,"9804","9804","9804","united kingdom",," history of cardiovascular disease and/or type 2 diabetes mellitus",,,,,,,,,," cardiovascular disease",,1,"projTutoTrialRisk","2024-02-06"
,"25520112",,"45",,"45","thai",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25518095",,"313","313",,"",," psychological disorders,",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25518030",,"109","109","109","",," deep infection.",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25518015",,"64","64","64","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25517808",,,"195","51","nepal",," ",,,,,,,,,," tuberculosis",,1,"projTutoTrialRisk","2024-02-06"
,"25517054",,"81","81",,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25516423",,,,,"denmark",," mental health symptoms,",,,,,,,,,," sick leave and at risk of having a mental disorder:",,1,"projTutoTrialRisk","2024-02-06"
,"25516197",,,,"7","",," ",,,,,,,,,," congenital heart disease.",,1,"projTutoTrialRisk","2024-02-06"
,"25516158",,,,"36","scottish",," breast cancer.",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25516149",,,,,"",," aneurysms",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25515658",,"156","156","75","",," ",,,,,,,,,," nonsmall-cell lung cancer and high risk of cerebral metastases",,1,"projTutoTrialRisk","2024-02-06"
,"25515657",,"2230","2230","2230","",," dNLR",,,,,,,,,," metastatic castration-resistant prostate cancer",,1,"projTutoTrialRisk","2024-02-06"
,"25515620",,"6097","6097","6097","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25515217",,"60","60","60","australia",," what factors promoted or hindered its use.",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25514303",,"135","163","163","",," ",,,,,,,,,," cardiovascular disease risk factors and insulin sensitivity:",,1,"projTutoTrialRisk","2024-02-06"
,"25514103",,"27","12","12","",," ",,,,,,,,,," metabolic syndrome.",,1,"projTutoTrialRisk","2024-02-06"
,"25511866",,,,,"",," ",,,,,,,,,," myelofibrosis.",,1,"projTutoTrialRisk","2024-02-06"
,"25511816",,"150","150",,"",," Stroke or transient ischaemic attack",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25511206",,,"50","50","australia, new zealand",," chronic conditions.",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25510857",,,"100",,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25506778",,"43","43","43","",," diabetes and cardiovascular disease.",,,,,,,,,," depression,",,1,"projTutoTrialRisk","2024-02-06"
,"25505275",,"70","70","70","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25505257",,"3883","3883","3883","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25504466",,"90","90","90","",," ",,,,,,,,,," Alzheimer's disease.",,1,"projTutoTrialRisk","2024-02-06"
,"25503576",,"1435",,,"",," ",,,,,,,,,," cancer",,1,"projTutoTrialRisk","2024-02-06"
,"25503550",,,"346","346","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25503402",,"130","200","200","",," ",,,,,,,,,," familial dilated cardiomyopathy and arrhythmias.",,1,"projTutoTrialRisk","2024-02-06"
,"25502166",,"301",,,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25501678",,"8101",,,"taiwan",," Malignant neoplasms",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25501051",,"2643","2643","2643","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25500971",,"149","149","60","",," ",,,,,,,,,," TITLE:Plasma glutamine deficiency",,1,"projTutoTrialRisk","2024-02-06"
,"25500422",,"237",,"2657","belgium, australia, israel",," ",,,,,,,,,," early breast cancer:",,1,"projTutoTrialRisk","2024-02-06"
,"25500293",,"116","116","116","canada, united states",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25500100",,"212",,,"united states",," ",,,,,,,,,," lung cancer:",,1,"projTutoTrialRisk","2024-02-06"
,"25499871",,"848","848","695","",," ",,,,,,,,,," atrial fibrillation",,1,"projTutoTrialRisk","2024-02-06"
,"25499536",,"343","343","343","american",," AD.",,,,,,,,,," Alzheimer's disease.",,1,"projTutoTrialRisk","2024-02-06"
,"25499395",,"126367","126367","126367","taiwan",," ",,,,,,,,,," myocardial infarction.",,1,"projTutoTrialRisk","2024-02-06"
,"25499356",,"1602","1602",,"greece",," coronary artery disease nor clinically manifest peripheral artery disease",,,,,,,,,," AF-related stroke.",,1,"projTutoTrialRisk","2024-02-06"
,"25499302",,"129","129","129","canadian",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25499165",,"47","47","47","canada, united states",," cardiovascular disease,",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25498879",,,"89","356","china",," ANSWERNOTF",,,,,,,,,," anti-tuberculosis drug-induced hepatotoxicity",,1,"projTutoTrialRisk","2024-02-06"
,"25498837",,,,,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25498742",,"32","32","16","turkey",," ",,,,,,,,,," ventilator-associated pneumonia:",,1,"projTutoTrialRisk","2024-02-06"
,"25498565",,,"754","754","",," ",,,,,,,,,," gastrointestinal toxicity:",,1,"projTutoTrialRisk","2024-02-06"
,"25497694",,,,,"australia, new zealand",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
