"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","pValue","exp2","adjustment","fromCode","projectName","uploadDate"
,"27143710_6_OR","27143710","medialization laryngoplasty",,"NULL","NULL",," "," idiopathic vocal fold paralysis",0.4,"0.2","0.79","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"27143710_5_OR","27143710","iatrogenic injury",,"NULL","NULL",," "," iatrogenic injury",1.73,"1.01","2.94","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"27143710_2_OR","27143710","non-medialization laryngoplasty). ml correlated",,"NULL","NULL",," "," vocal fold paralysis secondary to neoplastic disease",2.14,"1.01","4.53","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"27845501_5_OR","27845501","wound infections",,"NULL","NULL",," "," higher number of wound infections",0.32,"0.12","0.85","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"27845501_3_OR","27845501","subcutaneous transposition with submuscular transposition",,"NULL","NULL",," "," clinical improvement",0.93,"0.8","1.08","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"27845501_4_OR","27845501","subcutaneous transposition with submuscular transposition",,"NULL","NULL",," "," neurophysiological improvement",1.47,"0.94","3.87","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"28843768_2_OR","28843768","carfilzomib group",,"NULL","NULL",," "," risk of death",0.791,"0.648","0.964","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"29782495_2_OR","29782495","bcg vaccine scar",,"NULL","NULL",," "," protection against neural impairment",0.41,"NULL","NULL","odd ratio (OR)","p = 0.044",,,1,"vacNemus2","2024-03-08"
,"29782495_1_OR","29782495","peripheral blood qpcr positivity",,"NULL","NULL",," "," higher towards neural impairment",2.08,"NULL","NULL","odd ratio (OR)","p = 0.028",,,1,"vacNemus2","2024-03-08"
,"30629109_25_OR","30629109","vitrectomies:",,"NULL","NULL",," "," vitrectomies:",0.54,"0.46","0.63","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_22_OR","30629109","vitrectomy",,"NULL","NULL",," "," and vitrectomy",0.58,"0.48","0.69","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_18_OR","30629109","tractional retinal detachment",,"NULL","NULL",," "," tractional retinal detachment",0.61,"0.47","0.79","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_23_OR","30629109","(retinal lasers:",,"NULL","NULL",," "," diabetic retinopathy",0.61,"0.59","0.64","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_17_OR","30629109","vitreous hemorrhage",,"NULL","NULL",," "," vitreous hemorrhage",0.62,"0.54","0.71","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_16_OR","30629109","proliferative diabetic retinopathy",,"NULL","NULL",," "," proliferative diabetic retinopathy",0.64,"0.58","0.7","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_24_OR","30629109","intravitreal injections:",,"NULL","NULL",," "," diabetic retinopathy",0.68,"0.61","0.76","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_19_OR","30629109","macular edema",,"NULL","NULL",," "," macular edema",0.6,"0.46","0.79","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_20_OR","30629109","retinal laser treatment",,"NULL","NULL",," "," risks of major adverse cardiovascular events",0.71,"0.65","0.77","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_28_OR","30629109","statin therapy",,"NULL","NULL",," "," new-onset diabetic foot ulcers",0.73,"0.68","0.78","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_21_OR","30629109","intravitreal injections:",,"NULL","NULL",," "," intravitreal injections:",0.74,"0.61","0.89","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_26_OR","30629109","statin therapy",,"NULL","NULL",," "," risks of major adverse cardiovascular events",0.81,"0.77","0.85","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_27_OR","30629109","statin therapy",,"NULL","NULL",," "," new-onset diabetic neuropathy",0.85,"0.82","0.89","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_14_OR","30629109","patients in the statin group",,"NULL","NULL",," "," rate of diabetic retinopathy",0.86,"0.81","0.91","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30629109_15_OR","30629109","patients in the statin group",,"NULL","NULL",," "," diabetic retinopathy",0.92,"0.86","0.99","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"30636517_2_OR","30636517","shorter duration of symptoms before presentation to our hospital",,"NULL","NULL",," "," unfavourable outcome",0.88,"0.79","0.99","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"30809275_6_OR","30809275","extracorporeal shockwave therapy versus control",,"NULL","NULL",," "," treatment success",0.3,"0","7.1","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"30809275_7_OR","30809275","corticosteroid injection vs footwear/padding",,"NULL","NULL",," "," decreased pain more than control on visual analogue scale",6,"1.9","19.2","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"31587271_2_OR","31587271","treated with toxin type improved",,"NULL","NULL",," "," toe walking",1.21,"0.57","2.55","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"31607328_7_OR","31607328","subcutaneous injection of bortezomib",,"NULL","NULL",," intravenous injection group,"," relative risk of peripheral neuropathy above grade 2",0.376,"0.196","0.722","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"31607328_6_OR","31607328","subcutaneous injection of bortezomib",,"NULL","NULL",," intravenous injection group,"," relative risk of peripheral neuropathy above grade 2",0.525,"0.297","0.928","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"31853962_8_OR","31853962","serious adverse events",,"NULL","NULL",," "," serious adverse events",0.47,"0.13","1.72","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"31853962_7_OR","31853962","risk of total adverse events",,"NULL","NULL",," "," risk of total adverse events",0.86,"0.62","1.19","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"31853962_6_OR","31853962","bm-msc",,"NULL","NULL",," "," overall survival at six months",1.07,"0.94","1.22","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"31853962_4_OR","31853962","bm-msc",,"NULL","NULL",," "," bm-msc group",3.38,"1.22","5.54","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"31888553_2_OR","31888553","higher injection number.",,"NULL","NULL",," first-level group."," for ischemic optic neuropathy",2.2,"1.42","3.43","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"32495147_2_OR","32495147","infants below 6 months",,"NULL","NULL","months"," "," risk of critical disease severity",5.6,"1.3","29.1","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"33320904_7_OR","33320904","lowest p/f ratio on the first day of admission",,"NULL","NULL",," "," icu death.",0.82,"0.67","0.98","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"33320904_5_OR","33320904","age",,"NULL","NULL",," "," icu death.",1.13,"1.07","1.21","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"33320904_8_OR","33320904","paco2",,"NULL","NULL",," "," icu death.",1.52,"1.01","2.39","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"33320904_6_OR","33320904","obesity",,"NULL","NULL",," "," icu death.",3.06,"1.16","8.74","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"33337797_6_OR","33337797","mgso4-rocuronium,",,"NULL","NULL","mg"," compared with saline-succinylcholine"," patients with at least 1 adverse event",0.38,"0.22","0.66","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"33337797_2_OR","33337797","saline-succinylcholine",,"NULL","NULL",," "," superior intubation conditions",1.06,"0.81","1.39","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"33337797_5_OR","33337797","higher in women",,"NULL","NULL",," "," rate of excellent intubating conditions",1.42,"1.07","1.91","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"33392411_3_OR","33392411","patients with t2d",,"NULL","NULL",," "," hazard for intubation",3,"1.39","6.46","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"33607776_3_OR","33607776","apache ii score",,"NULL","NULL",," "," odds ratio of in-hospital death",1.126,"1.014","1.252","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"33668003_1_OR","33668003","elevated creatine kinase",,"NULL","NULL",," "," poor outcome",3.01,"2.21","4.1","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"33891572_2_OR","33891572","age",,"NULL","NULL",," "," predicted mortality",1.08,"1.04","1.12","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"33891572_6_OR","33891572","higher median sequential organ failure assessment score",,"NULL","NULL",," "," hospital mortality.comorbidities,",1.24,"1.06","1.43","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"33891572_8_OR","33891572","severe acute respiratory distress syndrome",,"NULL","NULL",," "," hospital mortality.comorbidities,",5.24,"1.18","23.29","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"33891572_7_OR","33891572","elevated creatine kinase",,"NULL","NULL",," "," hospital mortality.comorbidities,",6.64,"1.51","29.17","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"34138871_1_OR","34138871","pre-existing conditions",,"NULL","NULL",," "," developing post-acute complications",1.1,"0.41","2.93","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"34138871_2_OR","34138871","high dependency unit patients",,"NULL","NULL",," HDU patients"," complications were",17.6,"5.23","59.21","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"34287109_1_OR","34287109","anosmia/ageusia",,"NULL","NULL",," "," (head eyes ears nose throat) manifestations.",14.28,"8.39","24.29","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"34287109_4_OR","34287109","anosmia/ageusia",,"NULL","NULL",," "," (head eyes ears nose throat) manifestations.",19,"14.28","24.29","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"34287109_5_OR","34287109","ischemic stroke",,"NULL","NULL",," than in patients without COVID-19"," (head eyes ears nose throat) manifestations.",2.53,"1.16","5.5","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"34287109_6_OR","34287109","guillain barre syndrome",,"NULL","NULL",," "," neurological symptoms",3.43,"1.15","10.25","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"34307014_3_OR","34307014","ards incidence",,"NULL","NULL",," compared to non-ICU care"," complications during icu care",107.98,"55.51","210.03","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"34307014_4_OR","34307014","extracorporeal membrane oxygenation.",,"NULL","NULL",," compared with non-ECMO"," incidence of mortality",15.79,"4.21","59.28","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"34848546_2_OR","34848546","higher dynamic driving pressure (δp) values",,"NULL","NULL",," "," increased mortality",1.16,"1","1.33","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35016427_5_OR","35016427","elevated lactic dehydrogenase (ldh)",,"NULL","NULL",," "," independent prognostic factors for multiple myeloma patients.",1.934,"NULL","NULL","hazard ratio (HR)","P = 0.009",,,1,"vacNemus2","2024-03-08"
,"35016427_4_OR","35016427","extramedullary disease (extramedullary disease)",,"NULL","NULL",," "," independent prognostic factors for multiple myeloma patients.",2.373,"NULL","NULL","hazard ratio (HR)","P = 0.006",,,1,"vacNemus2","2024-03-08"
,"35016427_2_OR","35016427","that diabetes was",,"NULL","NULL",," "," risk factor of peripheral neuropathy in mm patients",3.484,"NULL","NULL","odd ratio (OR)","P = 0.020",,,1,"vacNemus2","2024-03-08"
,"35324536_6_OR","35324536","cv+ patients",,"NULL","NULL",," "," peripheral neuropathy symptoms in the extremities",2.72,"2.1","3.54","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35324536_8_OR","35324536","cv+",,"NULL","NULL",," "," pain in the extremities",2.95,"2.21","3.91","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35324536_9_OR","35324536","sars-cov-2 infection",,"NULL","NULL",," "," higher occurrence of peripheral neuropathy symptoms,",3.19,"2.37","4.29","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35324536_7_OR","35324536","cv+ patients",,"NULL","NULL",," "," peripheral neuropathy symptoms",3.39,"1.91","6.03","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35348610_5_OR","35348610","neuromuscular blockage use",,"NULL","NULL",," "," in-hospital mortality.",0.286,"0.101","0.81","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"35348610_7_OR","35348610","age (per 10-yr increase;",,"NULL","NULL",," "," in-hospital mortality.",1.27,"1.07","1.5","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"35348610_6_OR","35348610","duration of ventilation",,"NULL","NULL",," "," in-hospital mortality.",1.74,"1.07","2.83","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"35348610_8_OR","35348610","total bilirubin at cannulation",,"NULL","NULL",," compared to less than 1.2 mg/dl;"," in-hospital mortality.",2.65,"1.09","6.5","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"35581612_4_OR","35581612","nmba treatment",,"NULL","NULL",," "," 90-day mortality and ventilator free days.",0.82,"0.67","1","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"35581612_5_OR","35581612","nmba treatment,",,"NULL","NULL",," "," 90-day mortality and ventilator free days.",0.86,"0.69","1.07","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"35581612_3_OR","35581612","smoking habit and critical therapeutic covariates,",,"NULL","NULL",," "," ventilator free days were",1.07,"0.72","1.61","hazard ratio (HR)","p = 0.177",,,1,"vacNemus2","2024-03-08"
,"35635576_3_OR","35635576","us-guided injection",,"NULL","NULL",," compared to LM-based injection."," adverse event rate",0.32,"0.21","0.49","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35700193_2_OR","35700193","smoking status,",,"NULL","NULL",," "," medication  antibiotics",3.39,"2.43","4.73","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35718533_1_OR","35718533","experimental group",,"NULL","NULL",," "," mcv, and average blood glucose of ,",1.23,"1.11","1.37","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35768548_24_OR","35768548","cognitive dysfunction",,"NULL","NULL",," outpatient controls,"," cognitive dysfunction",1.18,"1.04","1.33","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35768548_16_OR","35768548","cognitive dysfunctions",,"NULL","NULL",," Compared to inpatient controls,"," cognitive dysfunction",1.18,"1.07","1.3","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35768548_15_OR","35768548","cognitive dysfunctions",,"NULL","NULL",," Compared to inpatient controls,"," cognitive dysfunctions",1.18,"1.07","1.31","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35768548_21_OR","35768548","vitamin d deficiency",,"NULL","NULL",," outpatient controls,"," relative to outpatient controls,",1.19,"1.09","1.3","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35768548_14_OR","35768548","heart failure",,"NULL","NULL",," Compared to inpatient controls,"," heart failure",1.22,"1.1","1.35","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35768548_20_OR","35768548","type 2 diabetes",,"NULL","NULL",," outpatient controls,"," relative to outpatient controls,",1.26,"1.16","1.36","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35768548_18_OR","35768548","venous embolism",,"NULL","NULL",," outpatient controls,"," venous embolism",1.34,"1.17","1.54","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35768548_13_OR","35768548","vitamin d deficiency",,"NULL","NULL",," Compared to inpatient controls,"," angina pectoris",1.3,"1.09","1.55","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35768548_19_OR","35768548","atrial fibrillation",,"NULL","NULL",," outpatient controls,"," atrial fibrillation",1.3,"1.13","1.5","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35768548_23_OR","35768548","inflammatory neuropathy",,"NULL","NULL",," outpatient controls,"," inflammatory neuropathy",1.66,"1.21","2.27","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35768548_17_OR","35768548","outpatient covid-19 cases",,"NULL","NULL",," outpatient controls,"," pulmonary embolism",2.1,"1.58","2.76","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35768548_22_OR","35768548","loss of smell and taste",,"NULL","NULL",," outpatient controls,"," loss of smell and taste",2.42,"1.9","3.06","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35786753_3_OR","35786753","late enteral nutrition and cardiovascular comorbidities",,"NULL","NULL",," "," higher hospital mortality",6.3,"1.15","34.4","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35786753_2_OR","35786753","late enteral nutrition and cardiovascular comorbidities",,"NULL","NULL",," "," higher hospital mortality",9,"2.25","35.99","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35786753_1_OR","35786753","late enteral nutrition and cardiovascular comorbidities",,"NULL","NULL",," "," higher hospital mortality",9,"2.25","35.996","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35842675_4_OR","35842675","acute ischemic stroke",,"NULL","NULL",," "," poor outcome",3.9,"1.9","8.2","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35842675_3_OR","35842675","intracerebral hemorrhage",,"NULL","NULL",," "," poor outcome",6.2,"2.5","14.9","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35844810_1_OR","35844810","sugammadex and neostigmine",,"NULL","NULL",," "," postoperative pulmonary complications",5,"0.22","113","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"35913973_22_OR","35913973","palliative care",,"NULL","NULL",," "," lower chance of mobility improvement,",0.05,"0.01","0.16","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35913973_19_OR","35913973","use of extracorporeal membrane oxygenation",,"NULL","NULL",," "," lower chance of mobility improvement,",0.21,"0.05","0.8","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35913973_21_OR","35913973","higher perme score at admission",,"NULL","NULL",," "," higher chance of mobility improvement.",0.35,"0.28","0.43","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35913973_17_OR","35913973","use of mechanical ventilation",,"NULL","NULL",," "," higher chance of mobility improvement.",0.41,"0.17","0.99","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35913973_14_OR","35913973","frailty",,"NULL","NULL",," "," improvement of mobility level",0.52,"0.29","0.94","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35913973_20_OR","35913973","neuromuscular blockade",,"NULL","NULL",," "," lower chance of mobility improvement,",0.53,"0.3","0.95","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35913973_18_OR","35913973","tracheostomy",,"NULL","NULL",," "," lower chance of mobility improvement,",0.54,"0.3","0.95","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35913973_16_OR","35913973","sofa score",,"NULL","NULL",," "," lower chance of mobility improvement,",0.58,"0.43","0.78","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35913973_15_OR","35913973","saps iii score",,"NULL","NULL",," "," lower chance of mobility improvement,",0.75,"0.57","0.99","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"35913973_23_OR","35913973","longer intensive care unit stay",,"NULL","NULL",," "," lower chance of mobility improvement,",0.79,"0.61","0.97","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
