"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","pValue","exp2","adjustment","fromCode","projectName","uploadDate"
,"11059562_4_OR","11059562","toenail selenium level",,"NULL","NULL",,"nonsmoker","colon cancer",0.42,0.19,0.93,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11059562_1_OR","11059562","toenail selenium",,"NULL","NULL",,"breast","cancer",0.72,0.4,1.31,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11059562_3_OR","11059562","toenail selenium",,"NULL","NULL",,"breast","cancer",1.14,0.46,2.83,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11251985_3_OR","11251985","smoking habits",,"NULL","NULL",,"ex","progesterone receptor-negative tumours",1.61,1.07,2.41,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11251985_4_OR","11251985","smoking habits",,"NULL","NULL",,"never-smokers","tumours",2.03,1.17,3.54,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11251985_1_OR","11251985","smoking habits",,"NULL","NULL",,"current smokers","oestrogen receptor-negative tumours",2.21,1.23,3.96,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11289249_5_OR","11289249","smokeless tobacco use",,"NULL","NULL",,"smokeless tobacco","breast cancer",1.72,0.19,15.2,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11289249_1_OR","11289249","smokeless tobacco use",,"NULL","NULL",,"smokeless tobacco","breast cancer",7.79,1.05,66,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11289249_4_OR","11289249","smokeless tobacco use",,"NULL","NULL",,"smokeless tobacco","breast cancer",8.49,0.09,200,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11291049_3_OR","11291049","cyp1a1",,"NULL","NULL",,"smokers","breast cancer",2.6,0.8,8.2,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11291049_1_OR","11291049","cyp1a1",,"NULL","NULL",,"women","breast cancer",3.3,1.1,9.7,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11291049_2_OR","11291049","cyp1a1",,"NULL","NULL",,"post-menopausal women","breast cancer",4,1.2,13.8,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11291049_4_OR","11291049","cyp1a1",,"NULL","NULL",,"women","breast cancer",4.4,1,18.9,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11714107_3_OR","11714107","passive smoking",,"NULL","NULL",,"nonsmoking women","lung cancer",0.58,0.34,0.99,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11714107_1_OR","11714107","passive smoking",,"NULL","NULL",,"smoking husbands","cancer",1.7,0.94,2.9,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11731429_3_OR","11731429","smoking",,"NULL","NULL",,"breast cancer","breast cancer",3.11,1.72,5.64,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11731429_7_OR","11731429","alcohol drinkers",,"NULL","NULL",,"alcohol drinkers","breast cancer",4.64,1.7,12.7,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11731429_5_OR","11731429","smoking",,"NULL","NULL",,"smoking","breast cancer",4.79,1.87,12.3,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11731429_6_OR","11731429","smokers",,"NULL","NULL",,"smokers","breast cancer",5.55,1.85,16.6,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11731429_8_OR","11731429","smoking",,"NULL","NULL",,"smoking","breast cancer",8.01,1.16,55.3,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11992421_2_OR","11992421","cigarette smoking",,"NULL","NULL",,"smoking","colorectal cancer",3.14,1.33,7.42,"hazard ratio (HR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12150456_3_OR","12150456","cigarette smoking",,"NULL","NULL",,"postmenopausal breast cancer","breast cancer",1.3,0.4,4.1,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12150456_1_OR","12150456","cigarette smoking",,"NULL","NULL",,"postmenopausal breast cancer","breast cancer",2.5,1.1,5.4,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12150456_2_OR","12150456","cigarette smoking",,"NULL","NULL",,"postmenopausal breast cancer","breast cancer",4.4,1.5,12.8,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12183419_5_OR","12183419","smoking",,"NULL","NULL",,"obesity","pancreatic cancer",1.5,0.68,3.2,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12183419_4_OR","12183419","smoking",,"NULL","NULL",,"obesity","pancreatic cancer",2.2,0.73,6.4,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12183419_3_OR","12183419","smoking",,"NULL","NULL",,"smoking and obesity","pancreatic cancer",2.4,1.1,5,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12183419_2_OR","12183419","smoking",,"NULL","NULL",,"smoking","pancreatic cancer",7,2.4,21,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12243511_1_OR","12243511","cigarette smoking",,"NULL","NULL",,"cigarette smoking","breast cancer",0.72,0.55,0.95,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12243511_3_OR","12243511","cigarette smoking",,"NULL","NULL",,"cigarette smoking","breast cancer",0.85,0.63,1.1,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12296511_1_OR","12296511","cigarette smoking",,"NULL","NULL",,"postmenopausal women","breast cancer",1.9,1.2,2.9,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12296511_2_OR","12296511","cigarette smoking",,"NULL","NULL",,"breast cancer","breast cancer",2.9,1,8.8,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12439712_5_OR","12439712","alcohol",,"NULL","NULL",,"alcohol","breast cancer",0.99,0.92,1.05,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12439712_3_OR","12439712","alcohol",,"NULL","NULL",,"smoking","breast cancer",1.03,0.98,1.07,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12439712_1_OR","12439712","alcohol",,"NULL","NULL",,"alcohol","breast cancer",1.32,1.19,1.45,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12439712_2_OR","12439712","alcohol",,"NULL","NULL",,"alcohol","breast cancer",7.1,5.5,8.7,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12835615_1_OR","12835615","smoking",,"NULL","NULL",,"postmenopausal breast cancer","breast cancer",2.17,1.04,4.51,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12835615_3_OR","12835615","slow acetylator genotype",,"NULL","NULL",,"postmenopausal breast cancer","breast cancer",2.29,1.06,4.95,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12835615_5_OR","12835615","long duration",,"NULL","NULL",,"postmenopausal breast cancer","breast cancer",2.53,1.24,5.16,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12835615_4_OR","12835615","gstm1 null genotype combined with high levels of cigarette smoking",,"NULL","NULL",,"postmenopausal breast cancer","breast cancer",3,1.46,6.15,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12835615_6_OR","12835615","smoking",,"NULL","NULL",,"postmenopausal women","breast cancer",6.78,2.31,19.89,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"12946045_1_OR","12946045","smoking",,"NULL","NULL",,"smoking","breast cancer",1,0.81,1.2,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"14709736_3_OR","14709736","active smoking",,"NULL","NULL",,"never smokers","breast cancer",1.25,1.02,1.53,"hazard ratio (HR)",,,,1,"projTutoBreastCan","2024-02-02"
,"14709736_1_OR","14709736","active smoking",,"NULL","NULL",,"never smokers","breast cancer",1.32,1.1,1.57,"hazard ratio (HR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15122595_1_OR","15122595","passive smoking",,"NULL","NULL",,"breast cancer","breast cancer",1.6,1,2.4,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15217514_3_OR","15217514","smoking",,"NULL","NULL",,"smoking","breast cancer",1.2,0.9,1.6,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15217514_5_OR","15217514","smoking",,"NULL","NULL",,"smoking","breast cancer",1.3,0.8,2.2,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15217514_1_OR","15217514","smoking",,"NULL","NULL",,"smoking","breast cancer",2.1,1.2,3.5,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15217514_4_OR","15217514","smoking",,"NULL","NULL",,"smoking","breast cancer",2.5,0.9,7.1,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15225898_3_OR","15225898","smoking",,"NULL","NULL",,"slow acetylator genotype","breast cancer",2,0.7,5.8,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15292387_3_OR","15292387","serum high",,"NULL","NULL",,"heavier","breast cancer",0.75,0.58,0.97,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15325878_1_OR","15325878","environmental tobacco smoke",,"NULL","NULL",,"nonsmokers","breast cancer",1.15,0.9,1.48,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15325878_5_OR","15325878","environmental tobacco smoke",,"NULL","NULL",,"nonsmokers","breast cancer",1.42,1,2,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15325878_4_OR","15325878","environmental tobacco smoke",,"NULL","NULL",,"nonsmokers","breast cancer",27,2.1,95,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15540214_7_OR","15540214","passive smoking",,"NULL","NULL",,"premenopausal women","breast cancer",0.7,0.4,1,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15540214_4_OR","15540214","passive smoking",,"NULL","NULL",,"premenopausal women","breast cancer",1.1,0.5,2.5,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15540214_5_OR","15540214","passive smoking",,"NULL","NULL",,"never","breast cancer",1.1,0.8,1.6,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15540214_2_OR","15540214","passive smoking",,"NULL","NULL",,"premenopausal women","breast cancer",1.9,1,3.6,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15540214_6_OR","15540214","passive smoking",,"NULL","NULL",,"never","breast cancer",2.6,1.3,5.2,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15540214_3_OR","15540214","passive smoking",,"NULL","NULL",,"premenopausal women","breast cancer",3.9,1.5,9.9,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15583688_4_OR","15583688","tobacco smoke",,"NULL","NULL",,"breast cancer","breast cancer",1.24,1,1.5,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15583688_3_OR","15583688","nonmelanocytic skin cancer",,"NULL","NULL",,"nonmelanocytic skin cancer","malignant melanoma",1.25,1.1,1.4,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15583688_2_OR","15583688","tobacco smoke",,"NULL","NULL",,"malignant melanoma","malignant melanoma",1.95,1.4,2.6,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15609332_1_OR","15609332","smoking habits",,"NULL","NULL",,"smoking","breast cancer",1.32,1.01,1.73,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15609332_5_OR","15609332","smoking habits",,"NULL","NULL",,"breast cancer","breast cancer",1.6,1.07,2.39,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15609332_4_OR","15609332","smoking habits",,"NULL","NULL",,"smoking","breast cancer",2.55,1.01,6.48,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15609332_3_OR","15609332","smoking habits",,"NULL","NULL",,"breast cancer","breast cancer",2.6,1.29,5.24,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15668477_5_OR","15668477","smoking",,"NULL","NULL",,"smoking","breast cancer",1.27,1,1.62,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15668477_3_OR","15668477","smoking",,"NULL","NULL",,"women who start smoking","breast cancer",1.34,1.06,1.7,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15668477_6_OR","15668477","smoking",,"NULL","NULL",,"smoking","breast cancer",1.39,1.03,1.87,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15668477_7_OR","15668477","smoking",,"NULL","NULL",,"breast cancer","breast cancer",1.48,1.03,2.13,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15668477_1_OR","15668477","smoking",,"NULL","NULL",,"smoking","breast cancer",20,0.1,240,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"15824550_1_OR","15824550","fetal exposure",,"NULL","NULL",,"fetal exposure","breast cancer",0.49,0.24,1.03,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16049807_1_OR","16049807","secondhand smoke exposure",,"NULL","NULL",,"premenopausal","breast cancer",1.17,0.54,2.56,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16049807_4_OR","16049807","secondhand smoke exposure",,"NULL","NULL",,"postmenopausal","breast cancer",1.29,0.82,2.01,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16234513_2_OR","16234513","ionizing radiation",,"NULL","NULL",,"lung cancer","lung cancer",10,2.04,95,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16234513_4_OR","16234513","ionizing radiation",,"NULL","NULL",,"lung cancer","lung cancer",2.04,1.24,3.36,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16234513_6_OR","16234513","radiotherapy",,"NULL","NULL",,"smokers","lung cancer",3.08,1.61,5.91,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16234513_5_OR","16234513","ionizing radiation",,"NULL","NULL",,"squamous cell carcinoma","lung cancer",4,1.5,10.66,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16280050_4_OR","16280050","tobacco smoking",,"NULL","NULL",,"smoking women","breast cancer",1.54,1,2.41,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16280050_2_OR","16280050","tobacco smoking",,"NULL","NULL",,"smoking women","breast cancer",2.33,1.3,4.19,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16280050_3_OR","16280050","xpd",,"NULL","NULL",,"smoking women","breast cancer",2.52,1.27,5.03,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16614098_1_OR","16614098","smoking",,"NULL","NULL",,"postmenopausal women","breast cancer",1.2,1,1.5,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16614098_3_OR","16614098","smoking",,"NULL","NULL",,"postmenopausal women","breast cancer",2.4,1.7,3.3,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16624829_1_OR","16624829","cruciferous vegetable consumption",,"NULL","NULL",,"cruciferous vegetable consumption","breast cancer",1.73,1.1,2.72,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16624829_2_OR","16624829","smoking status",,"NULL","NULL",,"current smokers","breast cancer",1.89,1.09,3.25,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16721725_1_OR","16721725","tobacco smoking",,"NULL","NULL",,"breast cancer","breast cancer",1.11,0.85,1.46,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16721725_2_OR","16721725","smoking",,"NULL","NULL",,"younger than 45 years of age","breast cancer",1.95,1.38,2.76,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16755290_3_OR","16755290","tamoxifen",,"NULL","NULL",,"non","non-cardia gastric adenocarcinoma",1.27,1.03,1.57,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16755290_2_OR","16755290","tamoxifen",,"NULL","NULL",,"breast cancer","cardia adenocarcinoma",1.6,0.83,3.08,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16755290_4_OR","16755290","tamoxifen",,"NULL","NULL",,"breast cancer","breast cancer",1.86,1.1,3.14,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"16788160_1_OR","16788160","cadmium",,"NULL","NULL",,"cadmium exposure and breast cancer","breast cancer",2.29,1.3,4.2,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17050342_1_OR","17050342","environmental tobacco smoke",,"NULL","NULL",,"nonsmoking women","breast cancer",1.12,1.02,1.24,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17050342_4_OR","17050342","premenopausal women",,"NULL","NULL",,"premenopausal women","breast cancer",1.54,1.16,2.05,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17050342_5_OR","17050342","environmental tobacco smoke",,"NULL","NULL",,"premenopausal women","breast cancer",1.54,1.17,2.04,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17063266_2_OR","17063266","smoking",,"NULL","NULL",,"ever smokers","breast cancer",1.52,1.03,2.24,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17063266_3_OR","17063266","smoking",,"NULL","NULL",,"ever smokers","breast cancer",2.46,1.11,5.45,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17063266_1_OR","17063266","smoking",,"NULL","NULL",,"ever smokers","breast cancer",2.6,1.07,6.46,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17259657_2_OR","17259657","smoking",,"NULL","NULL",,"smoking","breast cancer",0.67,0.45,0.99,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17259657_3_OR","17259657","smoking",,"NULL","NULL",,"smoking","breast cancer",1.59,1.05,2.41,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17259657_4_OR","17259657","cigarette smoking",,"NULL","NULL",,"smoking","breast cancer",2.19,1.21,3.97,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17268706_3_OR","17268706","smoking",,"NULL","NULL",,"smoking","breast cancer",1.25,1.11,1.41,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17268706_4_OR","17268706","smoking",,"NULL","NULL",,"smoking","breast cancer",1.3,1.17,1.45,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17268706_1_OR","17268706","smoking",,"NULL","NULL",,"non-smokers","breast cancer",1.38,1.16,1.65,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17395485_1_OR","17395485","active smokers",,"NULL","NULL",,"smokers","cause mortality",1.23,0.83,1.84,"hazard ratio (HR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17395485_4_OR","17395485","smoking",,"NULL","NULL",,"smokers","mortality",1.45,0.78,2.7,"hazard ratio (HR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17395485_3_OR","17395485","postmenopausal",,"NULL","NULL",,"postmenopausal","cause mortality",1.64,1.03,2.6,"hazard ratio (HR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17395485_6_OR","17395485","smoking",,"NULL","NULL",,"smokers","mortality",1.97,0.89,4.36,"hazard ratio (HR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17395485_5_OR","17395485","smoking",,"NULL","NULL",,"postmenopausal","mortality",2.1,1.03,4.27,"hazard ratio (HR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17426039_1_OR","17426039","smoking cigarettes",,"NULL","NULL",,"smoking cigarettes","breast cancer",1.03,1.02,1.05,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17549370_3_OR","17549370","smoking",,"NULL","NULL",,"smoking","breast carcinoma",1.28,0.23,7.17,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17549370_4_OR","17549370","smoking",,"NULL","NULL",,"smoking","breast carcinoma",1.58,0.28,10.44,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17549370_2_OR","17549370","smoking or high body mass index",,"NULL","NULL",,"breast cancer","breast carcinoma",2.5,0.55,11.41,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17549370_1_OR","17549370","smoking or high body mass index",,"NULL","NULL",,"bmi","breast carcinoma",3.65,0.94,14.2,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17594514_1_OR","17594514","smoking",,"NULL","NULL",,"breast cancer","breast cancer",1.6,1.1,2.4,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17594514_2_OR","17594514","smoking",,"NULL","NULL",,"hai","breast cancer",1.9,1.1,3.1,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17594514_3_OR","17594514","smoking",,"NULL","NULL",,"hai","breast cancer",2.3,1.2,4.5,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17594514_4_OR","17594514","smoking",,"NULL","NULL",,"breast cancer","breast cancer",4.4,1.5,12.8,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17601487_1_OR","17601487","metabolic genotypes",,"NULL","NULL",,"breast cancer","hair coloring products",11.2,1.1,109.2,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17701750_4_OR","17701750","age",,"NULL","NULL",,"postmenopausal women","breast cancer",1.48,0.82,2.69,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17701750_2_OR","17701750","carrier status",,"NULL","NULL",,"breast cancer","breast cancer",1.58,1.02,2.44,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17701750_3_OR","17701750","age",,"NULL","NULL",,"postmenopausal women","breast cancer",1.82,0.95,3.51,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17922186_2_OR","17922186","menopausal status",,"NULL","NULL",,"homozygous carriers","breast cancer",0.6,0.38,0.94,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17922186_6_OR","17922186","homozygous",,"NULL","NULL",,"postmenopausal women","breast cancer",1.88,1.26,2.82,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17922186_1_OR","17922186","polymorphisms",,"NULL","NULL",,"postmenopausal women","breast cancer",1,0.6,95,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17922186_4_OR","17922186","menopausal status",,"NULL","NULL",,"postmenopausal women","breast cancer",2.05,1.14,3.69,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17922186_5_OR","17922186","wild type",,"NULL","NULL",,"breast cancer","breast cancer",2.56,1.28,5.15,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17972172_1_OR","17972172","smoking",,"NULL","NULL",,"brca1 carriers","breast cancer",2.3,1.6,3.5,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"17987912_2_OR","17987912","racial",,"NULL","NULL",,"cancer mortality","cancer mortality",1,0.199,19941,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"18182169_1_OR","18182169","spousal exposure",,"NULL","NULL",,"premenopausal","breast cancer",1.68,1.33,2.12,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"18403857_3_OR","18403857","active smoking",,"NULL","NULL",,"current smokers","breast cancer",0.67,0.32,1.38,"hazard ratio (HR)",,,,1,"projTutoBreastCan","2024-02-02"
,"18403857_4_OR","18403857","active smoking",,"NULL","NULL",,"cigarette smoking","breast cancer",1.24,0.84,1.85,"hazard ratio (HR)",,,,1,"projTutoBreastCan","2024-02-02"
