"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","pValue","exp2","adjustment","fromCode","projectName","uploadDate"
,"12042580_10_OR","12042580","zinc supplementation",,"NULL","NULL",,"placebo","recurrent diarrhea","0.51","0.36","0.73","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"12042580_5_OR","12042580","zinc supplementation",,"NULL","NULL",,"placebo","diarrhea","0.69","0.48","0.98","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12042580_11_OR","12042580","zinc supplementation",,"NULL","NULL",,"placebo","severe diarrheal morbidity","0.74","0.43","1.27","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"12042580_8_OR","12042580","zinc supplementation",,"NULL","NULL",,"zinc","severe diarrheal morbidity","0.77","0.63","0.94","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12042580_4_OR","12042580","zinc",,"NULL","NULL",,"placebo","diarrhea","0.79","0.65","0.95","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12042580_7_OR","12042580","zinc supplementation",,"NULL","NULL",,"zinc","diarrheal morbidity","0.87","0.77","0.98","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12042580_1_OR","12042580","zinc",,"NULL","NULL",,"placebo","diarrhea","0.88","0.82","0.95","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12042580_6_OR","12042580","zinc",,"NULL","NULL",,"stool frequency","diarrhea","0.9","0.83","0.98","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12042580_3_OR","12042580","zinc",,"NULL","NULL",,"placebo","diarrhea","0.92","0.85","1","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12042580_9_OR","12042580","zinc supplementation",,"NULL","NULL",,"zinc","diarrheal morbidity","1.22","1.02","1.44","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"12045800_4_OR","12045800","family stress factors",,"NULL","NULL",,"family stress factors","malnutrition","2.1","1.2","3.9","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12045800_1_OR","12045800","adverse familial structure",,"NULL","NULL",,"single parenting","malnutrition","2.2","1.1","4.5","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12045800_3_OR","12045800","poor mental health",,"NULL","NULL",,"poor mental health , determined by the presence of 3 to 4 symptoms of depression","hospitalization","3.1","0.9","10.3","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12045800_2_OR","12045800","hospitalization",,"NULL","NULL",,"hospitalization","hospitalization","3.5","1.6","7.7","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12358616_2_OR","12358616","recent health expenditure",,"NULL","NULL",,"recent health expenditure","severe anaemia","2.2","1.3","3.9","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12358616_3_OR","12358616","malnutrition",,"NULL","NULL",,"malnutrition","increased recent health expenditure","2.4","1.3","4.3","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12358616_4_OR","12358616","malnutrition",,"NULL","NULL",,"malnutrition","risk of being admitte","3","1.9","4.9","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12358616_5_OR","12358616","previous blood transfusion",,"NULL","NULL",,"previous blood transfusion","severe anaemia","3.8","1.7","9.1","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12358616_1_OR","12358616","plasmodium falciparum parasitaemia",,"NULL","NULL",,"plasmodium falciparum parasitaemia","severe anaemia","4.3","2.9","6.5","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12358616_6_OR","12358616","falciparum parasitaemia",,"NULL","NULL",,"falciparum parasitaemia","severe anaemia","9.5","4.3","21.3","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12488940_3_OR","12488940","mortality",,"NULL","NULL",,"mortality","mortality","1.86","1.65","2.1","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"12488940_4_OR","12488940","malnutrition",,"NULL","NULL",,"mortality","mortality","2.98","2.64","3.36","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"12654069_5_OR","12654069","overcrowded house",,"NULL","NULL",,"stunting","stunting","1.03","0.86","1.25","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12654069_1_OR","12654069","illiterate",,"NULL","NULL",,"mothers","stunting","1.27","1.11","1.61","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12654069_3_OR","12654069","fathers who earn","lower than","NULL","NULL",,"fathers","stunting","1.35","1.12","1.66","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"12654069_4_OR","12654069","overcrowded house",,"NULL","NULL",,"overcrowded house","stunting","1.44","1.18","1.75","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"14629321_1_OR","14629321","small size",,"NULL","NULL",,"severe underweight","severe underweight","1.8","0.9","3.4","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"14647825_3_OR","14647825","unaccomplished hospital procedures",,"NULL","NULL",,"unaccomplished hospital procedures","deaths","10.08","3.55","20.59","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"14647825_2_OR","14647825","general status",,"NULL","NULL",,"general status","deaths","10.94","4.91","24.34","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"14647825_1_OR","14647825","delayed immunization",,"NULL","NULL",,"delayed immunization","deaths","2.48","1.17","5.23","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"14647825_4_OR","14647825","malnutrition",,"NULL","NULL",,"malnutrition","postneonatal infant mortality","3.58","1.42","9.07","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15022886_11_OR","15022886","transient tachypnea",,"NULL","NULL",,"transient tachypnea","mortality","0.021","0","0.15","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15022886_9_OR","15022886","high maternal educational level",,"NULL","NULL",,"high maternal educational level","mortality","0.11","0.01","0.66","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15022886_10_OR","15022886","intrauterine malnutrition",,"NULL","NULL",,"intrauterine malnutrition","mortality","0.39","0.18","0.84","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15022886_4_OR","15022886","respiratory distress syndrome",,"NULL","NULL",,"respiratory distress syndrome","mortality","23.68","3.31","4780","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15022886_7_OR","15022886","acute renal failure",,"NULL","NULL",,"acute renal failure","mortality","26.13","5.21","177","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15022886_5_OR","15022886","mechanic ventilation",,"NULL","NULL",,"mechanic ventilation","eclampsia","334","42.63","7084","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15022886_1_OR","15022886","eclampsia",,"NULL","NULL",,"eclampsia","mortality","4.25","1.76","10.39","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15022886_3_OR","15022886","general anesthesia",,"NULL","NULL",,"general anesthesia","mortality","5.32","1.74","16.51","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15022886_6_OR","15022886","peri-intraventricular hemorrhage",,"NULL","NULL",,"peri-intraventricular hemorrhage","mortality","64.57","8.36","1361","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15022886_2_OR","15022886","placental detachment",,"NULL","NULL",,"placental detachment","mortality","8.13","2.29","31.4","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15022886_8_OR","15022886","pulmonary hemorrhage",,"NULL","NULL",,"pulmonary hemorrhage","acute renal failure","8.4","2.71","27.11","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15033840_8_OR","15033840","low maternal intelligence",,"NULL","NULL",,"low maternal intelligence","malnutrition","2.7","2.5","6.8","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15033840_4_OR","15033840","low birth weight",,"NULL","NULL",,"low birth weight","malnutrition","2.9","1.2","6.8","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15033840_6_OR","15033840","current major depression",,"NULL","NULL",,"current major depression","malnutrition","3.1","0.9","9.7","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15033840_2_OR","15033840","maternal depression",,"NULL","NULL",,"current major depression","malnutrition","3.2","1.1","9.5","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15033840_3_OR","15033840","low maternal intelligence",,"NULL","NULL",,"low maternal intelligence","malnutrition","3.8","1.3","11.1","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15033840_7_OR","15033840","low maternal intelligence",,"NULL","NULL",,"low maternal intelligence","malnutrition","4.6","1.5","14.1","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15033840_1_OR","15033840","maternal depression",,"NULL","NULL",,"postpartum maternal depression","malnutrition","5","1","24","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15033840_5_OR","15033840","maternal depression",,"NULL","NULL",,"postpartum period","malnutrition","7.8","1.6","38.51","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15351773_3_OR","15351773","depression",,"NULL","NULL",,"maternal depression","diarrheal episodes","5","2.4","95","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"15771691_3_OR","15771691","existence of a weaning food",,"NULL","NULL",,"gender","low kaup index","0.35","0.26","0.46","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15771691_1_OR","15771691","gender",,"NULL","NULL",,"gender","low","1.42","1.07","1.88","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15771691_4_OR","15771691","malnutrition",,"NULL","NULL",,"malnutrition","malnutrition","1.82","1.16","2.89","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15771691_5_OR","15771691","positiveness to information on better nutrition",,"NULL","NULL",,"gender","malnutrition","2.97","1.07","8.18","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15771691_6_OR","15771691","child-rearing plan between parents",,"NULL","NULL",,"parents","low kaup index","3.15","1.12","4.11","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15771691_7_OR","15771691","doctor",,"NULL","NULL",,"rural","low kaup index","3.17","1.22","8.22","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"15962666_1_OR","15962666","inadequate complementary food",,"NULL","NULL",,"infant malnutrition","infant malnutrition","4.7","1.1","21.9","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"16235306_3_OR","16235306","tetanus toxoid",,"NULL","NULL",,"infants","deaths","0.02","0","0.3","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"16235306_4_OR","16235306","tetanus toxoid",,"NULL","NULL",,"neonatal tetanus","deaths","0.2","0.1","0.4","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"16235306_6_OR","16235306","women of childbearing age",,"NULL","NULL",,"women","mortality","0.38","0.27","0.55","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"16235306_1_OR","16235306","tetanus toxoid",,"NULL","NULL",,"pregnant women","deaths","0.57","0.26","1.24","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"16235306_5_OR","16235306","tetanus toxoid",,"NULL","NULL",,"women to prevent neonatal tetanus","neonatal mortality","0.68","0.56","0.82","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"16240669_1_OR","16240669","malnutrition",,"NULL","NULL",,"malnutrition","pregnancy complications","1.4","0.9","3.5","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"17212837_4_OR","17212837","paternal smoking",,"NULL","NULL",,"stunting","child stunting","1.09","1.04","1.15","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17212837_1_OR","17212837","paternal smoking",,"NULL","NULL",,"paternal smoking","child malnutrition","1.11","1.08","1.14","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17212837_3_OR","17212837","paternal smoking",,"NULL","NULL",,"severe wasting","severe wasting","1.17","1.03","1.33","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17453566_1_OR","17453566","hiv infection",,"NULL","NULL",,"hiv infection in hospitalized children","hiv seropositivity","9.1","2.5","32.8","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17643499_5_OR","17643499","high number of people in a household",,"NULL","NULL",,"low social class","low social class","0.59","0.34","0.98","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17643499_4_OR","17643499","indoor-cooking",,"NULL","NULL",,"indoor","low social class","1.35","0.88","2.1","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17643499_8_OR","17643499","low socioeconomic class",,"NULL","NULL",,"indoor","low social status","2.34","1.18","4.66","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17643499_3_OR","17643499","bottlefeeding",,"NULL","NULL",,"bottlefeeding","low social class","2.93","1.63","5.28","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17643499_6_OR","17643499","malnutrition",,"NULL","NULL",,"malnutrition","low social status","3.48","1.633","7.425","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17643499_2_OR","17643499","malnutrition",,"NULL","NULL",,"malnutrition","low social class","3.57","1.88","6.76","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17643499_1_OR","17643499","low social class",,"NULL","NULL",,"low social class","malnutrition","7.33","4.18","12.83","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17643499_7_OR","17643499","low social status",,"NULL","NULL",,"low social status","malnutrition","7.74","4.15","14.43","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17651519_1_OR","17651519","trichuris infection",,"NULL","NULL",,"malnutrition","wasting","2.5","1.06","5.93","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17651519_5_OR","17651519","maternal education",,"NULL","NULL",,"maternal education","malnutrition","2.92","1.4","6.12","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17651519_4_OR","17651519","moderate-high intensity trichuris infection",,"NULL","NULL",,"trichuris infection","underweight","4.74","1.99","11.32","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17651519_3_OR","17651519","maternal education",,"NULL","NULL",,"maternal education","wasting","5.77","2.38","13.99","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17651519_2_OR","17651519","hookworm infection",,"NULL","NULL",,"hookworm infection","wasting","6.67","1.08","41.05","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17664060_4_OR","17664060","parental tobacco use",,"NULL","NULL",,"wasting","stunting","1.1","1.03","1.17","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17664060_7_OR","17664060","parental tobacco use",,"NULL","NULL",,"malnutrition","malnutrition","1.14","0.98","1.32","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17664060_5_OR","17664060","parental tobacco use",,"NULL","NULL",,"stunting","stunting","1.16","1.1","1.23","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17664060_1_OR","17664060","parental tobacco use",,"NULL","NULL",,"underweight","stunting","1.17","1.12","1.21","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17664060_3_OR","17664060","parental tobacco use",,"NULL","NULL",,"underweight","stunting","1.17","1.12","1.22","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17664060_6_OR","17664060","parental tobacco use",,"NULL","NULL",,"parental tobacco use","stunting","1.21","1.13","1.3","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17676510_7_OR","17676510","state child support grant",,"NULL","NULL",,"child support grant","severe childhood malnutrition","0.44","0.2","0.97","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17676510_6_OR","17676510","diverse food intake",,"NULL","NULL",,"diverse food intake","severe childhood malnutrition","0.53","0.41","0.67","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17676510_8_OR","17676510","family wealth",,"NULL","NULL",,"family wealth","severe childhood malnutrition","0.9","0.83","1","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17676510_5_OR","17676510","higher birth order",,"NULL","NULL",,"higher birth order","severe childhood malnutrition","2.3","1","5.1","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17676510_4_OR","17676510","male sex",,"NULL","NULL",,"severe childhood malnutrition","severe childhood malnutrition","2.7","1.2","6","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17676510_1_OR","17676510","suspicion of hiv",,"NULL","NULL",,"severe childhood malnutrition","severe childhood malnutrition","217.7","22.7","2091.3","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17676510_2_OR","17676510","poor weaning practices",,"NULL","NULL",,"severe childhood malnutrition","severe childhood malnutrition","3","2","4.6","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17676510_10_OR","17676510","pulmonary tuberculosis contact",,"NULL","NULL",,"pulmonary tuberculosis contact","severe childhood malnutrition","3.2","0.9","11","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17676510_9_OR","17676510","father smoking marijuana",,"NULL","NULL",,"father smoking marijuana","severe childhood malnutrition","3.9","1.1","14.5","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17676510_3_OR","17676510","parental death",,"NULL","NULL",,"parental death","severe childhood malnutrition","38","3.8","385.3","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"17956509_3_OR","17956509","severe pneumonia",,"NULL","NULL",,"severe pneumonia","mortality","12.9","3","56.4","hazard ratio (HR)",,,,1,"projTutoNutrition","2023-12-28"
,"17956509_2_OR","17956509","malnutrition",,"NULL","NULL",,"malnutrition","mortality","15.5","6.1","39.8","hazard ratio (HR)",,,,1,"projTutoNutrition","2023-12-28"
,"17956509_4_OR","17956509","anaemia",,"NULL","NULL",,"anaemia","mortality","3.3","1.5","7.2","hazard ratio (HR)",,,,1,"projTutoNutrition","2023-12-28"
,"17956509_1_OR","17956509","age",,"NULL","NULL",,"sick children","mortality","4.4","1.5","12.6","hazard ratio (HR)",,,,1,"projTutoNutrition","2023-12-28"
,"18043314_1_OR","18043314","advanced maternal hiv disease",,"NULL","NULL",,"advanced maternal hiv disease","child mortality","1.74","1.32","2.3","hazard ratio (HR)",,,,1,"projTutoNutrition","2023-12-28"
,"18043314_3_OR","18043314","low maternal hemoglobin concentration",,"NULL","NULL",,"mortality","mortality","2","1.36","2.94","hazard ratio (HR)",,,,1,"projTutoNutrition","2023-12-28"
,"18206226_1_OR","18206226","low birthweight",,"NULL","NULL",,"low birthweight","micronutrient interventions","0.84","0.74","0.95","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
,"18218806_1_OR","18218806","paternal smoking",,"NULL","NULL",,"underweight","underweight","1.03","1.01","1.05","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"18218806_4_OR","18218806","paternal smoking",,"NULL","NULL",,"severe underweight","severe underweight","1.06","1.01","1.1","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"18218806_3_OR","18218806","paternal smoking",,"NULL","NULL",,"stunting","stunting","1.11","1.09","1.13","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"18218806_5_OR","18218806","paternal smoking",,"NULL","NULL",,"severe underweight","child malnutrition","1.12","1.08","1.16","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19057457_1_OR","19057457","weight for age z",,"NULL","NULL",,"age","mortality","0.39","0.27","0.61","hazard ratio (HR)",,,,1,"projTutoNutrition","2023-12-28"
,"19057457_3_OR","19057457","oral candidiasis",,"NULL","NULL",,"oral candidiasis","mortality","5.86","2.34","14.65","hazard ratio (HR)",,,,1,"projTutoNutrition","2023-12-28"
,"19179886_11_OR","19179886","overweight",,"NULL","NULL",,"overweight","illness duration","1.7","1","2.8","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19179886_5_OR","19179886","age",,"NULL","NULL",,"infants","hospitalization","2","1.1","3.6","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19179886_8_OR","19179886","overweight",,"NULL","NULL",,"age","illness duration","2","1.6","3.4","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19179886_10_OR","19179886","overweight",,"NULL","NULL",,"overweight","illness duration","2","1","3.6","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19179886_3_OR","19179886","overweight",,"NULL","NULL",,"nonsurgical subspecialty","hospitalization","2.1","1","4.3","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19179886_1_OR","19179886","overweight",,"NULL","NULL",,"malnutrition","hospitalization","2.3","1.3","4.3","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19179886_4_OR","19179886","secondary malnutrition",,"NULL","NULL",,"acute malnutrition","hospitalization","2.6","1.3","5","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19179886_7_OR","19179886","overweight",,"NULL","NULL",,"overweight","hospitalization","2","1.1","3.7","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19179886_6_OR","19179886","age",,"NULL","NULL",,"infants","chronic malnutrition","3.1","1.8","5.5","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19191623_1_OR","19191623","pneumonia",,"NULL","NULL",,"pneumonia","deaths","2","1.3","3.2","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19191623_4_OR","19191623","severe pneumonia",,"NULL","NULL",,"pneumonia","deaths","3.4","2","5.8","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19191623_5_OR","19191623","severe malnutrition",,"NULL","NULL",,"severe malnutrition","deaths","4.6","2.9","7.4","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19191623_3_OR","19191623","severe pneumonia",,"NULL","NULL",,"severe pneumonia","deaths","7.9","5.6","11.2","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19786390_4_OR","19786390","food variety score",,"NULL","NULL",,"children","malnutrition","0.49","0.25","0.89","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19786390_2_OR","19786390","food variety score",,"NULL","NULL",,"children","malnutrition","0.71","0.51","0.95","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19786390_3_OR","19786390","food variety score",,"NULL","NULL",,"women","malnutrition","1.39","1.02","1.89","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19786390_5_OR","19786390","food variety",,"NULL","NULL",,"women","malnutrition","1.92","1.64","2.77","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19786390_1_OR","19786390","food variety score",,"NULL","NULL",,"employment status","employment status","3.18","2.65","5.66","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19835584_1_OR","19835584","age",,"NULL","NULL",,"poor school performance","poor school performance","1.91","1.04","3.54","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19939994_3_OR","19939994","higher household expenditure",,"NULL","NULL",,"stunting","stunting","0.78","0.74","0.81","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19939994_4_OR","19939994","household expenditure",,"NULL","NULL",,"stunting","stunting","0.88","0.85","0.92","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19939994_5_OR","19939994","higher household expenditure",,"NULL","NULL",,"stunting","stunting","0.97","0.93","1.01","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"19939994_6_OR","19939994","higher household expenditure",,"NULL","NULL",,"stunting","stunting","1.21","1.18","1.24","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"20102276_6_OR","20102276","use of transfused blood products",,"NULL","NULL",,"malnutrition","infection","0.4","0.22","0.74","hazard ratio (HR)",,,,1,"projTutoNutrition","2023-12-28"
,"20102276_5_OR","20102276","use of antibiotics",,"NULL","NULL",,"use of antibiotics","bloodstream infection","0.58","0.33","0.98","hazard ratio (HR)",,,,1,"projTutoNutrition","2023-12-28"
,"20102276_3_OR","20102276","malnutrition",,"NULL","NULL",,"malnutrition","infection","1.74","1.01","3","hazard ratio (HR)",,,,1,"projTutoNutrition","2023-12-28"
,"20102276_1_OR","20102276","age less",,"NULL","NULL",,"malnutrition","infection","1.99","1.02","3.89","hazard ratio (HR)",,,,1,"projTutoNutrition","2023-12-28"
,"20102276_4_OR","20102276","central venous catheter",,"NULL","NULL",,"central venous catheter","bloodstream infection","4.36","1.3","14.64","hazard ratio (HR)",,,,1,"projTutoNutrition","2023-12-28"
,"20401464_1_OR","20401464","maternal caregiving",,"NULL","NULL",,"maternal","moderate or severe malnutrition","2.04","1.1","3.78","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"20589132_3_OR","20589132","de-worming",,"NULL","NULL",,"global stunting","malnutrition","0.44","0.22","0.88","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"20589132_1_OR","20589132","global stunting",,"NULL","NULL",,"male children","global acute malnutrition","1.57","1.15","2.13","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
