"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","exp2","adjustment"
NA,"33343621_2","33343621","Caucasians",NA,NA,NA,NA,NA,"Caucasians",0.89,0.77,1.01,"odd ratio (OR)",NA,NA
NA,"33343621_3","33343621","Asians",NA,NA,NA,NA,NA,"",1.65,0.8,3.41,"odd ratio (OR)",NA,NA
NA,"33520204_1","33520204","post dural puncture headache",NA,NA,NA,NA,NA,"PDPH",0.64,0.39,1.05,"odd ratio (OR)",NA,NA
NA,"33735636_1","33735636","",NA,NA,NA,NA,NA,"effectiveness rate",1.49,1.25,1.77,"relative risk (RR)",NA,NA
NA,"33802647_1","33802647","",NA,NA,NA,NA,NA,"headache disorders",2.08,0.92,4.7,"odd ratio (OR)",NA,NA
NA,"33953911_1","33953911","respiratory viral infections",NA,NA,NA,NA,NA,"headache",19,0.104,751,"odd ratio (OR)",NA,NA
NA,"34129658_2","34129658","migraine",NA,NA,NA,NA,NA,"migraine",1.79,0.96,3.33,"odd ratio (OR)",NA,NA
NA,"34129658_3","34129658","awake bruxism",NA,NA,NA,NA,NA,"awake bruxism",5.23,2.57,10.65,"odd ratio (OR)",NA,NA
NA,"34186265_1","34186265","",NA,NA,NA,NA,NA,"post dural puncture headache",0.7,0.3,1.63,"relative risk (RR)",NA,NA
NA,"34186265_2","34186265","",NA,NA,NA,NA,NA,"",0.48,0.22,1.05,"relative risk (RR)",NA,NA
NA,"34186265_3","34186265","",NA,NA,NA,NA,NA,"",0.89,0.54,1.48,"relative risk (RR)",NA,NA
NA,"34186265_4","34186265","low dose",NA,NA,NA,NA,NA,"post dural puncture headache",0.36,0.19,0.67,"relative risk (RR)",NA,NA
NA,"34309832_1","34309832","HCRTR2 rs9357855 A allele",NA,NA,NA,NA,NA,"cluster headache",1.33,1.04,1.72,"odd ratio (OR)",NA,NA
NA,"34309832_2","34309832","HCRTR2",NA,NA,NA,NA,NA,"cluster headache to triptan drugs",1.96,1.04,3.72,"odd ratio (OR)",NA,NA
NA,"34581069_1","34581069","age",NA,NA,NA,NA,NA,"headache frequency",1.47,1.29,1.68,"relative risk (RR)",NA,NA
NA,"34581069_2","34581069","age",NA,NA,NA,NA,NA,"upper age limit 55 60 years old",1.69,1.5,1.9,"relative risk (RR)",NA,NA
NA,"34581069_3","34581069","upper age limit 55 60 years old",NA,NA,NA,NA,NA,"western medicine group",1.27,1.16,1.38,"relative risk (RR)",NA,NA
NA,"34635194_1","34635194","possible confounders",NA,NA,NA,NA,NA,"headache",2.01,1.63,2.46,"odd ratio (OR)",NA,NA
NA,"34635194_2","34635194","atomoxetine",NA,NA,NA,NA,NA,"headache",1.29,1.06,1.56,"odd ratio (OR)",NA,NA
NA,"34635194_3","34635194","guanfacine",NA,NA,NA,NA,NA,"guanfacine",1.43,1.12,1.82,"odd ratio (OR)",NA,NA
NA,"34635194_4","34635194","methylphenidate",NA,NA,NA,NA,NA,"headache",1.33,1.09,1.63,"odd ratio (OR)",NA,NA
NA,"34704725_1","34704725","morphine",NA,NA,NA,NA,NA,"post dural puncture headache (post dural puncture headache",0.45,0.15,1.34,"odd ratio (OR)",NA,NA
NA,"34704725_2","34704725","epidural blood patch",NA,NA,NA,NA,NA,"",0.4,0.08,1.95,"odd ratio (OR)",NA,NA
NA,"34704725_3","34704725","Fentanyl",NA,NA,NA,NA,NA,"post dural puncture headache",0.35,0.01,13.77,"odd ratio (OR)",NA,NA
NA,"34941197_1","34941197","greater occipital nerve block",NA,NA,NA,NA,NA,"intervention failure",0.4,0.19,0.82,"relative risk (RR)",NA,NA
